name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged
SMART_CAPITALIZED,29335486,Hicexplorer,0.59428495,,0.59428495,hicexplorer,0.59428495,1,http://chorogenome.ie-freiburg.mpg.de,200,Germany,"(47.9959,7.8522)",,2018-01-15,"Max Planck Institute of Immunobiology and Epigenetics, Stübeweg 51, 79108, Freiburg, Germany.","Akhtar A, Arrigoni L, Bhardwaj V, Grüning BA, Habermann B, Lam KC, Manke T, Ramírez F, Villaveces J",,,752.0,"Andorra, Germany",hicexplorer,ok,High-resolution TADs reveal DNA sequences underlying genome organization in flies.,2010-2022,,,,,False
CAPITALIZED,24037269,MAP,0.57222944,map,0.57222944,,0.57222944,1,http://www.OMAP.org,200,United States,"(32.2217,-110.9265)",,2013-09-13,"National Key Laboratory of Crop Genetic Improvement, Huazhong Agricultural University, Wuhan 430070, China.","Ammiraju JS, Bennetzen JL, Dai Z, Jin W, Kudrna DA, Lai J, Li H, Liu L, Luo M, Messing J, Shi X, Wang C, Wang H, Wing RA, Xiong W, Zheng Y",,,14.0,China,map,ok,"Genomic resources for gene discovery, functional genome annotation, and evolutionary studies of maize and its close relatives.",2010-2022,,,,,False
CAPITALIZED,28127245,SAV,0.56910396,sav,0.56910396,,0.56910396,1,http://www.nabelek.sav.sk,200,Slovakia,"(48.1482,17.1067)",,2016-12-01,"Institute of Botany, Slovak Academy of Sciences, Dúbravská cesta 9, SK-845 23 Bratislava, Slovak Republic.","Edmondson J, Kempa M, Lack HW, Marhold K, Smatanová J",,Andrew W. Mellon Foundation,,,sav,ok,František Nábělek's Iter Turcico-Persicum 1909-1910 - database and digitized herbarium collection.,2010-2022,,,,,False
"PIPE_CLEANED,CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",27134731,gene expression omnibus,0.0,geo | gxb,0.0,gene expression omnibus,0.0,1,http://hiv.gxbsidra.org/dm3/geneBrowser/list,200,Netherlands,"(52.3740,4.8897)",,2016-03-11,"Sidra Medical and Research Center, Doha, Qatar.","Blazkova J, Boughorbel S, Chaussabel D, Presnell S, Quinn C",,,9.0,"Andorra, Qatar",geo | gxb,ok,A curated transcriptome dataset collection to investigate the immunobiology of HIV infection.,2010-2022,,,,,False
CAPITALIZED,33430968,LAMP,0.0,lamp,0.0,,0.0,1,https://rios.mp.fhi.mpg.de,200,Germany,"(51.5344,9.9323)",,2020-05-11,"Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, 14195, Berlin, Germany.","Liu X, Meijer G, Pérez-Ríos J, Truppe S",,,7.0,Germany,lamp,ok,The diatomic molecular spectroscopy database.,2010-2022,,,,,False
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",27303626,geo,0.0,geo,0.0,gene expression omnibus,0.0,1,http://placentalendocrinology.gxbsidra.org/dm3/landing.gsp,200,Netherlands,"(52.3740,4.8897)",,2016-03-09,"Sidra Medical and Research Center, Doha, Qatar.","Boughorbel S, Chaussabel D, Kino T, Marr AK, Presnell S, Quinn C",,,8.0,"Andorra, Qatar",geo,ok,A curated transcriptome dataset collection to investigate the development and differentiation of the human placenta and its associated pathologies.,2010-2022,,,,,False
"PIPE_CLEANED,CAPITALIZED",29335563,PDB,0.0,pdb | pdbe,0.0,,0.0,1,http://www.mrc-lmb.cam.ac.uk/pca/,200,United Kingdom,"(52.2000,0.1167)",,2018-01-15,"MRC Laboratory of Molecular Biology, Cambridge, UK. kayikci.melis@gmail.com.","Babu MM, Flock T, Kayikci M, Ravarani CNJ, Scott-Brown J, Venkatakrishnan AJ",MC_U105185859,Medical Research Council,105.0,"Comoros, United Kingdom",pdb | pdbe,ok,Visualization and analysis of non-covalent contacts using the Protein Contacts Atlas.,2010-2022,,,,,False
SMART_CAPITALIZED,33006067,Megalex,0.0,megalex,0.0,,0.0,1,https://osf.io/qsd4v/,200,United States,"(39.0997,-94.5786)",,2020-10-01,"Université Clermont Auvergne, CNRS LAPSCO, 34 avenue Carnot TSA 60401, F-63001, Clermont-Ferrand Cedex 1, France. dounia.lakhzoum@uca.fr.","Ferrand L, Izaute M, Lakhzoum D",,,5.0,France,megalex,ok,Semantic similarity and associated abstractness norms for 630 French word pairs.,2010-2022,,,,,False
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",33858332,tcga,0.0,tcga,0.0,the cancer genome atlas,0.0,1,https://manticore.niehs.nih.gov/cancerRxTissue,200,United States,"(36.0512,-78.8577)",,2021-04-15,"Biostatistics and Computational Biology Branch, National Institute of Environmental Health Sciences, 111 T.W. Alexander Dr., Research Triangle Park, MD A3-03, Durham, NC, 27709, USA.","Krahn JM, Li L, Li X, Li Y, Shats I, Umbach DM","National Institute of Environmental Health Sciences (ES101765), This research was supported by Intramural Research Program of the National Institutes of Health, Z01 ES101765","Intramural NIH HHS, NIEHS NIH HHS, National Institute of Environmental Health Sciences",45.0,"Andorra, United States",tcga,ok,Predicting tumor response to drugs based on gene-expression biomarkers of sensitivity learned from cancer cell lines.,2010-2022,,,,,False
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",30783007,pdb,0.0,pdb,0.0,,0.0,1,http://ifr48.timone.univ-mrs.fr/beta-lactamase/public/,200,France,"(44.5586,6.0787)",,2019-04-25,"Aix Marseille Université, IRD, APHM, MEPHI, IHU-Méditerranée Infection, Marseille, France.","Chabrol O, Dardaillon J, Diene SM, Estienne A, Keshri V, Pontarotti P, Raoult D, Rolain JM, Tichit L",,,9.0,France,pdb,ok,"An Integrative Database of β-Lactamase Enzymes: Sequences, Structures, Functions, and Phylogenetic Trees.",2010-2022,,,,,False
CAPITALIZED,31701156,HPO,0.0,hpo,0.0,,0.0,1,https://monarchinitiative.org,200,United States,"(41.2619,-95.8608)",,2020-01-01,"Center for Genome Research and Biocomputing, Environmental and Molecular Toxicology, Oregon State University, Corvallis, OR 97331, USA.","Babb L, Balhoff JP, Bello SM, Blau H, Bradford Y, Brush M, Carbon S, Carmody L, Chan LE, Cipriani V, Conlin T, Cuzick A, Della Rocca M, Dunn N, Essaid S, Fey P, Gargano M, Gourdine JP, Grove C, Groza T, Haendel MA, Hamosh A, Harris M, Harris NL, Helbig I, Hoatlin M, Jacobsen JOB, Joachimiak M, Jupp S, Keith D, Köhler S, Lett KB, Lewis SE, Matentzoglu N, McMurry JA, McNamara C, Mungall CJ, Munoz-Torres MC, Osumi-Sutherland D, Pendlington ZM, Pilgrim C, Putman T, Ravanmehr V, Reese J, Riggs E, Robb S, Robinson PN, Roncaglia P, Seager J, Segerdell E, Shefchek KA, Similuk M, Smedley D, Storm AL, Thaxon C, Thessen A, Unni D, Vasilevsky N, Zhang XA","104967/Z/14/Z, 1R24OD011883, 1U13CA221044, 654248, 676559, BB/I000488/1, BB/K020056/1, BB/S020020/1, BBS/E/C/00005192, DE-AC02-05CH11231, HDR-9004, OTAR005, R24 OD011883, U24 HG002223, U41 HG000330, U41HG006627","Biotechnology and Biological Sciences Research Council, EMBL-EBI, Forums for Integrative Phenomics, Horizon 2020, Medical Research Council, NHGRI NIH HHS, NIH HHS, National Institutes of Health, The Monarch Initiative, U.S. Department of Energy, Wellcome Trust",175.0,"Andorra, United States",hpo,ok,The Monarch Initiative in 2019: an integrative data and analytic platform connecting phenotypes to genotypes across species.,2010-2022,,,,,False
CAPITALIZED,30228995,ENA,0.0,ena,0.0,publically available | european nucleotide archive,0.0,1,https://meloidogyne.inra.fr/Downloads/Meloidogyne-incognita-V2-2017,200,France,"(48.7591,2.1697)",,2018-05-26,"Division of Nematology, LBS Center, ICAR-Indian Agricultural Research Institute, PUSA Campus, New Delhi 110012, India.","Budhwar R, Dubay B, Ghosh O, Rao U, Shukla RN, Somvanshi VS","BT/IC-2/ISCB/Phase-IV/pigeon pea/01/2015, BT/PR18924/COE/34/48/2017ICAR-IARI","Centre of Excellence &amp; Innovation in Biotechnology (CEIB) Programme, ICAR-Indian Agricultural Research Institute, Indo-Swiss Collaboration in Biotechnology Project on Pigeon Pea, New Delhi",4.0,India,ena,ok,A comprehensive annotation for the root-knot nematode <i>Meloidogyne incognita</i> proteome data.,2010-2022,,,,,False
SMART_CAPITALIZED,28462625,Disorders Of,0.0,,0.0,disorders of,0.0,1,http://rheuma.biobank.eu,200,Germany,"(49.0151,12.1016)",,2017-02-01,"Belgyógyászati Intézet, Hematológiai Tanszék, Debreceni Egyetem, Általános Orvostudományi Kar Debrecen.","Csomor P, Pusztai A, Pál I, Szekanecz Z",,,,,disorders of,ok,[Experience with a rheumatoid arthritis biobank: analysis of biological samples and clinical data of 204 patients].,2010-2022,,,,,False
SMART_CAPITALIZED,33705530,Knapsack,0.0,,0.0,knapsack,0.0,1,http://www.knapsackfamily.com/Biomarker/top.php,200,Japan,"(35.6895,139.6917)",,2021-03-01,"Computational Systems Biology Lab, Graduate School of Science and Technology, Nara Institute of Science and Technology (NAIST), 8916-5, Takayama, Ikoma, Nara 630-0192, Japan.","Altaf-Ul-Amin M, Hossain SF, Huang M, Kanaya S, Morita A, Ono N",20K12043 and 16K07223,"Culture, Ministry of Education, Science, Sports, and Technology of Japan",3.0,"Andorra, Japan",knapsack,ok,Development of a biomarker database toward performing disease classification and finding disease interrelations.,2010-2022,,,,,False
"DISAMBIGUATED,SMART_CAPITALIZED,QC_FIX_MEDIUM",26040196,prokaryotes,0.0,,0.0,prokaryotes,0.0,1,http://mlsa.cnpso.embrapa.br,200,Brazil,"(-23.3103,-51.1628)",,2015-05-26,,"Azevedo H, Hungria M, Lopes F, Silla P",,,7.0,,prokaryotes,ok,A database for the taxonomic and phylogenetic identification of the genus Bradyrhizobium using multilocus sequence analysis.,2010-2022,,,,,False
CAPITALIZED,28206754,PDB,0.0,pdb,0.0,,0.0,1,http://www.zbh.uni-hamburg.de/platinum_dataset,200,Germany,"(53.5507,9.9930)",,2017-02-16,"University of Hamburg , ZBH - Center for Bioinformatics, Bundesstraße 43, Hamburg 20146, Germany.","Flachsenberg F, Friedrich NO, Kirchmair J, Meyder A, Rarey M, Sommer K, de Bruyn Kops C",,,60.0,Germany,pdb,ok,High-Quality Dataset of Protein-Bound Ligand Conformations and Its Application to Benchmarking Conformer Ensemble Generators.,2010-2022,,,,,False
SMART_CAPITALIZED,26732614,Sequence Read Archive,0.0,,0.0,sequence read archive,0.0,1,http://www.ncbi.nlm.nih.gov/sra/,200,United States,"(38.9807,-77.1003)",,2016-01-06,"College of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou 310036, PR China.","Feng S, Lu J, Meng Y, Shen C, Wang H, Xue J, Yu D",,,39.0,"Andorra, China",sequence read archive,ok,"A transcriptome-wide, organ-specific regulatory map of Dendrobium officinale, an important traditional Chinese orchid herb.",2010-2022,,,,,False
SMART_CAPITALIZED,32533862,Ucsc Genome Browser,0.0,,0.0,ucsc genome browser,0.0,1,https://snengs.nichd.nih.gov,200,United States,"(38.9807,-77.1003)",,2020-07-08,"Bioinformatics and Scientific Programming Core, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD, USA.","Alon S, Bozinoski M, Breymaier M, Bustos DM, Chang E, Clokie SJ, Coon SL, Dale R, Esnault C, Fu C, Gothilf Y, Klein DC, Mason CE, Michael Iuvone P, Ochocinska MJ, Tovin A, Wang C, Xu P, Zhu J","2009290, 31401080, HD008836, HD008837, HD008838, HD008950, HD008986, Z01 HD008836, Z01 HD008837, Z01 HD008838, ZIA HD008836, ZIA HD008837, ZIA HD008838","Eunice Kennedy Shriver National Institute of Child Health and Human Development, Intramural NIH HHS, The National Natural Science Foundation of China, United States-Israel Binational Science Foundation",14.0,"Andorra, United States",ucsc genome browser,ok,Resource: A multi-species multi-timepoint transcriptome database and webpage for the pineal gland and retina.,2010-2022,,,,,False
SMART_CAPITALIZED,25754863,Biomodels,0.0,,0.0,biomodels,0.0,1,https://sems.uni-rostock.de/projects/masymos/,200,Germany,"(54.0887,12.1405)",,2015-03-08,"University of Rostock, Department of Computer Science, Albert-Einstein-Straße 22, D-18059 Rostock, Germany, Department of Systems Biology and Bioinformatics, University of Rostock, Ulmenstrasse 69, 18057 Rostock, Germany and Stellenbosch Institute for Advanced Study (STIAS), Wallenberg Research Centre at Stellenbosch University, Stellenbosch 7600, South Africa ron.henkel@uni-rostock.de.","Henkel R, Waltemath D, Wolkenhauer O",,,22.0,"Andorra, Germany, South Africa",biomodels,ok,"Combining computational models, semantic annotations and simulation experiments in a graph database.",2010-2022,,,,,False
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",28934507,geo,0.0,geo,0.0,,0.0,1,http://134.245.63.235/ikmb-tools/bloodmiRs,200,Germany,"(54.3213,10.1349)",,2017-09-01,"Institute of Clinical Molecular Biology, Christian-Albrechts-University of Kiel, 24105 Kiel, Germany.","Du ZG, Franke A, Hemmrich-Stanisak G, Hoeppner MP, Hofmann-Apitius M, Hübenthal M, Juzenas S, Keller A, Kupcinskas L, Paulsen M, Rosenstiel P, Senger P, Venkatesh G",,,134.0,Germany,geo,ok,"A comprehensive, cell specific microRNA catalogue of human peripheral blood.",2010-2022,,,,,False
CAPITALIZED,22384314,CBS,0.0,cbs,0.0,,0.0,1,http://www.SaccharomycesSensuStricto.org,200,United States,"(37.7621,-122.3971)",,2011-06-01,,"Dunham MJ, Eisen MB, Hittinger CT, Johnston M, Payen C, Rine J, Rokas A, Scannell DR, Zill OA","P41 RR011823, R01 GM031105, R01 GM032540, R01 HG002779, R37 GM031105, T32 HG000047","NCRR NIH HHS, NHGRI NIH HHS, NIGMS NIH HHS",256.0,,cbs,ok,The Awesome Power of Yeast Evolutionary Genetics: New Genome Sequences and Strain Resources for the Saccharomyces sensu stricto Genus.,2010-2022,,,,,False
"DISAMBIGUATED,SMART_CAPITALIZED,QC_FIX_MEDIUM",33166149,proteomexchange,0.0,,0.0,proteomexchange,0.0,1,https://massive.ucsd.edu/,200,United States,"(32.7157,-117.1647)",,2020-11-09,"Institute for Systems Biology, Seattle, Washington 98109, United States.","Bandeira N, He L, Hoopmann MR, Kusebauch U, Moritz RL, Omenn GS, Palmblad M, Shteynberg DD, Stoychev SH, Weintraub ST, Xia B","1759980, 1920268, P30 ES017885, P30ES017885, P41 GM103484, P41GM103484, R01 GM087221, R01 LM013115, R01GM087221, R01LM013115, R21 AI133335, R21AI133335, R24 GM127667, R24GM127667, S10 OD026936, S10OD026936, U19 AG023122, U19AG023122, U24 CA210967, U24CA210967","NCI NIH HHS, NIA NIH HHS, NIAID NIH HHS, NIEHS NIH HHS, NIGMS NIH HHS, NIH HHS, NLM NIH HHS, National Cancer Institute, National Institute of Allergy and Infectious Diseases, National Institute of Environmental Health Sciences, National Institute of General Medical Sciences, National Institute on Aging, National Science Foundation, Office of the Director, U.S. National Library of Medicine",5.0,United States,proteomexchange,ok,Insights from the First Phosphopeptide Challenge of the MS Resource Pillar of the HUPO Human Proteome Project.,2010-2022,,,,,False
SMART_CAPITALIZED,29203139,G Protein,0.0,,0.0,g protein,0.0,1,http://www.gpcrdb.org,200,Germany,"(50.1155,8.6842)",,2017-12-05,"Department of Cell and Molecular Biology, Uppsala University, Biomedical Center, Box 596, SE-751 24, Uppsala, Sweden; Drug Discovery and Safety, Leiden/Amsterdam Center for Drug Research, Einsteinweg 55, 2333 CC, Leiden, The Netherlands; Department of Drug Design and Pharmacology, University of Copenhagen, Universitetsparken 2, 2100, Copenhagen, Denmark.","Cooke RM, Gloriam DE, Gutiérrez-de-Terán H, Heitman LH, Jespers W, Kleene L, Müller CE, Schiedel AC, Sotelo E, van Westen GJP",,,48.0,"Andorra, Denmark, Netherlands, Sweden",g protein,ok,Structural Mapping of Adenosine Receptor Mutations: Ligand Binding and Signaling Mechanisms.,2010-2022,,,,,False
"DISAMBIGUATED,SMART_CAPITALIZED,QC_FIX_MEDIUM",32284610,prokaryotes,0.0,,0.0,prokaryotes,0.0,1,http://meltomeatlas.proteomics.wzw.tum.de:5003/,200,,,,2020-04-13,"Chair of Proteomics and Bioanalytics, Technical University of Munich, Freising, Germany.","Angelov A, Bantscheff M, Becher I, Bian Y, Daly C, Hahne H, Hopf T, Jarzab A, Klingenspor M, Kurzawa N, Kuster B, Leijten N, Lemeer S, Liebl W, Maschberger M, Mergner J, Moerch M, Musiol E, Samaras P, Savitski MM, Spanier B, Stoehr G, Werner T, Wilhelm M, Zecha J",,,185.0,"Andorra, Germany",prokaryotes,ok,Meltome atlas-thermal proteome stability across the tree of life.,2010-2022,,,,,False
"PIPE_CLEANED,SMART_CAPITALIZED",22064864,Arrayexpress,0.0,,0.0,arrayexpress | european nucleotide archive,0.0,1,http://www.ebi.ac.uk/gxa,200,United Kingdom,"(51.8797,-0.4175)",,2011-11-07,"European Bioinformatics Institute, EMBL, Hinxton, UK and Dana-Farber Cancer Institute, Boston, MA, USA.","Adamusiak T, Brazma A, Burdett T, Culhane A, Farne A, Filippov A, Holloway E, Kapushesky M, Klebanov A, Kryvych N, Kurbatova N, Kurnosov P, Malone J, Melnichuk O, Parkinson H, Petryszak R, Pultsin N, Rustici G, Tikhonov A, Travillian RS, Williams E, Zorin A","#BB/G022755/1, BB/E001653/1",Biotechnology and Biological Sciences Research Council,118.0,"Andorra, United Kingdom, United States",arrayexpress | european nucleotide archive,ok,Gene Expression Atlas update--a value-added database of microarray and sequencing-based functional genomics experiments.,2010-2022,,,,,True
"CAPITALIZED,QC_FIX_HIGH",24234439,chembl,0.0,chembl,0.0,drugbank | ensembl | pubchem | uniprot,0.0,1,http://www.guidetopharmacology.org,200,United Kingdom,"(55.9521,-3.1965)",,2013-11-14,"The University/BHF Centre for Cardiovascular Science, The Queen's Medical Research Institute, University of Edinburgh, Edinburgh EH16 4TJ, UK, School of Biomedical Sciences, Life Sciences E Floor, University of Nottingham Medical School, Queen's Medical Centre, Nottingham NG7 2UH, UK, Laboratory for Foundations of Computer Science, School of Informatics, 10 Crichton Street, University of Edinburgh, Edinburgh EH8 9AB, UK, Clinical Pharmacology Unit, Level 6, Centre for Clinical Investigation, Box 110, Addenbrooke's Hospital, University of Cambridge, Cambridge CB2 0QQ, UK, School of Life Sciences, University of Glasgow, Glasgow G12 8QQ, UK, Neuroscience Division, Medical Education Institute, Ninewells Hospital and Medical School, University of Dundee, Dundee DD1 9SY, UK and Spedding Research Solutions SARL, 6 Rue Ampere, Le Vésinet 78110, France.","Alexander SP, Benson HE, Buneman OP, Davenport AP, Faccenda E, Harmar AJ, McGrath JC, Pawson AJ, Peters JA, Sharman JL, Southan C, Spedding M, Yu W","099156, 099156/Z/12/Z",Wellcome Trust,786.0,"Andorra, France, United Kingdom",chembl,ok,The IUPHAR/BPS Guide to PHARMACOLOGY: an expert-driven knowledgebase of drug targets and their ligands.,2010-2022,,,,,False
"CAPITALIZED,QC_FIX_HIGH",24792157,string,0.0,string,0.0,uniprotkb,0.0,1,http://www.isb-sib.ch,200,Switzerland,"(46.5160,6.6328)",,2014-05-03,"SIB Swiss Institute of Bioinformatics, CH-1015 Lausanne, Switzerland Heinz.Stockinger@isb-sib.ch.","Altenhoff AM, Appel RD, Arnold K, Bairoch A, Bastian F, Bergmann S, Bougueleret L, Bucher P, Delorenzi M, Lane L, Le Mercier P, Lisacek F, Michielin O, Palagi PM, Rougemont J, Schwede T, Stockinger H, Walther D, Xenarios I, Zavolan M, Zdobnov EM, Zoete V, van Nimwegen E, von Mering C",,,10.0,Switzerland,string,ok,"Fifteen years SIB Swiss Institute of Bioinformatics: life science databases, tools and support.",2010-2022,,,,,False
SMART_CAPITALIZED,26305468,Proteomexchange,0.0,,0.0,proteomexchange,0.0,1,http://www.ncbi.nlm.nih.gov/,200,United States,"(38.9807,-77.1003)",,2015-08-25,"School of Life Science, East China Normal University, Shanghai 200241, China.","He L, Li Q, Liu L, Wang Q, Wang Y, Xie J, Yang H",,,2.0,China,proteomexchange,ok,A Catalog of Proteins Expressed in the AG Secreted Fluid during the Mature Phase of the Chinese Mitten Crabs (Eriocheir sinensis).,2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",33816800,MRDP,0.0,,0.0,,0.0,1,https://docs.globus.org/mrdp,200,United Kingdom,"(51.5085,-0.1257)",,2018-01-15,"University of Chicago, Chicago, IL, United States of America.","Chard K, Dart E, Foster I, Shifflett D, Tuecke S, Williams J","ACI-1148484, DE-AC02-06CH11357","Department of Energy’s Office of Advanced Scientific Computing Research, United States National Science Foundation",4.0,United States,,ok,"The Modern Research Data Portal: a design pattern for networked, data-intensive science.",2010-2022,,,,,False
"POPULATED_FROM_URL,SMART_CAPITALIZED",29590295,Genomics,0.0,,0.0,,0.0,1,https://www.niagads.org/genomics/,200,United States,"(39.0437,-77.4875)",,2018-08-01,"Department of Population and Quantitative Health Sciences, Institute for Computational Biology, Case Western Reserve University, Cleveland, OH, USA.","Blue EE, Bush WS, Butkiewicz M, Haines JL, Jian X, Koboldt DC, Kuzma A, Leung YY, Marcora E, Renton AE, Wang LS","RF1 AG054074, U01 AG032984, U01 AG049507, U01 AG052410, U01 AG058654, UF1 AG047133",NIA NIH HHS,24.0,"Andorra, United States",,ok,Functional annotation of genomic variants in studies of late-onset Alzheimer's disease.,2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",28379331,TEA,0.0,,0.0,,0.0,1,http://tea.solgenomics.net/,200,United States,"(42.4406,-76.4966)",,2017-08-01,"Boyce Thompson Institute, Ithaca, NY 14853, USA.","Catala C, Fei Z, Fernandez-Pozo N, Giovannoni JJ, Mueller LA, Nicolas P, Rose JKC, Shinozaki Y, Snyder SI, Zheng Y","16J00582, IOS-1339287","JSPS, Japan Society for the Promotion of Science, National Science Foundation",54.0,United States,,ok,The Tomato Expression Atlas.,2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",23729657,NOD,0.0,,0.0,,0.0,1,http://www.sanger.ac.uk/resources/mouse/nod/,200,United Kingdom,"(51.8797,-0.4175)",,2013-05-31,"The Wellcome Trust Sanger Institute, Hinxton, Cambridge, CB10 1SA, UK. cas@sanger.ac.uk","Gilbert JG, Gonzalez JM, Harrow JL, Kerry G, Rogers J, Sheppard D, Steward CA, Trevanion S, Wicker LS","091157, 096388, 100140, AI 15416, BBS/E/T/000PR6193","Biotechnology and Biological Sciences Research Council, NIAID NIH HHS, Wellcome Trust",18.0,United Kingdom,,ok,"The non-obese diabetic mouse sequence, annotation and variation resource: an aid for investigating type 1 diabetes.",2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",31142855,IBDMDB,0.0,,0.0,,0.0,1,http://ibdmdb.org,200,United States,"(42.3620,-71.0830)",,2019-05-29,"Infectious Disease and Microbiome Program, Broad Institute of MIT and Harvard, Cambridge, MA, USA.","Ajami NJ, Ananthakrishnan AN, Andrews E, Arze C, Avila-Pacheco J, Bonham KS, Braun J, Brislawn CJ, Casero D, Clish CB, Courtney H, Denson LA, Franzosa EA, Gonzalez A, Graeber TG, Hall AB, Huttenhower C, Jansson JK, Knight R, Kugathasan S, Lake K, Landers CJ, Lloyd-Price J, Mallick H, McGovern DPB, Petrosino JF, Plichta DR, Poon TW, Prasad M, Rahnavard G, Sauk J, Schirmer M, Shungin D, Stappenbeck TS, Vlamakis H, Vázquez-Baeza Y, White RA 3rd, Winter HS, Xavier RJ","3162, 563526, P01 DK046763, P30 DK040561, P30 DK043351, P30 DK078392, R01 HG005969, R24 DK110499, U01 DK062413, U54 DE023798, U54 DK102557, UL1 TR001881","Crohn's & Colitis Foundation, NCATS NIH HHS, NHGRI NIH HHS, NIDCR NIH HHS, NIDDK NIH HHS",1991.0,"Andorra, United States",,ok,Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases.,2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED,TITLE_CAPITALIZED",31570101,Atlas,0.0,,0.0,,0.0,1,https://atlas.cancer.org.au,200,United States,"(47.6740,-122.1215)",,2019-10-01,"ARC Centre of Excellence for Mathematical and Statistical Frontiers, Queensland University of Technology (QUT), Brisbane, Australia.","Aitken JF, Baade PD, Cramb SM, Duncan EW, Mengersen KL",,"Australian Institute of Health and Welfare, Cancer Council Queensland, FrontierSI, Queensland University of Technology",24.0,"Andorra, Australia",,ok,"Development of the Australian Cancer Atlas: spatial modelling, visualisation, and reporting of estimates.",2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",33046717,LOD,0.0,,0.0,,0.0,1,https://lod.proconsortium.org/,200,United States,"(39.6837,-75.7497)",,2020-10-12,"Department of Computer and Information Sciences, University of Delaware, Newark, Delaware, 19716, USA. chenc@udel.edu.","Arighi CN, Chen C, Cowart JE, Huang H, Natale DA, Ross KE, Wu CH","R01 GM080646, R01GM080646","NIGMS NIH HHS, U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences, U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences (NIGMS)",9.0,"Andorra, United States",,ok,Protein ontology on the semantic web for knowledge discovery.,2010-2022,,,,,False
POPULATED_FROM_URL,32096630,CCSbase,0.0,,0.0,,0.0,1,https://CCSbase.net,200,United States,"(39.9612,-82.9988)",,2020-03-06,"Department of Medicinal Chemistry, University of Washington, Seattle, Washington 98195, United States.","Cho JH, Ross DH, Xu L",,"School of Pharmacy, University of Washington",96.0,United States,,ok,Breaking Down Structural Diversity for Comprehensive Prediction of Ion-Neutral Collision Cross Sections.,2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",27577934,THISP,0.0,,0.0,,0.0,1,http://www.peptideatlas.org/thisp/,200,United States,"(47.6062,-122.3321)",,2016-09-12,"Institute for Systems Biology , Seattle, Washington 98109, United States.","Binz PA, Campbell DS, Deutsch EW, Farrah T, Mendoza L, Moritz RL, Omenn GS, Shteynberg D, Sun Z","260558, 2P50GM076547, MCB 1330912, P30 ES017885, P50 GM076547, R01 GM087221, R01GM087221, U54 EB020406, U54EB020406, U54ES017885","Division of Molecular and Cellular Biosciences, NIBIB NIH HHS, NIEHS NIH HHS, NIGMS NIH HHS, National Institute of Biomedical Imaging and Bioengineering, National Institute of Environmental Health Sciences, National Institute of General Medical Sciences, Seventh Framework Programme",22.0,United States,,ok,Tiered Human Integrated Sequence Search Databases for Shotgun Proteomics.,2010-2022,,,,,False
"POPULATED_FROM_URL,CAPITALIZED",29909982,SCOPE,0.0,,0.0,,0.0,1,http://scope.aertslab.org,200,Belgium,"(50.8796,4.7009)",,2018-06-18,"VIB Center for Brain & Disease Research, KU Leuven, Leuven 3000, Belgium; Department of Human Genetics KU Leuven, Leuven 3000, Belgium.","Aerts S, Aibar S, Bravo González-Blas C, Christiaens V, Davie K, De Waegeneer M, Fiers M, Geurs S, Hulselmans G, Janssens J, Koldere D, Konstantinides N, Kreft Ł, Lammertyn J, Liu S, Makhzami S, Moerman T, Pech U, Poovathingal S, Spanier KI, Thienpont B, Vanspauwen B, Verstreken P, Voet T","1199518N, 141509, 646671 RobustSynapses, 724226 cis-CONTROL, 808066, ERC consolidator, G.0640.13, G.0791.14, Methusalem Grant (3M140280), OT/13/103, Opening the Future” grant, PDM/16/188, PF/10/016","Deutsche Forschungsgemeinschaft, Flemish Government, Special Research Fund (BOF) KU Leuven, The Research Foundation - Flanders, agency for Innovation by Science and Technology",650.0,Belgium,,ok,A Single-Cell Transcriptome Atlas of the Aging Drosophila Brain.,2010-2022,,,,,False
