pmid,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,title
35037224,2022-01-01,"Department of Botany and Plant Pathology, Oregon State University, Corvallis, OR, USA.","Gupta P, Naithani S, Preece J, Kim S, Cheng T, D'Eustachio P, Elser J, Bolton EE, Jaiswal P","P41 HG003751, U54 GM114833","NHGRI NIH HHS, NIGMS NIH HHS",9,Plant Reactome and PubChem: The Plant Pathway and (Bio)Chemical Entity Knowledgebases.
38537199,2024-03-01,"Peking University Institute of Advanced Agricultural Sciences, Shandong Laboratory of Advanced Agricultural Sciences in Weifang, Weifang, Shandong 261325, China.","Meng T, Jiao H, Zhang Y, Zhou Y, Chen S, Wang X, Yang B, Sun J, Geng X, Ayhan DH, Guo L",,"National Natural Science Foundation of China, Shandong Provincial Science and Technology Innovation Fund, Taishan Scholars Program of Shandong Province",4,"FoPGDB: a pangenome database of Fusarium oxysporum, a cross-kingdom fungal pathogen."
36416261,2023-01-01,"Chongqing Key Laboratory of Translational Medical Research in Cognitive Development and Learning and Memory Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, National Clinical Research Center for Child Health and Disorders, China International Science and Technology Cooperation Base of Child Development and Critical Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China.","Guo S, Xu Z, Dong X, Hu D, Jiang Y, Wang Q, Zhang J, Zhou Q, Liu S, Song W","2022NSCQ-BHX0551, I01 HX000551, 81772979, CSTC2021jscx-gksb-N0027","Natural Science Foundation of Chongqing, HSRD VA, National Natural Science Foundation of China, Chongqing Science and Technology Commission, Key Laboratory of Alzheimer&apos;s Disease of Zhejiang Province, Zhejiang Provincial Clinical Research Center for Mental Disorders",31,GPSAdb: a comprehensive web resource for interactive exploration of genetic perturbation RNA-seq datasets.
36264141,2022-12-01,"Institute of Clinical Molecular Biology, Kiel University, 24105 Kiel, Germany.","Rühlemann MC, Wacker EM, Ellinghaus D, Franke A","261376515, SFB 1182","Collaborative Research Center 1182: Origin and Function of Metaorganisms, German Research Foundation, DFG Research Unit 5042, Collaborative Research Center 1182: Origin and Function of Metaorganisms",31,"MAGScoT: a fast, lightweight and accurate bin-refinement tool."
38755321,2024-05-16,"Department of Health and Human Services, National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD, USA.","Shiryev SA, Agarwala R",Z99 LM999999,"Intramural NIH HHS, This research work was supported by the National Center for Biotechnology Information of the National Library of Medicine (NLM), National Institutes of Health.",23,Indexing and searching petabase-scale nucleotide resources.
36395823,2023-01-01,"Department of Drug Design and Pharmacology, University of Copenhagen, Universitetsparken 2, 2100 Copenhagen, Denmark.","Pándy-Szekeres G, Caroli J, Mamyrbekov A, Kermani AA, Keserű GM, Kooistra AJ, Gloriam DE","NNF18OC0031226, NAP3.0, NNF18OC0031226, R313-2019-526","Novo Nordisk Foundation, Hungarian Academy of Sciences, Novo Nordisk Fonden, Lundbeck Foundation",143,GPCRdb in 2023: state-specific structure models using AlphaFold2 and new ligand resources.
37974076,2023-11-16,"Department of Population Health Science and Policy, Icahn School of Medicine at Mount Sinai, New York, USA. seungjun.ahn@mountsinai.org.","Ahn S, Datta S","P30 CA196521, T32 AA025877, NIH T32AA025877","NCI NIH HHS, NIAAA NIH HHS, NIAAA NIH HHS",0,PRANA: an R package for differential co-expression network analysis with the presence of additional covariates.
36215037,2023-01-01,"Department of Statistics, Stanford University, Stanford, CA 94305, USA.","Zeng W, Liu Q, Yin Q, Jiang R, Wong WH","61721003, 61873141, 62003178, HG010359, R01 HG010359, HG007735, P50 HG007735, 2021YFF1200902, 2021YFF1001000, RM1 HG007735","National Natural Science Foundation of China, National Natural Science Foundation of China, National Natural Science Foundation of China, NIH, NHGRI NIH HHS, NIH, NHGRI NIH HHS, National Key Research and Development Program of China, National Key Research and Development Program of China, NHGRI NIH HHS",26,HiChIPdb: a comprehensive database of HiChIP regulatory interactions.
36377945,2022-11-15,"National Food Institute, Technical University of Denmarkgrid.5170.3, Kongens Lyngby, Denmark.","Aytan-Aktug D, Grigorjev V, Szarvas J, Clausen PTLC, Munk P, Nguyen M, Davis JJ, Aarestrup FM, Lund O","75N93019C00076, NNF16OC0021856, 75N93019C00076","HHS | NIH | National Institute of Allergy and Infectious Diseases, Novo Nordisk Fonden, NIAID NIH HHS",8,"SourceFinder: a Machine-Learning-Based Tool for Identification of Chromosomal, Plasmid, and Bacteriophage Sequences from Assemblies."
36300630,2023-01-01,"State Key Laboratory of Oncology in South China, Cancer Center, Collaborative Innovation Center for Cancer Medicine, School of Life Sciences, Sun Yat-sen University, Guangzhou 510060, China.","Bao X, Zhang Y, Li H, Teng Y, Ma L, Chen Z, Luo X, Zheng J, Zhao A, Ren J, Zuo Z","2021YFA1302100, 2022M713633, 2022T150762, 32200542, 2017ZT07S096, 2021B1515020108","National Key Research and Development Program of China, China Postdoctoral Science Foundation, China Postdoctoral Science Foundation, National Natural Science Foundation of China, Program for Guangdong Introducing Innovative and Entrepreneurial Teams, Guangdong Basic and Applied Basic Research Foundation",66,"RM2Target: a comprehensive database for targets of writers, erasers and readers of RNA modifications."
36318236,2023-01-01,"Department of Oncology, Ludwig Institute for Cancer Research Lausanne, University of Lausanne, Lausanne, Switzerland.","Tadros DM, Eggenschwiler S, Racle J, Gfeller D",KFS-4104-02-2017,Swiss Cancer Research Foundation,54,The MHC Motif Atlas: a database of MHC binding specificities and ligands.
37410916,2023-07-01,"Department of Electronics, Information, and Bioengineering, Politecnico di Milano, Via Ponzio 34/5, Milan 20133, Italy.","Pinoli P, Canakoglu A, Ceri S, Chiara M, Ferrandi E, Minotti L, Bernasconi A",PNRR-PE-AI FAIR,Next Generation EU Program,5,VariantHunter: a method and tool for fast detection of emerging SARS-CoV-2 variants.
39345285,2024-09-13,"School of Life Sciences, University of Sussex, Brighton, United Kingdom.","Winchester G, Steele OG, Liu S, Maia Chagas A, Aziz W, Penn AC",,,4,Reproducible supervised learning-assisted classification of spontaneous synaptic waveforms with Eventer.
34755868,2022-01-01,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX 77030, USA.","Kim P, Tan H, Liu J, Lee H, Jung H, Kumar H, Zhou X","R35GM138184, R35 GM138184","National Institutes of Health, University of Texas Health Science Center at Houston, NIGMS NIH HHS",36,FusionGDB 2.0: fusion gene annotation updates aided by deep learning.
40063348,2025-03-01,"Computational Biology and Translational Bioinformatics (CBTB) Laboratory, Department of Biosciences and Bioengineering, Indian Institute of Technology Roorkee, Roorkee 247667, Uttarakhand, India.","Koul M, Kaushik S, Singh K, Sharma D","BT/2014–15/Plan/P-955, R.11013/51/2021-GIA/HR, BIO/FIG/100700, BT/2014-15/Plan/P-955, R.11017/36/2023-GIA/HR","MHRD, DHR, MHRD, MHRD, DHR",1,VITALdb: to select the best viroinformatics tools for a desired virus or application.
39754835,2024-12-27,"Bioinformatics Lab, National Institute of Plant Genome Research (NIPGR), Aruna Asaf Ali Marg, New Delhi 110067, India. Electronic address: vivek37373@nipgr.ac.in.","Vivek AT, Sahu N, Kalakoti G, Kumar S",,,1,ANNInter: A platform to explore ncRNA-ncRNA interactome of Arabidopsis thaliana.
39746417,2024-12-31,"School of Fishery, Zhejiang Ocean University, Zhoushan 316022, China.","Zhao S, Qiao D, Zhang R, Jing T, An Y","32150017, 32260790, Y202353943, 32302604, ZK[2023]453","National Natural Science Foundation of China, National Natural Science Foundation of China, Zhejiang Province Department of Education, National Natural Science Foundation of China, Guizhou Provincial Natural Science Foundation",0,CsMPDB 1.0: An interactive web application for visualizing and exploring the microRNAs and phasiRNAs of tea plant (Camellia sinensis var. sinensis 'Shuchazao').
38135744,2023-12-22,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China.","Lin S, Zhao F, Wu Z, Yao J, Zhao Y, Yuan Z",,,10,Streamlining spatial omics data analysis with Pysodb.
38310806,2024-01-29,"State Key Laboratory of Organic Electronics and Information Displays & Institute of Advanced Materials (IAM), Nanjing University of Posts and Telecommunications, Nanjing, 210023, China.","Dou Y, Ren Y, Zhao X, Jin J, Xiong S, Luo L, Xu X, Yang X, Yu J, Guo L, Liang T",,,4,CSSLdb: Discovery of cancer-specific synthetic lethal interactions based on machine learning and statistic inference.
38043216,2023-11-29,"Department of General Microbiology, Göttingen Center for Molecular Biosciences, Georg-August University Göttingen, Göttingen, Germany.","Elfmann C, Zhu B, Stülke J, Halbedel S",,Deutsche Forschungsgemeinschaft,11,ListiWiki: A database for the foodborne pathogen Listeria monocytogenes.
40402563,2025-05-22,"The Clinical Hospital of Chengdu Brain Science Institute, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China.","Zhou Y, Liu W, Huang Z, Gou Y, Liu S, Jiang L, Yang Y, Huang J","62071099, 62371112, 2024NSFSC0636","National Natural Science Foundation of China, National Natural Science Foundation of China, Sichuan Provincial Science and Technology Support Program",0,A comprehensive antigen-antibody complex database unlocking insights into interaction interface.
35849014,2022-07-01,"CIRAD, UMR AGAP Institut, Montpellier 34398, France.","Summo M, Comte A, Martin G, Perelle P, Weitz EM, Droc G, Rouard M",1504-006,Agropolis Fondation,1,GeMo: a web-based platform for the visualization and curation of genome ancestry mosaics.
37027007,2023-07-01,"National Genomics Data Center, Beijing Institute of Genomics, Chinese Academy of Sciences and China National Center for Bioinformation, Beijing, China.","Sun Y, Zheng X, Wang G, Wang Y, Chen X, Sun J, Xiong Z, Zhang S, Wang T, Fan Z, Bu C, Bao Y, Zhao W","CAS-WX2022SDC-XK05, XDB38050300","Chinese Academy of Sciences, Chinese Academy of Sciences",3,MACdb: A Curated Knowledgebase for Metabolic Associations across Human Cancers.
37580331,2023-08-15,"Medicity Research Laboratory, Faculty of Medicine, University of Turku, Tykistökatu 6, 20520, Turku, Finland.","Fontcuberta-Rigo M, Nakamura M, Puigbò P","230131, 230131","Sigrid Juséliuksen Säätiö, Sigrid Juséliuksen Säätiö (Sigrid Jusélius Foundation)",20,Phylobone: a comprehensive database of bone extracellular matrix proteins in human and model organisms.
36243967,2023-01-01,"Cancer Centre, University of Macau, Taipa 999078, Macau SAR.","Zheng Y, Chen Y, Ding X, Wong KH, Cheung E","0137/2020/A3, MYRG2018-00033-FHS, MYRG2020-00100-FHS, 0011/2019/AKP","Science and Technology Development Fund, University of Macau, University of Macau, Science and Technology Development Fund",24,Aquila: a spatial omics database and analysis platform.
34459872,2022-01-01,"Department of Biostatistics, The Center for Statistical Genetics, University of Michigan, Ann Arbor, MI 48109, USA.","Kwong A, Boughton AP, Wang M, VandeHaar P, Boehnke M, Abecasis G, Kang HM","HL137182, UM1 DK105554, BOEH15AMP, R01 HG009976, U01 HL137182, HG009976","National Institutes of Health, NIDDK NIH HHS, Foundations of National Institutes of Health, NHGRI NIH HHS, NHLBI NIH HHS, National Institutes of Health",36,FIVEx: an interactive eQTL browser across public datasets.
36947346,2023-03-22,"Institute of Informatics, School of Management, HES-SO Valais-Wallis, Sierre, Switzerland.","Abler D, Schaer R, Oreiller V, Verma H, Reichenbach J, Aidonopoulos O, Evéquoz F, Jreige M, Prior JO, Depeursinge A","EPICS, QA4IQI, IMAGINE, MSXplain, QA4IQI, 205320/179069, IMAGINE, 205320","Hasler Stiftung, Swiss Personalized Health Network, Swiss Personalized Health Network, Hasler Stiftung, Swiss Personalized Health Network (SPHN), Swiss National Science Foundation, Swiss Personalized Health Network (SPHN), Swiss National Science Foundation",7,QuantImage v2: a comprehensive and integrated physician-centered cloud platform for radiomics and machine learning research.
34664671,2022-01-01,"Department of General Microbiology, Institute of Microbiology and Genetics, Georg August University of Göttingen, Grisebachstr. 8, D-37077 Göttingen, Germany.","Pedreira T, Elfmann C, Stülke J",,,121,"The current state of SubtiWiki, the database for the model organism Bacillus subtilis."
36525367,2023-01-01,"College of Agriculture, Nanjing Agricultural University, Nanjing 210095, China.","Li Z, Zhang Y, Fang J, Xu Z, Zhang H, Mao M, Chen Y, Zhang L, Pian C","JCQY202108, ZJ22195010, 050/804009, KYCYXT2022010","Fundamental Research Funds for the Central Universities, Fundamental Research Funds for the Central Universities, Startup Foundation for Advanced Talents at Nanjing Agricultural University, Fundamental Research Funds for the Central Universities",28,NcPath: a novel platform for visualization and enrichment analysis of human non-coding RNA and KEGG signaling pathways.
40328737,2025-05-06,"Functional Microbiome Research Group, Institute of Medical Microbiology, University Hospital of RWTH Aachen, Aachen, Germany.","Hitch TCA, Masson JM, Pauvert C, Bosch J, Nüchtern S, Treichel NS, Baloh M, Razavi S, Afrizal A, Kousetzi N, Aguirre AM, Wylensek D, Coates AC, Jennings SAV, Panyot A, Viehof A, Schmitz MA, Stuhrmann M, Deis EC, Bisdorf K, Chiotelli MD, Lissin A, Schober I, Witte J, Cramer T, Riedel T, Wende M, Winter KA, Amend L, Riva A, Trinh S, Mitchell L, Hartman J, Berry D, Seitz J, Bossert LC, Grognot M, Allers T, Strowig T, Pester M, Abt B, Reimer LC, Overmann J, Clavel T","445552570, 395357507, 403224013, 460129525, 395357507, 445552570, 513892404, 403224013, 460129525, 513892404","Deutsche Forschungsgemeinschaft (German Research Foundation), Deutsche Forschungsgemeinschaft, Deutsche Forschungsgemeinschaft (German Research Foundation), Deutsche Forschungsgemeinschaft, Deutsche Forschungsgemeinschaft (German Research Foundation), Deutsche Forschungsgemeinschaft, Deutsche Forschungsgemeinschaft, Deutsche Forschungsgemeinschaft, Deutsche Forschungsgemeinschaft (German Research Foundation), Deutsche Forschungsgemeinschaft (German Research Foundation)",7,HiBC: a publicly available collection of bacterial strains isolated from the human gut.
38213899,2023-11-20,"Department of Public Health, School of Medicine & Holistic Integrative Medicine, Nanjing University of Chinese Medicine, Nanjing 210023, China.","Yang D, Zhu Z, Yao Q, Chen C, Chen F, Gu L, Jiang Y, Chen L, Zhang J, Wu J, Gao X, Wang J, Li G, Zhao Y",,,1,ccTCM: A quantitative component and compound platform for promoting the research of traditional Chinese medicine.
34999748,2022-03-01,"Department of Genome Sciences, University of Washington, Seattle, WA 98195, USA.","Noecker C, Eng A, Muller E, Borenstein E","2435/19, R01 DK095869, U19AG057377, 1R01GM124312, R01 GM124312, 1R01GM124312, U19 AG057377, R01DK095869","Israel Science Foundation, NIDDK NIH HHS, National Institutes of Health, Edmond J. Safra Center for Bioinformatics at Tel-Aviv University, National Institutes of Health, Faculty Fellow of the Edmond J. Safra Center for Bioinformatics at Tel Aviv University, NIGMS NIH HHS, NIH HHS, NIA NIH HHS, National Institutes of Health",43,MIMOSA2: a metabolic network-based tool for inferring mechanism-supported relationships in microbiome-metabolome data.
36164976,2022-09-01,"School of Information and Computer, College of Animal Science and Technology, Anhui Provincial Engineering Laboratory for Beidou Precision Agriculture Information, Anhui Agricultural University, 130 Changjiangxilu, Hefei, Anhui 230036, P. R. China.","Hu H, Lu Z, Feng H, Chen G, Wang Y, Yang C, Yue Z","2019zd12, 62102004, 2008085QF293, yj2019-32, 2008085QC136","Natural Science Young Foundation of Anhui Agricultural University, National Natural Science Foundation of China, Natural Science Young Foundation of Anhui, Introduction and Stabilization of Talent Project of Anhui Agricultural University, Natural Science Young Foundation of Anhui",3,DGPD: a knowledge database of dense granule proteins of the Apicomplexa.
36169329,2022-09-01,"Division of Bioinformatics, Bose Institute, Unified Campus Salt Lake, College More, EN Block, Sector V, Kolkata, West Bengal 700091, India.","Firdous S, Ghosh A, Saha S",,"BIC at Bose Institute, Kolkata, to S.S.",15,BCSCdb: a database of biomarkers of cancer stem cells.
37930842,2024-01-01,"State Key Laboratory of Common Mechanism Research for Major Diseases, Suzhou Institute of Systems Medicine, Chinese Academy of Medical Sciences & Peking Union Medical College, Suzhou 215123, China.","Deng Y, Lu Y, Li M, Shen J, Qin S, Zhang W, Zhang Q, Shen Z, Li C, Jia T, Chen P, Peng L, Chen Y, Zhang W, Liu H, Zhang L, Rong L, Wang X, Chen D","2022-RC416-01, 2022-I2M-2-004, 2021-I2M-1-061, ZXL2022475, BK20220279, 2021-I2M-1-061, SZS2022005","Chinese Academy of Medical Sciences, CAMS Innovation Fund for Medical Sciences, CAMS Innovation Fund for Medical Sciences, Gusu Innovation and Entrepreneurship Leading Talents Program, Natural Science Foundation of Jiangsu Province, CAMS Innovation Fund for Medical Sciences (CIFMS), Suzhou Municipal Key Laboratory",3,SCAN: Spatiotemporal Cloud Atlas for Neural cells.
36388568,2022-10-27,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Forestry, Guangxi University, Nanning, China.","Wang P, Mo Y, Wang Y, Fei Y, Huang J, Ni J, Xu ZF, Xu ZF",,,5,Macadamia germplasm and genomic database (MacadamiaGGD): A comprehensive platform for germplasm innovation and functional genomics in <i>Macadamia</i>.
39577347,2024-11-21,"School of Computer Science and Informatics, Cardiff University, Cardiff, CF24 4AG, UK; Department of Computer Science, College of Engineering and Computer Science, Jazan University, Jazan, Kingdom of Saudi Arabia. Electronic address: AlwadeeEJ@cardiff.ac.uk.","Alwadee EJ, Sun X, Qin Y, Langbein FC",,,3,LATUP-Net: A lightweight 3D attention U-Net with parallel convolutions for brain tumor segmentation.
40140564,2025-03-26,"Department of Psychiatry, Divisions of Molecular Therapeutics and Behavioral Medicine, Columbia University Irving Medical Center, New York, NY, USA.","Mosharov EV, Rosenberg AM, Monzel AS, Osto CA, Stiles L, Rosoklija GB, Dwork AJ, Bindra S, Junker A, Zhang Y, Fujita M, Mariani MB, Bakalian M, Sulzer D, De Jager PL, Menon V, Shirihai OS, Mann JJ, Underwood MD, Boldrini M, Thiebaut de Schotten M, Picard M",,,33,A human brain map of mitochondrial respiratory capacity and diversity.
38840833,2024-05-21,"Institute of Pathology, Faculty of Medicine, University of Ljubljana, Slovenia.","Hauptman N, Pižem J, Jevšinek Skok D","P3-0054, J3-3070, P4-0133, J3-2524","Javna Agencija za Raziskovalno Dejavnost RS, Javna Agencija za Raziskovalno Dejavnost RS, Javna Agencija za Raziskovalno Dejavnost RS, Javna Agencija za Raziskovalno Dejavnost RS",5,AmiCa: Atlas of miRNA-gene correlations in cancer.
40257905,2025-04-01,"Department of Systems BioMedicine, Graduate School of Medical and Dental Sciences, Institute of Science Tokyo, 1-5-45 Yushima, Bunkyo-ku, Tokyo 113-8510, Japan.","Matsushima T, Naito Y, Chiba T, Kurimoto R, Itano K, Ochiai K, Takahashi K, Goshima N, Asahara H","JP20gm0810008 JP23gm0010009, 17K15447 20H05696 26113008","Japan Agency for Medical Research and Development, Japan Society for the Promotion of Science",0,Localizatome: a database for stress-dependent subcellular localization changes in proteins.
40494643,2025-06-10,"Department of Microbiology and Immunology, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity, Melbourne, Victoria, Australia.","Krause AL, Wirth W, Turner AM, Judd L, Li L, van Schaik W, Howden BP, Carter GP, Seemann T, Wick R, Stinear TP, Buultjens AH, Monk IR","GNT1185213, APP21400, GNT1194325","National Health and Medical Research Council, Biotechnology and Biological Sciences Research Council, National Health and Medical Research Council",0,Transposon-directed insertion-site sequencing (TraDIS) analysis of &lt;i&gt;Enterococcus faecium&lt;/i&gt; using nanopore sequencing and a WebAssembly analysis platform.
37522378,2024-01-01,"Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, MI 48109, USA.","Zhang C, Zhang X, Freddolino L, Zhang Y","DBI2030790, R01 AI134678, GM136422, S10 OD026825, MTM2025426, GM136422, AI134678, IIS1901191, S10OD026825","National Science Foundation, NIAID NIH HHS, National Institutes of Health, NIGMS NIH HHS, NIH HHS, National Science Foundation, National Institute of General Medical Sciences, National Institute of Allergy and Infectious Diseases, National Science Foundation, National Institute of General Medical Sciences",67,BioLiP2: an updated structure database for biologically relevant ligand-protein interactions.
34933331,2022-01-01,"College of Basic Sciences, Shanxi Agricultural University, Taigu 030801, China.","Li P, Zhang H, Zhang W, Zhang Y, Zhan L, Wang N, Chen C, Fu B, Zhao J, Zhou X, Guo S, Chen J","2019 L0365, 2019 L0360, 81703945, 31800678","Science and Technology Innovation Project of Colleges and Universities in Shanxi Province, Science and Technology Innovation Project of Colleges and Universities in Shanxi Province, National Natural Science Foundation of China, National Natural Science Foundation of China",17,TMNP: a transcriptome-based multi-scale network pharmacology platform for herbal medicine.
39380205,2024-09-01,"Institute of Drug Discovery Technology, Ningbo University, Ningbo 315211, China.","Zhao MX, Ding RF, Chen Q, Meng J, Li F, Fu S, Huang B, Liu Y, Ji ZL, Zhao Y",,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences",3,Nphos: Database and Predictor of Protein N-phosphorylation.
37956324,2024-01-01,"Department of Physical Chemistry, Faculty of Science, Palacký University, tř. 17. listopadu 12, 771 46 Olomouc, Czech Republic.","Špačková A, Vávra O, Raček T, Bazgier V, Sehnal D, Damborský J, Svobodová R, Bednář D, Berka K","IGA_PrF_2023_018, 22-30571M, LM2023055, LM2023069, LX22NPO5102","Palacky University Olomouc, European Union—Next Generation EU, European Union-Next Generation EU, Czech Republic JuniorStar, ELIXIR CZ and RECETOX RI, ELIXIR CZ and RECETOX RI, National Institute for Cancer Research",10,ChannelsDB 2.0: a comprehensive database of protein tunnels and pores in AlphaFold era.
38829853,2024-06-01,"Key Laboratory of Freshwater Fish Reproduction and Development (Ministry of Education), Southwest University School of Life Sciences, 2 Tiansheng Road, Chongqing 400715, China.","Shao F, Zeng M, Xu X, Zhang H, Peng Z","20192BCBL23028, CSTB2023NSCQ-MSX0851, 32100333 32170457, 20202ACBL215008","Jiangxi Province, Natural Science Foundation of Chongqing, National Natural Science Foundation of China, Jiangxi Youth Science Foundation",3,FishTEDB 2.0: an update fish transposable element (TE) database with new functions to facilitate TE research.
37246642,2023-07-01,"Department of Biomedical Sciences, University of Padova, via Ugo Bassi 58b, 35121Padova, Italy.","Del Conte A, Bouhraoua A, Mehdiabadi M, Clementel D, Monzon AM, Tosatto SCE, Piovesan D","823 886, 952 334, 778 247, R01 GM093123, CA21160, R01 GM089753, 2017483NH8","MSCA-RISE, University of Padova, MSCA-RISE, MSCA-RISE, NIGMS NIH HHS, ELIXIR, the research infrastructure for life-science data; COST Action ML4NGP, NIGMS NIH HHS, European Cooperation in Science and Technology, MIUR",34,CAID prediction portal: a comprehensive service for predicting intrinsic disorder and binding regions in proteins.
38628370,2024-04-02,"Department of Biomedical Data Science, Fujita Health University School of Medicine, Toyoake, Japan.","Kannon T, Murashige S, Nishioka T, Amano M, Funahashi Y, Tsuboi D, Yamahashi Y, Nagai T, Kaibuchi K, Yoshimoto J",,,1,KANPHOS: Kinase-associated neural phospho-signaling database for data-driven research.
36399495,2023-01-01,"Key Laboratory of Gene Engineering of the Ministry of Education, State Key Laboratory for Biocontrol, School of Life Sciences, Sun Yat-sen University, Guangzhou 510275, P.R. China.","Huang J, Zheng W, Zhang P, Lin Q, Chen Z, Xuan J, Liu C, Wu D, Huang Q, Zheng L, Liu S, Zhou K, Qu L, Li B, Yang J","2022YFA1300020, 31970604, 91940304, 31900903, 32225011, 2019TQ05Y181, 2019YFA0802202, 202002030351, 32100467, 31971228, 201904020041, 2021A1515010542, 31770879","National Key Research and Development Program of China, National Natural Science Foundation of China, National Natural Science Foundation of China, National Natural Science Foundation of China, National Natural Science Foundation of China, Youth science and technology innovation talent of Guangdong TeZhi plan, National Key Research and Development Program of China, Guangzhou city, National Natural Science Foundation of China, National Natural Science Foundation of China, Guangzhou city, Guangdong Province, National Natural Science Foundation of China",41,ChIPBase v3.0: the encyclopedia of transcriptional regulations of non-coding RNAs and protein-coding genes.
34581824,2022-01-01,"MOE Key Laboratory of Molecular Biophysics, Hubei Bioinformatics and Molecular Imaging Key Laboratory, Center for Artificial Intelligence Biology, College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, Hubei 430074, China.","Zhang W, Tan X, Lin S, Gou Y, Han C, Zhang C, Ning W, Wang C, Xue Y","31970633, 2019kfyRCPY043, 31930021","Natural Science Foundation of China, Fundamental Research Funds for the Central Universities, Changjiang Scholars Program of China, Natural Science Foundation of China",49,CPLM 4.0: an updated database with rich annotations for protein lysine modifications.
35134833,2022-03-01,"Max Planck Institute for Molecular Cell Biology and Genetics (MPI-CBG and CSBD), Dresden 01307, Germany.","Cunial F, Denas O, Belazzougui D",,,1,Fast and compact matching statistics analytics.
35685370,2022-05-12,"Fundación Instituto Leloir. Av. Patricias Argentinas 435, C1405BWE Buenos Aires, Argentina.","Navarro AM, Orti F, Martínez-Pérez E, Alonso M, Simonetti FL, Iserte JA, Marino-Buslje C",,Consejo Nacional de Investigaciones Científicas y Técnicas,8,DisPhaseDB: An integrative database of diseases related variations in liquid-liquid phase separation proteins.
34850133,2022-01-01,"Institute of Microbiology and Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Rebenring 56, Braunschweig D-38106, Germany.","Dudek CA, Jahn D",,,49,PRODORIC: state-of-the-art database of prokaryotic gene regulation.
35687095,2022-07-01,"Aix-Marseille Université, Université de Toulon, IRD, CNRS, Mediterranean Institute of Oceanography (MIO) UM 110, Marseille, France.","Vernette C, Lecubin J, Sánchez P, Sunagawa S, Delmont TO, Acinas SG, Pelletier E, Hingamp P, Lescot M","ANR-11-INBS-0013, ANR-21-ESRE-0038, ANR-11-BTBR-0008, ANR-19-CE45-0008, ANR-10-INBS-09-08","Institut Français de Bioinformatique, AO-EMBRC, French Government, SeqDigger, FRANCE GENOMIQUE",61,The Ocean Gene Atlas v2.0: online exploration of the biogeography and phylogeny of plankton genes.
36806692,2023-02-16,"European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, UK.","Gurbich TA, Almeida A, Beracochea M, Burdett T, Burgin J, Cochrane G, Raj S, Richardson L, Rogers AB, Sakharova E, Salazar GA, Finn RD","BB/V01868X/1, BB/W002965/1, MR/W016184/1, BB/R015228/1, 862923","Biotechnology and Biological Sciences Research Council, Biotechnology and Biological Sciences Research Council, Medical Research Council, European Molecular Biology Laboratory, Horizon 2020, UK Research and Innovation, Biotechnology and Biological Sciences Research Council, Horizon 2020",49,MGnify Genomes: A Resource for Biome-specific Microbial Genome Catalogues.
26058587,2015-06-09,"Elanco Animal Health, Clinical Development, Basel, Switzerland jonathan.king@novartis.com.","King JN, King S, Budsberg SC, Lascelles BD, Bienhoff SE, Roycroft LM, Roberts ES",,,27,"Clinical safety of robenacoxib in feline osteoarthritis: results of a randomized, blinded, placebo-controlled clinical trial."
40164028,2025-03-30,"Bioinformatics Centre, School of Agricultural Biotechnology, Punjab Agricultural University, Ludhiana, India.","Sharma S, Bishnoi R, Jain R, Singla D",BT/PR40193/BTIS/137/23/2021,"Department of Biotechnology, Ministry of Science and Technology, India",0,LSDVvac: An immunoinformatics database for vaccine design against lumpy skin disease virus.
37947313,2023-11-01,"Department of Biophysics, University of Delhi South Campus, New Delhi 110021, India.","Jain A, Singhal N, Kumar M",ISRM/12(38)/2022,Indian Council of Medical Research,7,AFRbase: a database of protein mutations responsible for antifungal resistance.
39412445,2024-10-01,"Laboratory of Human Retrovirology and Immunoinformatics, Frederick National Laboratory for Cancer Research, Frederick, MD 21702, United States.","Sherman BT, Panzade G, Imamichi T, Chang W","HHSN261200800001E, HHSN261200800001E, HHSN261200800001C","NCI NIH HHS, National Cancer Institute, National Institutes of Health, CCR NIH HHS",29,DAVID Ortholog: an integrative tool to enhance functional analysis through orthologs.
37897362,2024-01-01,"School of Life Sciences, Fudan University, Shanghai, China.","Gao J, Mo S, Wang J, Zhang M, Shi Y, Zhu C, Shang Y, Tang X, Zhang S, Wu X, Xu X, Wang Y, Li Z, Zheng G, Chen Z, Wang Q, Tang K, Cao Z","32070657, 81830080, 2019YFA0905900, 2019YFA0905900","National Natural Science Foundation of China, National Natural Science Foundation of China, National Key R&D Program of China, National Key R&amp;D Program of China",6,MACC: a visual interactive knowledgebase of metabolite-associated cell communications.
