pmid,title_snippet,agent_score,confidence_level,reasoning,setfit_confidence,ling_score,review_score,agent,agent_sample_size,title,abstract,ling_has_intro_pattern,ling_has_title_pattern,ling_has_url,ling_impl_keywords,ling_usage_keywords,agent2_score,agent2_rationale,expert_score,classification,category,evidence_count,title_match,intro_phrases,has_url,impl_keywords,usage_keywords,has_stats,agent4_score,agent4_notes,notes
29092937,,,,,0.71878403,0.0,0.8,2,200,An Accessible Proteogenomics Informatics Resource for Cancer Researchers.,"Proteogenomics has emerged as a valuable approach in cancer research, which integrates genomic and transcriptomic data with mass spectrometry-based proteomics data to directly identify expressed, variant protein sequences that may have functional roles in cancer. This approach is computationally intensive, requiring integration of disparate software tools into sophisticated workflows, challenging its adoption by nonexpert, bench scientists. To address this need, we have developed an extensible, Galaxy-based resource aimed at providing more researchers access to, and training in, proteogenomic informatics. Our resource brings together software from several leading research groups to address two foundational aspects of proteogenomics: (i) generation of customized, annotated protein sequence databases from RNA-Seq data; and (ii) accurate matching of tandem mass spectrometry data to putative variants, followed by filtering to confirm their novelty. Directions for accessing software tools and workflows, along with instructional documentation, can be found at z.umn.edu/canresgithub. <i>Cancer Res; 77(21); e43-46. ©2017 AACR</i>.",False,False,False,0.0,0.0,0.8,Resource introduction pattern: we (?:have )?(?:developed|crea,,,,,,,,,,,,,
30815061,,,,,0.66224915,0.0,0.65,2,200,FAIRness and Usability for Open-access Omics Data Systems.,"Omics data sharing is crucial to the biological research community, and the last decade or two has seen a huge rise in collaborative analysis systems, databases, and knowledge bases for omics and other systems biology data. We assessed the ""FAIRness"" of NASA's GeneLab Data Systems (GLDS) along with four similar kinds of systems in the research omics data domain, using 14 FAIRness metrics. The range of overall FAIRness scores was 6-12 (out of 14), average 10.1, and standard deviation 2.4. The range of Pass ratings for the metrics was 29-79%, Partial Pass 0-21%, and Fail 7-50%. The systems we evaluated performed the best in the areas of data findability and accessibility, and worst in the area of data interoperability. Reusability of metadata, in particular, was frequently not well supported. We relate our experiences implementing semantic integration of omics data from some of the assessed systems for federated querying and retrieval functions, given their shortcomings in data interoperability. Finally, we propose two new principles that Big Data system developers, in particular, should consider for maximizing data accessibility.",False,False,False,0.0,0.0,0.65,Knowledgebase/curated resource,,,,,,,,,,,,,
24666037,,,,,0.69363683,2.0,0.85,2,200,"NRLiSt BDB, the manually curated nuclear receptors ligands and structures benchmarking database.","Nuclear receptors (NRs) constitute an important class of drug targets. We created the most exhaustive NR-focused benchmarking database to date, the NRLiSt BDB (NRs ligands and structures benchmarking database). The 9905 compounds and 339 structures of the NRLiSt BDB are ready for structure-based and ligand-based virtual screening. In the present study, we detail the protocol used to generate the NRLiSt BDB and its features. We also give some examples of the errors that we found in ChEMBL that convinced us to manually review all original papers. Since extensive and manually curated experimental data about NR ligands and structures are provided in the NRLiSt BDB, it should become a powerful tool to assess the performance of virtual screening methods on NRs, to assist the understanding of NR's function and modulation, and to support the discovery of new drugs targeting NRs. NRLiSt BDB is freely available online at http://nrlist.drugdesign.fr .",False,False,True,1.0,1.0,0.85,URL + database/repository language; Resource introduction pattern: we (?:have )?(?:developed|crea; Implementation keywords (1); Knowledgebase/curated resource; Usage keywords + method (1); Linguistic score boost: 2.00,,,,,,,,,,,,,
25240273,,,,,0.70758927,1.0,0.3,2,200,OpenVirtualToxLab--a platform for generating and exchanging in silico toxicity data.,"The VirtualToxLab is an in silico technology for estimating the toxic potential--endocrine and metabolic disruption, some aspects of carcinogenicity and cardiotoxicity--of drugs, chemicals and natural products. The technology is based on an automated protocol that simulates and quantifies the binding of small molecules towards a series of currently 16 proteins, known or suspected to trigger adverse effects: 10 nuclear receptors (androgen, estrogen α, estrogen β, glucocorticoid, liver X, mineralocorticoid, peroxisome proliferator-activated receptor γ, progesterone, thyroid α, thyroid β), four members of the cytochrome P450 enzyme family (1A2, 2C9, 2D6, 3A4), a cytosolic transcription factor (aryl hydrocarbon receptor) and a potassium ion channel (hERG). The toxic potential of a compound--its ability to trigger adverse effects--is derived from its computed binding affinities toward these very proteins: the computationally demanding simulations are executed in client-server model on a Linux cluster of the University of Basel. The graphical-user interface supports all computer platforms, allows building and uploading molecular structures, inspecting and downloading the results and, most important, rationalizing any prediction at the atomic level by interactively analyzing the binding mode of a compound with its target protein(s) in real-time 3D. Access to the VirtualToxLab is available free of charge for universities, governmental agencies, regulatory bodies and non-profit organizations.",False,False,False,1.0,0.0,0.3,Linguistic score boost: 1.00,,,,,,,,,,,,,
24951797,,,,,0.7125674,2.0,0.85,2,200,UCbase 2.0: ultraconserved sequences database (2014 update).,"UCbase 2.0 (http://ucbase.unimore.it) is an update, extension and evolution of UCbase, a Web tool dedicated to the analysis of ultraconserved sequences (UCRs). UCRs are 481 sequences >200 bases sharing 100% identity among human, mouse and rat genomes. They are frequently located in genomic regions known to be involved in cancer or differentially expressed in human leukemias and carcinomas. UCbase 2.0 is a platform-independent Web resource that includes the updated version of the human genome annotation (hg19), information linking disorders to chromosomal coordinates based on the Systematized Nomenclature of Medicine classification, a query tool to search for Single Nucleotide Polymorphisms (SNPs) and a new text box to directly interrogate the database using a MySQL interface. To facilitate the interactive visual interpretation of UCR chromosomal positioning, UCbase 2.0 now includes a graph visualization interface directly linked to UCSC genome browser. Database URL: http://ucbase.unimore.it.",False,False,True,0.0,0.0,0.85,URL + database/repository language; Knowledgebase/curated resource; Database update/new version; Analysis tool mention; Linguistic score boost: 2.00,,,,,,,,,,,,,
29024463,,,,,0.72795606,0.0,0.4,2,200,"IChem: A Versatile Toolkit for Detecting, Comparing, and Predicting Protein-Ligand Interactions.","Structure-based ligand design requires an exact description of the topology of molecular entities under scrutiny. IChem is a software package that reflects the many contributions of our research group in this area over the last decade. It facilitates and automates many tasks (e.g., ligand/cofactor atom typing, identification of key water molecules) usually left to the modeler's choice. It therefore permits the detection of molecular interactions between two molecules in a very precise and flexible manner. Moreover, IChem enables the conversion of intricate three-dimensional (3D) molecular objects into simple representations (fingerprints, graphs) that facilitate knowledge acquisition at very high throughput. The toolkit is an ideal companion for setting up and performing many structure-based design computations.",False,False,False,0.0,0.0,0.4,Analysis tool mention,,,,,,,,,,,,,
29761459,,,,,0.70964015,2.0,0.7,2,200,Mouse Genome Informatics (MGI) Is the International Resource for Information on the Laboratory Mouse.,"Mouse Genome Informatics (MGI, http://www.informatics.jax.org/ ) web resources provide free access to meticulously curated information about the laboratory mouse. MGI's primary goal is to help researchers investigate the genetic foundations of human diseases by translating information from mouse phenotypes and disease models studies to human systems. MGI provides comprehensive phenotypes for over 50,000 mutant alleles in mice and provides experimental model descriptions for over 1500 human diseases. Curated data from scientific publications are integrated with those from high-throughput phenotyping and gene expression centers. Data are standardized using defined, hierarchical vocabularies such as the Mammalian Phenotype (MP) Ontology, Mouse Developmental Anatomy and the Gene Ontologies (GO). This chapter introduces you to Gene and Allele Detail pages and provides step-by-step instructions for simple searches and those that take advantage of the breadth of MGI data integration.",False,False,True,0.0,0.0,0.7,Knowledgebase/curated resource; Linguistic score boost: 2.00,,,,,,,,,,,,,
31299914,,,,,0.7043559,1.0,0.7,2,200,Viral coinfection analysis using a MinHash toolkit.,"<h4>Background</h4>Human papillomavirus (HPV) is a common sexually transmitted infection associated with cervical cancer that frequently occurs as a coinfection of types and subtypes. Highly similar sublineages that show over 100-fold differences in cancer risk are not distinguishable in coinfections with current typing methods.<h4>Results</h4>We describe an efficient set of computational tools, rkmh, for analyzing complex mixed infections of related viruses based on sequence data. rkmh makes extensive use of MinHash similarity measures, and includes utilities for removing host DNA and classifying reads by type, lineage, and sublineage. We show that rkmh is capable of assigning reads to their HPV type as well as HPV16 lineage and sublineages.<h4>Conclusions</h4>Accurate read classification enables estimates of percent composition when there are multiple infecting lineages or sublineages. While we demonstrate rkmh for HPV with multiple sequencing technologies, it is also applicable to other mixtures of related sequences.",False,False,False,1.0,0.0,0.7,Implementation keywords (1); Methods paper (no clear resource); Analysis tool mention; Linguistic score boost: 1.00,,,,,,,,,,,,,
33277365,,,,,0.71823347,1.0,0.8,2,200,The FABRIC Cancer Portal: A Ranked Catalogue of Gene Selection in Tumors Over the Human Coding Genome.,"Contemporary catalogues of cancer driver genes rely primarily on high mutation rates as evidence for gene selection in tumors. Here, we present The Functional Alteration Bias Recovery In Coding-regions Cancer Portal, a comprehensive catalogue of gene selection in cancer based purely on the biochemical functional effects of mutations at the protein level. Gene selection in the portal is quantified by combining genomics data with rich proteomic annotations. Genes are ranked according to the strength of evidence for selection in tumor, based on rigorous and robust statistics. The portal covers the entire human coding genome (∼18,000 protein-coding genes) across 33 cancer types and pan-cancer. It includes a selected set of cross-references to the most relevant resources providing genomics, proteomics, and cancer-related information. We showcase the portal with known and overlooked cancer genes, demonstrating the utility of the portal via its simple visual interface, which allows users to pivot between gene-centric and cancer type views. The portal is available at fabric-cancer.huji.ac.il. SIGNIFICANCE: A new cancer portal quantifies and presents gene selection in tumor over the entire human coding genome across 33 cancer types and pan-cancer.",False,False,False,1.0,0.0,0.8,Resource introduction pattern: we (?:have )?(?:developed|crea; Knowledgebase/curated resource; Linguistic score boost: 1.00,,,,,,,,,,,,,
32091001,,,,,0.7024432,1.0,0.7,2,200,"A Step-by-Step Implementation of DeepBehavior, Deep Learning Toolbox for Automated Behavior Analysis.","Understanding behavior is the first step to truly understanding neural mechanisms in the brain that drive it. Traditional behavioral analysis methods often do not capture the richness inherent to the natural behavior. Here, we provide detailed step-by-step instructions with visualizations of our recent methodology, DeepBehavior. The DeepBehavior toolbox uses deep learning frameworks built with convolutional neural networks to rapidly process and analyze behavioral videos. This protocol demonstrates three different frameworks for single object detection, multiple object detection, and three-dimensional (3D) human joint pose tracking. These frameworks return cartesian coordinates of the object of interest for each frame of the behavior video. Data collected from the DeepBehavior toolbox contain much more detail than traditional behavior analysis methods and provides detailed insights to the behavior dynamics. DeepBehavior quantifies behavior tasks in a robust, automated, and precise way. Following the identification of behavior, post-processing code is provided to extract information and visualizations from the behavioral videos.",False,False,False,1.0,0.0,0.7,Implementation keywords (1); Methods paper (no clear resource); Analysis tool mention; Linguistic score boost: 1.00,,,,,,,,,,,,,
26703809,,,,"✓ Resource types: platform, workflow
✗ Statistical results: Statistical term: enrichment",0.6177694,0.0,0.35,3,200,Advancing the global proteome survey platform by using an oriented single chain antibody fragment immobilization approach.,"Increasing the understanding of a proteome and how its protein composition is affected by for example different diseases, such as cancer, has the potential to improve strategies for early diagnosis and therapeutics. The Global Proteome Survey or GPS is a method that combines mass spectrometry and affinity enrichment with the use of antibodies. The technology enables profiling of complex proteomes in a species independent manner. The sensitivity of GPS, and other methods relying on affinity enrichment, is largely affected by the activity of the exploited affinity reagent. We here present an improvement of the GPS platform by utilizing an antibody immobilization approach which ensures a controlled immobilization process of the antibody to the magnetic bead support. More specifically, we make use of an antibody format that enables site-directed biotinylation and use this in combination with streptavidin coated magnetic beads. The performance of the expanded GPS platform was evaluated by profiling yeast proteome samples. We demonstrate that the oriented antibody immobilization strategy increases the ability of the GPS platform and results in larger fraction of functional antibodies. Additionally, we show that this new antibody format enabled in-solution capture, i.e. immobilization of the antibodies after sample incubation. A workflow has been established that permit the use of an oriented immobilization strategy for the GPS platform.",False,False,False,0.0,0.0,,,0.35,LIKELY NOT: Usage/mention paper,likely_no,2.0,False,0.0,False,0.0,0.0,True,,,
25428374,,,,"✓ URL present in abstract
✓ Resource types: database, resource",0.7165106,2.0,0.65,3,200,The UCSC Genome Browser database: 2015 update.,"Launched in 2001 to showcase the draft human genome assembly, the UCSC Genome Browser database (http://genome.ucsc.edu) and associated tools continue to grow, providing a comprehensive resource of genome assemblies and annotations to scientists and students worldwide. Highlights of the past year include the release of a browser for the first new human genome reference assembly in 4 years in December 2013 (GRCh38, UCSC hg38), a watershed comparative genomics annotation (100-species multiple alignment and conservation) and a novel distribution mechanism for the browser (GBiB: Genome Browser in a Box). We created browsers for new species (Chinese hamster, elephant shark, minke whale), 'mined the web' for DNA sequences and expanded the browser display with stacked color graphs and region highlighting. As our user community increasingly adopts the UCSC track hub and assembly hub representations for sharing large-scale genomic annotation data sets and genome sequencing projects, our menu of public data hubs has tripled.",False,False,True,0.0,0.0,,,0.65,UNCERTAIN: Needs review,uncertain,2.0,False,0.0,True,0.0,0.0,False,,,
30088220,,,,"✓ URL present in abstract
✗ No clear resource type mentioned",0.6897801,1.0,0.55,3,200,Mapping correlations of psychological and structural connectome properties of the dataset of the human connectome project with the maximum spanning tree method.,"Genome-wide association studies (GWAS) opened new horizons in genomics and medicine by discovering novel genetic factors in numerous health conditions. The analogous analysis of the correlations of large quantities of psychological and brain imaging measures may yield similarly striking results in the brain science. Smith et al. (Nat Neurosci. 18(11): 1565-1567, 2015) presented a study of the associations between MRI-detected resting-state functional connectomes and behavioral data, based on the Human Connectome Project's (HCP) data release. Here we analyze the pairwise correlations between 717 psychological-, anatomical- and structural connectome-properties, based also on the Human Connectome Project's 500-subject dataset. For the connectome properties, we have focused on the structural (or anatomical) connectomes, instead of the functional connectomes. For the structural connectome analysis we have computed and publicly deposited structural braingraphs at the site http://braingraph.org . Numerous non-trivial and hard-to-compute graph-theoretical parameters (like minimum bisection width, minimum vertex cover, eigenvalue gap, maximum matching number, maximum fractional matching number) were computed for braingraphs of each subject, gained from the left- and right hemispheres and the whole brain. The correlations of these parameters, as well as other anatomical and behavioral measures were detected and analyzed. For discovering and visualizing the most interesting correlations in the 717 x 717 matrix, we have applied the maximum spanning tree method. Apart from numerous natural correlations, which describe parameters computable or approximable from one another, we have found several significant, novel correlations in the dataset, e.g., between the score of the NIH Toolbox 9-hole Pegboard Dexterity Test and the maximum weight graph theoretical matching in the left hemisphere. We also have found correlations described very recently and independently from the HCP-dataset: e.g., between gambling behavior and the number of the connections leaving the insula: these already known findings independently validate the power of our method.",False,False,True,0.0,1.0,,,0.55,UNCERTAIN: Needs review,uncertain,2.0,False,0.0,True,0.0,0.0,False,,,
21632604,,,,"✓ URL present in abstract
✓ Resource types: database",0.7181161,2.0,0.65,3,200,Semantic-JSON: a lightweight web service interface for Semantic Web contents integrating multiple life science databases.,"Global cloud frameworks for bioinformatics research databases become huge and heterogeneous; solutions face various diametric challenges comprising cross-integration, retrieval, security and openness. To address this, as of March 2011 organizations including RIKEN published 192 mammalian, plant and protein life sciences databases having 8.2 million data records, integrated as Linked Open or Private Data (LOD/LPD) using SciNetS.org, the Scientists' Networking System. The huge quantity of linked data this database integration framework covers is based on the Semantic Web, where researchers collaborate by managing metadata across public and private databases in a secured data space. This outstripped the data query capacity of existing interface tools like SPARQL. Actual research also requires specialized tools for data analysis using raw original data. To solve these challenges, in December 2009 we developed the lightweight Semantic-JSON interface to access each fragment of linked and raw life sciences data securely under the control of programming languages popularly used by bioinformaticians such as Perl and Ruby. Researchers successfully used the interface across 28 million semantic relationships for biological applications including genome design, sequence processing, inference over phenotype databases, full-text search indexing and human-readable contents like ontology and LOD tree viewers. Semantic-JSON services of SciNetS.org are provided at http://semanticjson.org.",False,False,True,0.0,0.0,,,0.65,UNCERTAIN: Needs review,uncertain,2.0,False,0.0,True,0.0,0.0,False,,,
26142271,,,,"✓ Resource types: database
✓ Implementation keywords: 1
✗ Usage keywords: 1 (penalty: -0.05)",0.7084816,1.0,0.48,3,200,SchizConnect: Mediating neuroimaging databases on schizophrenia and related disorders for large-scale integration.,"SchizConnect (www.schizconnect.org) is built to address the issues of multiple data repositories in schizophrenia neuroimaging studies. It includes a level of mediation--translating across data sources--so that the user can place one query, e.g. for diffusion images from male individuals with schizophrenia, and find out from across participating data sources how many datasets there are, as well as downloading the imaging and related data. The current version handles the Data Usage Agreements across different studies, as well as interpreting database-specific terminologies into a common framework. New data repositories can also be mediated to bring immediate access to existing datasets. Compared with centralized, upload data sharing models, SchizConnect is a unique, virtual database with a focus on schizophrenia and related disorders that can mediate live data as information is being updated at each data source. It is our hope that SchizConnect can facilitate testing new hypotheses through aggregated datasets, promoting discovery related to the mechanisms underlying schizophrenic dysfunction.",False,False,False,1.0,0.0,,,0.48,LIKELY NOT: Usage/mention paper,likely_no,3.0,False,0.0,False,1.0,1.0,False,,,
21943917,,,,"✓ Introduction phrases (1): We [verb] [resource type]
✓ Resource types: tool, platform
✓ Implementation keywords: 1",0.71665657,2.0,0.73,3,200,The SEEK: a platform for sharing data and models in systems biology.,"Systems biology research is typically performed by multidisciplinary groups of scientists, often in large consortia and in distributed locations. The data generated in these projects tend to be heterogeneous and often involves high-throughput ""omics"" analyses. Models are developed iteratively from data generated in the projects and from the literature. Consequently, there is a growing requirement for exchanging experimental data, mathematical models, and scientific protocols between consortium members and a necessity to record and share the outcomes of experiments and the links between data and models. The overall output of a research consortium is also a valuable commodity in its own right. The research and associated data and models should eventually be available to the whole community for reuse and future analysis. The SEEK is an open-source, Web-based platform designed for the management and exchange of systems biology data and models. The SEEK was originally developed for the SysMO (systems biology of microorganisms) consortia, but the principles and objectives are applicable to any systems biology project. The SEEK provides an index of consortium resources and acts as gateway to other tools and services commonly used in the community. For example, the model simulation tool, JWS Online, has been integrated into the SEEK, and a plug-in to PubMed allows publications to be linked to supporting data and author profiles in the SEEK. The SEEK is a pragmatic solution to data management which encourages, but does not force, researchers to share and disseminate their data to community standard formats. It provides tools to assist with management and annotation as well as incentives and added value for following these recommendations. Data exchange and reuse rely on sufficient annotation, consistent metadata descriptions, and the use of standard exchange formats for models, data, and the experiments they are derived from. In this chapter, we present the SEEK platform, its functionalities, and the methods employed for lowering the barriers to adoption of standard formats. As the production of biological data continues to grow, in systems biology and in the life sciences in general, the need to record, manage, and exploit this wealth of information in the future is increasing. We promote the SEEK as a data and model management tool that can be adapted to the specific needs of a particular systems biology project.",True,False,False,0.0,0.0,,,0.73,UNCERTAIN: Needs review,uncertain,3.0,False,1.0,False,1.0,0.0,False,,,
26362267,,,,"✓ URL present in abstract
✓ Resource types: resource
✗ Usage keywords: 1 (penalty: -0.05)",0.7153043,2.0,0.6,3,200,Interactive Big Data Resource to Elucidate Human Immune Pathways and Diseases.,"Many functionally important interactions between genes and proteins involved in immunological diseases and processes are unknown. The exponential growth in public high-throughput data offers an opportunity to expand this knowledge. To unlock human-immunology-relevant insight contained in the global biomedical research effort, including all public high-throughput datasets, we performed immunological-pathway-focused Bayesian integration of a comprehensive, heterogeneous compendium comprising 38,088 genome-scale experiments. The distillation of this knowledge into immunological networks of functional relationships between molecular entities (ImmuNet), and tools to mine this resource, are accessible to the public at http://immunet.princeton.edu. The predictive capacity of ImmuNet, established by rigorous statistical validation, is easily accessed by experimentalists to generate data-driven hypotheses. We demonstrate the power of this approach through the identification of unique host-virus interaction responses, and we show how ImmuNet complements genetic studies by predicting disease-associated genes. ImmuNet should be widely beneficial for investigating the mechanisms of the human immune system and immunological diseases.",False,False,True,0.0,0.0,,,0.6,UNCERTAIN: Needs review,uncertain,3.0,False,0.0,True,0.0,1.0,False,,,
28161522,,,,"✓ Introduction phrases (1): We [verb] [resource type]
✓ Resource types: database, resource, atlas",0.71824306,2.0,0.7,3,200,eMouseAtlas: An atlas-based resource for understanding mammalian embryogenesis.,"The eMouseAtlas resource is an online database of 3D digital models of mouse development, an ontology of mouse embryo anatomy and a gene-expression database with about 30K spatially mapped gene-expression patterns. It is closely linked with the MGI/GXD database at the Jackson Laboratory and holds links to almost all available image-based gene-expression data for the mouse embryo. In this resource article we describe the novel web-based tools we have developed for 3D visualisation of embryo anatomy and gene expression. We show how mapping of gene expression data onto spatial models delivers a framework for capturing gene expression that enhances our understanding of development, and we review the exploratory tools utilised by the EMAGE gene expression database as a means of defining co-expression of in situ hybridisation, immunohistochemistry, and lacZ-omic expression patterns. We report on recent developments of the eHistology atlas and our use of web-services to support embedding of the online 'The Atlas of Mouse Development' in the context of other resources such as the DMDD mouse phenotype database. In addition, we discuss new developments including a cellular-resolution placental atlas, third-party atlas models, clonal analysis data and a new interactive eLearning resource for developmental processes.",True,False,False,0.0,0.0,,,0.7,UNCERTAIN: Needs review,uncertain,2.0,False,1.0,False,0.0,0.0,False,,,
27558918,,,,"✓ Resource types: workflow
✗ Usage keywords: 1 (penalty: -0.05)",0.6735429,0.0,0.45,3,200,A robust ambient temperature collection and stabilization strategy: Enabling worldwide functional studies of the human microbiome.,"As reports on possible associations between microbes and the host increase in number, more meaningful interpretations of this information require an ability to compare data sets across studies. This is dependent upon standardization of workflows to ensure comparability both within and between studies. Here we propose the standard use of an alternate collection and stabilization method that would facilitate such comparisons. The DNA Genotek OMNIgene∙Gut Stool Microbiome Kit was compared to the currently accepted community standard of freezing to store human stool samples prior to whole genome sequencing (WGS) for microbiome studies. This stabilization and collection device allows for ambient temperature storage, automation, and ease of shipping/transfer of samples. The device permitted the same data reproducibility as with frozen samples, and yielded higher recovery of nucleic acids. Collection and stabilization of stool microbiome samples with the DNA Genotek collection device, combined with our extraction and WGS, provides a robust, reproducible workflow that enables standardized global collection, storage, and analysis of stool for microbiome studies.",False,False,False,0.0,0.0,,,0.45,LIKELY NOT: Usage/mention paper,likely_no,2.0,False,0.0,False,0.0,1.0,False,,,
32039601,,,,✓ Resource types: platform,0.5813269,0.0,0.5,3,200,DNA-Encoded Library Screening as Core Platform Technology in Drug Discovery: Its Synthetic Method Development and Applications in DEL Synthesis.,"DNA-encoded library technology (DELT) was introduced to our medicinal chemistry society more than 20 years ago. The application of DELT in the development of clinical candidates has been actively reported in the literature recently. A few representative examples include RIP1K inhibitors for inflammatory diseases and sEH inhibitors for endothelial dysfunction or abnormal tissue repair, among many others. Here, the authors would like to recall the recent developments in on-DNA synthetic methodologies for DEL construction and to analyze recent examples in the literature of DELT-based drug development efforts pursued in both the academic and industrial sectors. With this perspective, we hope to provide a useful summary of recent DELT-based drug discovery research and to discuss the future scope of DELT in medicinal chemistry.",False,False,False,0.0,0.0,,,0.5,UNCERTAIN: Needs review,uncertain,1.0,False,0.0,False,0.0,0.0,False,,,
32994050,,,,"✓ Resource types: platform
✓ Implementation keywords: 1",0.5005398,1.0,0.53,3,200,Human Brain Neuropharmacology: A Platform for Translational Neuroscience.,"Central nervous system (CNS) drug development has been plagued by a failure to translate effective therapies from the lab to the clinic. There are many potential reasons for this, including poor understanding of brain pharmacokinetic (PK) and pharmacodynamic (PD) factors, preclinical study flaws, clinical trial design issues, the complexity and variability of human brain diseases, as well as species differences. To address some of these problems, we have developed a platform for CNS drug discovery comprising: drug screening of primary adult human brain cells; human brain tissue microarray analysis of drug targets; and high-content phenotypic screening methods. In this opinion, I summarise the theoretical basis and the practical development and use of this platform in CNS drug discovery.",False,False,False,1.0,0.0,,,0.53,UNCERTAIN: Needs review,uncertain,2.0,False,0.0,False,1.0,0.0,False,,,
32484558,,,,"✓ Title pattern: Direct resource name pattern
✓ Introduction phrases (1): We [verb] [resource type]
✓ Resource types: database, tool",0.6920326,0.0,1.0,3,200,Comprehensive database and evolutionary dynamics of U12-type introns.,"During nuclear maturation of most eukaryotic pre-messenger RNAs and long non-coding RNAs, introns are removed through the process of RNA splicing. Different classes of introns are excised by the U2-type or the U12-type spliceosomes, large complexes of small nuclear ribonucleoprotein particles and associated proteins. We created intronIC, a program for assigning intron class to all introns in a given genome, and used it on 24 eukaryotic genomes to create the Intron Annotation and Orthology Database (IAOD). We then used the data in the IAOD to revisit several hypotheses concerning the evolution of the two classes of spliceosomal introns, finding support for the class conversion model explaining the low abundance of U12-type introns in modern genomes.",False,False,False,0.0,0.0,,,1.0,DEFINITE: Bioresource introduction,definite_yes,3.0,True,1.0,False,0.0,0.0,False,,,
31249433,,,,✗ No clear resource type mentioned,0.52478063,0.0,0.4,3,200,Annotation of a hypothetical protein (WP_002969292.1) from Brucella abortus.,"Brucellosis is a zoonotic disease caused mainly by the bacteria belonging to the genus Brucella, most common of them is Brucella abortus. Genome sequencing of Brucella was completed in 2005. While majority of the proteins were assigned function, a large number of the peptides remained un-annotated and were referred as 'hypothetical'. These hypothetical proteins may contain crucial information about the biology and pathogenesis of the B. abortus. Therefore, it is of interest to annotate one such hypothetical protein as a multiple antibiotic resistance regulator protein, MarR. The physiological parameters, localization and the structural features were predicted for this protein which corroborated as the winged-helix type DNA-binding domain superfamily of transcription factors.",False,False,False,0.0,0.0,,,0.4,LIKELY NOT: Usage/mention paper,likely_no,1.0,False,0.0,False,0.0,0.0,False,,,
33017646,,,,"✓ Introduction phrases (1): We [verb] [resource type]
✓ Resource types: tool, platform
✓ Implementation keywords: 1",0.70853776,2.0,0.73,3,200,μSPIM Toolset: A software platform for selective plane illumination microscopy.,"<h4>Background</h4>Selective Plane Illumination Microscopy (SPIM) is a fluorescence imaging technique that allows volumetric imaging at high spatio-temporal resolution to monitor neural activity in live organisms such as larval zebrafish. A major challenge in the construction of a custom SPIM microscope using a scanned laser beam is the control and synchronization of the various hardware components.<h4>New method</h4>We present an open-source software, μSPIM Toolset, built around the widely adopted MicroManager platform, that provides control and acquisition functionality for a SPIM. A key advantage of μSPIM Toolset is a series of calibration procedures that optimize acquisition for a given set-up, making it relatively independent of the optical design of the microscope or the hardware used to build it.<h4>Results</h4>μSPIM Toolset allows imaging of calcium activity throughout the brain of larval zebrafish at rates of 100 planes per second with single cell resolution.<h4>Comparison with existing methods</h4>Several designs of SPIM have been published but are focused on imaging of developmental processes using a slower setup with a moving stage and therefore have limited use for functional imaging. In comparison, μSPIM Toolset uses a scanned beam to allow imaging at higher acquisition frequencies while minimizing disturbance of the sample.<h4>Conclusions</h4>The μSPIM Toolset provides a flexible solution for the control of SPIM microscopes and demonstrated its utility for brain-wide imaging of neural activity in larval zebrafish.",True,False,False,0.0,0.0,,,0.73,UNCERTAIN: Needs review,uncertain,3.0,False,1.0,False,1.0,0.0,False,,,
32686687,,,,✓ Resource types: database,0.7104558,0.0,0.5,3,200,"A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds.","The Hydrometeorological Sandbox - École de technologie supérieure (HYSETS) is a rich, comprehensive and large-scale database for hydrological modelling covering 14425 watersheds in North America. The database includes data covering the period 1950-2018 depending on the type and source of data. The data include a wide array of hydrometeorological data required to perform hydrological and climate change impact studies: (1) watershed properties including boundaries, area, elevation slope, land use and other physiographic information; (2) hydrometric gauging station discharge time-series; (3) precipitation, maximum and minimum daily air temperature time-series from weather station records and from (4) the SCDNA infilled gauge meteorological dataset; (5) the NRCan and Livneh gridded interpolated products' meteorological data; (6) ERA5 and ERA5-Land reanalysis data; and (7) the SNODAS and ERA5-Land snow water equivalent estimates. All data have been processed and averaged at the watershed scale, and provides a solid basis for hydrological modelling, climate change impact studies, model calibration assessment, regionalization method evaluation and essentially any study requiring access to large amounts of spatiotemporally varied hydrometeorological data.",False,False,False,0.0,0.0,,,0.5,UNCERTAIN: Needs review,uncertain,1.0,False,0.0,False,0.0,0.0,False,,,
