"extracted_name","extracted_long","baseline_name","baseline_full","edit_distance","contains","long_sim","match_type","score","confidence"
"PMDM","Portal of Medical Data Models","pmbd","plastics microbial biodegradation database","2","False","0.704225352112676","edit_dist=2, long_sim=0.70","1.1","HIGH"
"PHND","Pashtu Handwritten Numerals Database","phin","protein pharmacology interaction network database","2","False","0.7058823529411765","edit_dist=2, long_sim=0.71","1.1","HIGH"
"MARA","Multiple Antibiotic Resistance Annotator","maps","medicinal plant activities","2","False","0.7272727272727273","edit_dist=2, long_sim=0.73","1.1","HIGH"
"DAMA","global Distribution of Alien Mammals database","dampd","dragon antimicrobial peptide database","2","False","0.7560975609756098","edit_dist=2, long_sim=0.76","1.1","HIGH"
"GEAR","Genomic Elements Associated with Drug Resistance","gent","gene expression database of normal and tumor tissues","2","False","0.76","edit_dist=2, long_sim=0.76","1.1","HIGH"
"CITD","Contraceptive and Infertility Target DataBase","citgvd","citrus genomic variation database","2","False","0.7435897435897436","edit_dist=2, long_sim=0.74","1.1","HIGH"
"SCOC","Sediment Community Oxygen Consumption Database","scope","structural classification of proteins-extended","2","False","0.7391304347826086","edit_dist=2, long_sim=0.74","1.1","HIGH"
"MITO","Models in Translational Oncology","mikb","myocardial infarction knowledge base","2","False","0.7352941176470589","edit_dist=2, long_sim=0.74","1.1","HIGH"
"mMGE","metagenomic extrachromosomal mobile genetic elements database","mmdb","magnaporthe oryzae microsatellite database","2","False","0.7184466019417476","edit_dist=2, long_sim=0.72","1.1","HIGH"
"DRUMS","Disk Repository with Update Management and Select","dramp","data repository of antimicrobial peptides","2","False","0.7333333333333333","edit_dist=2, long_sim=0.73","1.1","HIGH"
"SPTEdb","Salicaceous Plant Transposable Elements Database","spgdb","streptococcus pneumoniae genome database","2","False","0.7727272727272727","edit_dist=2, long_sim=0.77","1.1","HIGH"
"PGP","plant phenomics and genomics repository","pgat","prokaryotic-genome analysis tool","2","False","0.7323943661971831","edit_dist=2, long_sim=0.73","1.1","HIGH"
"TIBLE","Mycobacterial Binding Data Resource","tie","tumor isomir encyclopedia","2","False","0.7333333333333333","edit_dist=2, long_sim=0.73","1.1","HIGH"
"OMCD","OncomiR Cancer Database","omdb","organic materials database","2","False","0.7755102040816326","edit_dist=2, long_sim=0.78","1.1","HIGH"
"POJ","Portal of Juglandaceae","podb","plant organelles database","2","False","0.723404255319149","edit_dist=2, long_sim=0.72","1.1","HIGH"
"INVB","Inherited Neuropathy Variant Browser","inoh","integrating network objects with hierarchies","2","False","0.725","edit_dist=2, long_sim=0.72","1.1","HIGH"
"BIP","Brassica Information Portal","bind","biomolecular interaction network database","2","False","0.7058823529411765","edit_dist=2, long_sim=0.71","1.1","HIGH"
"PCIR","Plant Chloroplast Inverted Repeats database","pcsd","plant chromatin state database","2","False","0.7945205479452054","edit_dist=2, long_sim=0.79","1.1","HIGH"
"ZFAP","Zebrafish Anatomy Portal","zfin","zebrafish model organism database","2","False","0.7368421052631579","edit_dist=2, long_sim=0.74","1.1","HIGH"
"dBBQs","Database of Bacterial Quality Scores","dbtss","database of transcriptional start sites","2","False","0.7733333333333333","edit_dist=2, long_sim=0.77","1.1","HIGH"
"PlantEAR","Plant EAR Motif Analysis Resource","plantpan","plant promoter analysis navigator","2","False","0.7878787878787878","edit_dist=2, long_sim=0.79","1.1","HIGH"
"CoagVDb","Coagulation Factors Database","covdb","coronavirus database","2","False","0.75","edit_dist=2, long_sim=0.75","1.1","HIGH"
"MGeND","Japanese Clinical Genomic Database","mgdd","moroccan genetic disease database","2","False","0.8059701492537313","edit_dist=2, long_sim=0.81","1.1","HIGH"
"PI1M","Polymer Informatics Database","pid","plant intron database","2","False","0.7346938775510204","edit_dist=2, long_sim=0.73","1.1","HIGH"
"TREND","Protein Function Exploration Platform","trlnc","for human regulatory information of lncrnas","2","False","0.725","edit_dist=2, long_sim=0.72","1.1","HIGH"
"LIPS","Localization of Intracellular Proteins in guard cells","lincs","of integrated network-based cellular signatures","2","False","0.72","edit_dist=2, long_sim=0.72","1.1","HIGH"
"KRKB","Korean Rare Disease Knowledge Base","krgdb","korean reference genome database","2","False","0.7878787878787878","edit_dist=2, long_sim=0.79","1.1","HIGH"
"TISIDB","Tumor-Immune System Database","tidb","trained immunity database","2","False","0.7547169811320755","edit_dist=2, long_sim=0.75","1.1","HIGH"
"IBVD","Internet Brain Volume Database","ibis","inferred biomolecular interaction server","2","False","0.7428571428571429","edit_dist=2, long_sim=0.74","1.1","HIGH"
"RADAR","Rigorously Annotated Database of A-to-I RNA editing","radb","database of rheumatoid arthritis-related polymorphisms","2","False","0.7619047619047619","edit_dist=2, long_sim=0.76","1.1","HIGH"
"CCHIC","Critical Care Health Informatics Collaborative","ccsi","chromatin-chromatin spatial interaction","2","False","0.7529411764705882","edit_dist=2, long_sim=0.75","1.1","HIGH"
"PlantFAdb","Plant Fatty Acid Database","plantrgdb","plant retrocopied gene database","2","False","0.7142857142857143","edit_dist=2, long_sim=0.71","1.1","HIGH"
"DBSAV","Database of Single Amino acid Variations","dbmae","database of autosomal monoallelic expression","2","False","0.7380952380952381","edit_dist=2, long_sim=0.74","1.1","HIGH"
"PlantPReS","Plant Proteome Response to Stress Database","plant-pras","plant protein annotation suite database","2","False","0.7160493827160493","edit_dist=2, long_sim=0.72","1.1","HIGH"
"RAEdb","Reporter Assay Enhancer database","rap-db","rice annotation project database","2","False","0.71875","edit_dist=2, long_sim=0.72","1.1","HIGH"
"SASBDB","Small Angle Scattering Biological Data Bank","sancdb","south african natural compounds database","2","False","0.7228915662650602","edit_dist=2, long_sim=0.72","1.1","HIGH"
"RENIS","Renal Cell Carcinoma Registry","repic","rna epitranscriptome collection","2","False","0.7666666666666667","edit_dist=2, long_sim=0.77","1.1","HIGH"
"NDEx","Network Data Exchange","ndb","nucleome data bank","2","False","0.717948717948718","edit_dist=2, long_sim=0.72","1.1","HIGH"
"SEEK","Search-based Exploration of Expression Compendium","sedb","comprehensive human super-enhancer database","2","False","0.7608695652173914","edit_dist=2, long_sim=0.76","1.1","HIGH"
"MiGA","Microbial Genomes Atlas","mikb","myocardial infarction knowledge base","2","False","0.711864406779661","edit_dist=2, long_sim=0.71","1.1","HIGH"
"2019-nCoV","2019 Novel Coronavirus Resource","2019ncovr","2019 novel coronavirus resource","2","False","1.0","edit_dist=2, long_sim=1.00","1.1","HIGH"
"BEReX","Biomedical Entity-Relationship Explorer","bee","biomedical entity explorer","2","False","0.8","edit_dist=2, long_sim=0.80","1.1","HIGH"
"PlantCAR","Plant Co-expression Annotation Resource","plantpan","plant promoter analysis navigator","2","False","0.7222222222222222","edit_dist=2, long_sim=0.72","1.1","HIGH"
"PMO","Plant Metabolomics Database","pmbd","plastics microbial biodegradation database","2","False","0.7536231884057971","edit_dist=2, long_sim=0.75","1.1","HIGH"
"VHRD","Viral Host Range Database","vhot","viral microrna host target","2","False","0.7450980392156863","edit_dist=2, long_sim=0.75","1.1","HIGH"
"MAAFS","Moral and Affective Film Set","maps","medicinal plant activities","2","False","0.7037037037037037","edit_dist=2, long_sim=0.70","1.1","HIGH"
"GEREDB","Gene Expression Regulation Database","gepsdb","gene expression database of poplar under stress","2","False","0.8048780487804879","edit_dist=2, long_sim=0.80","1.1","HIGH"
"GESS","Global Evaluation of SARS-CoV-2 Sequences Database","gent","gene expression database of normal and tumor tissues","2","False","0.7254901960784313","edit_dist=2, long_sim=0.73","1.1","HIGH"
"PISO","Plant ISOform sequencing database","pid","plant intron database","2","False","0.7407407407407407","edit_dist=2, long_sim=0.74","1.1","HIGH"
"HGVA","Human Genome Variation Archive","hgmd","human gene mutation database","2","False","0.7241379310344828","edit_dist=2, long_sim=0.72","1.1","HIGH"
"HERDB","Heavy-Element Reactions Database","hemd","human epigenetic enzyme and modulator database","2","False","0.7435897435897436","edit_dist=2, long_sim=0.74","1.1","HIGH"
"CoCoPUTs","Codon and Codon-Pair Usage Tables","coconut","collection of open natural products","2","False","0.7352941176470589","edit_dist=2, long_sim=0.74","1.1","HIGH"
"TiRe","Tissue Repair Database","tidb","trained immunity database","2","False","0.723404255319149","edit_dist=2, long_sim=0.72","1.1","HIGH"
"MGPP","Mnemiopsis Genome Project Portal","mgi","mouse genome informatics","2","False","0.7857142857142857","edit_dist=2, long_sim=0.79","1.1","HIGH"
"MUDDD","Miami University Deception Detection Database","mu3d","miami university deception detection database","2","False","1.0","edit_dist=2, long_sim=1.00","1.1","HIGH"
"NAPDI","Natural Product-Drug Interaction Repository","nanpdb","northern african natural products database","2","False","0.7529411764705882","edit_dist=2, long_sim=0.75","1.1","HIGH"
"MSIS","Mycobacterium hsp65 Database","msdb","microsatellite database","2","False","0.7058823529411765","edit_dist=2, long_sim=0.71","1.1","HIGH"
"SEVA","Standard European Vector Architecture","sedb","comprehensive human super-enhancer database","2","False","0.725","edit_dist=2, long_sim=0.72","1.1","HIGH"
"CPIC","Clinical Pharmacogenetics Implementation Consortium","cplm","compendium of protein lysine modifications","2","False","0.7526881720430108","edit_dist=2, long_sim=0.75","1.1","HIGH"
"BCAPE","Breast Cancer Patient-Derived Explants","bcip","breast cancer integrative platform","2","False","0.8055555555555556","edit_dist=2, long_sim=0.81","1.1","HIGH"
"GAN","Genomics and Genetics Analysis Platform for Nicotiana","gaad","gene and autoimmiune disease association database","2","False","0.7450980392156863","edit_dist=2, long_sim=0.75","1.1","HIGH"
"YAGM","Yeast Associated Genes Miner","yarg","yeast arsenic-related genes","2","False","0.8363636363636363","edit_dist=2, long_sim=0.84","1.1","HIGH"
"HDTT","Huntington's Disease Therapeutic Targets","hdam","human disease associated mutation","2","False","0.7397260273972602","edit_dist=2, long_sim=0.74","1.1","HIGH"
"STPD","Salinity Tolerant Poplar Database","stab","spatio-temporal cell atlas of the human brain","2","False","0.7948717948717948","edit_dist=2, long_sim=0.79","1.1","HIGH"
"NAR_DB","Nucleic Acids Research Database Collection","nanpdb","northern african natural products database","2","False","0.7142857142857143","edit_dist=2, long_sim=0.71","1.1","HIGH"
"CMMR","Comparative Microbial Modules Resource","cmep","circulating microrna expression profiling","2","False","0.7088607594936709","edit_dist=2, long_sim=0.71","1.1","HIGH"
"PlantAPA","Plant Alternative Polyadenylation portal","plantpan","plant promoter analysis navigator","2","False","0.7671232876712328","edit_dist=2, long_sim=0.77","1.1","HIGH"
"CTRP","Cancer Therapeutics Response Portal","ctdb","chickpea transcriptome database","2","False","0.7272727272727273","edit_dist=2, long_sim=0.73","1.1","HIGH"
"CGGA","Chinese Glioma Genome Atlas","cgd","clinical genomic database","2","False","0.7307692307692307","edit_dist=2, long_sim=0.73","1.1","HIGH"
"ACD","Antimicrobial Chemotherapeutics Database","acnpd","anti-cancer natural product database","2","False","0.7368421052631579","edit_dist=2, long_sim=0.74","1.1","HIGH"
"DbVar","Database of Genomic Structural Variation","dbmae","database of autosomal monoallelic expression","2","False","0.7380952380952381","edit_dist=2, long_sim=0.74","1.1","HIGH"
"RAAR","Regulators of Androgen Action Resource","rasp","rna atlas of structure probing","2","False","0.7941176470588235","edit_dist=2, long_sim=0.79","1.1","HIGH"
"PINOT","Protein Interaction Network Online Tool","pina","protein interaction network analysis","2","False","0.8266666666666667","edit_dist=2, long_sim=0.83","1.1","HIGH"
"AIM","Arabidopsis Interactome Module Database","aicd","nti-inflammatory compounds database","2","False","0.7837837837837838","edit_dist=2, long_sim=0.78","1.1","HIGH"
"ASGARD","Annotated Transcriptomes Database","asrd","arabidopsis small rna database","2","False","0.7301587301587301","edit_dist=2, long_sim=0.73","1.1","HIGH"
"HBS","Healthy Brain Study","hbdb","human breathomics database","2","False","0.7111111111111111","edit_dist=2, long_sim=0.71","1.1","HIGH"
"CRRD","Chinchilla Research Resource Database","crcda","resources for cancer ngs data analysis","2","False","0.7466666666666667","edit_dist=2, long_sim=0.75","1.1","HIGH"
"PIIKA","Protein Interactions and Inhibitor Knowledge Analysis","pina","protein interaction network analysis","2","False","0.8089887640449438","edit_dist=2, long_sim=0.81","1.1","HIGH"
"NAR-DB","Nucleic Acids Research Database Collection","nanpdb","northern african natural products database","2","False","0.7142857142857143","edit_dist=2, long_sim=0.71","1.1","HIGH"
"ILRS","International Laser Ranging Service","ilisi","index of italian literature on nursing sciences","2","False","0.7560975609756098","edit_dist=2, long_sim=0.76","1.1","HIGH"
"DBCLS","Database Cross-search for Life Sciences","dbcpg","cancer predisposition gene database","2","False","0.7297297297297297","edit_dist=2, long_sim=0.73","1.1","HIGH"
"GEB","Gene Expression Barcode","geds","expression display server","2","False","0.7083333333333334","edit_dist=2, long_sim=0.71","1.1","HIGH"
"MSGP","Mammalian Stress Granule Proteome Database","msdd","mirna snp disease database","2","False","0.7058823529411765","edit_dist=2, long_sim=0.71","1.1","HIGH"
"Gene ATLAS","UK Biobank Genetic Associations Atlas","geneatlas","","1","False","0.0","edit_dist=1","0.9","HIGH"
"Drug-Path","Drug-Induced Pathways Database","drugpath","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HPVdb","Human Papillomavirus Database","hpidb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"CPAG","Cross-Phenotype Analysis of GWAS Atlas","cpad","curated protein aggregation database","1","False","0.5945945945945946","edit_dist=1","0.9","HIGH"
"CMC","CommonMind Consortium","cms","cancer methylome system","1","False","0.5","edit_dist=1","0.9","HIGH"
"HTP","Human Transmembrane Proteome","htd","transporter database","1","False","0.6666666666666666","edit_dist=1","0.9","HIGH"
"MetaBase","Biological Databases Wiki-Database","metrabase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"DTC","Drug Target Commons","dtm","trends","1","False","0.48","edit_dist=1","0.9","HIGH"
"IDR","Image Data Resource","idc","","1","False","0.0","edit_dist=1","0.9","HIGH"
"EK3D","E. coli K Antigen Database","ekpd","","1","False","0.0","edit_dist=1","0.9","HIGH"
"CancerGD","Cancer Genetic Dependencies","cancer3d","","1","False","0.0","edit_dist=1","0.9","HIGH"
"PlaNet","Plant Network","planex","plant co-expression database","1","False","0.5365853658536586","edit_dist=1","0.9","HIGH"
"MTLD","Multiple Target Ligands Database","mtd","mammalian transcriptomic database","1","False","0.676923076923077","edit_dist=1","0.9","HIGH"
"MANTA","Microbiome And pheNotype data integraTion plAtform","mantra","","1","False","0.0","edit_dist=1","0.9","HIGH"
"lnCAR","Long Non-Coding RNA in Cancer Arrays Resource","lncat","lncrna","1","False","0.23529411764705882","edit_dist=1","0.9","HIGH"
"BIOGEN-BASE","Bioinformatics Genomics and Phenomics Resource","biogen base","iogen base","1","False","0.35714285714285715","edit_dist=1","0.9","HIGH"
"RCSB-PDB","Research Collaboratory for Structural Bioinformatics Protein Data Bank","rcsb pdb","data bank","1","False","0.22784810126582278","edit_dist=1","0.9","HIGH"
"DMC","DrugMap Central","dmd","dietary microrna databases","1","False","0.5365853658536586","edit_dist=1","0.9","HIGH"
"VfODB","Vicia faba Omics Database","vfdb","virulence factor database","1","False","0.68","edit_dist=1","0.9","HIGH"
"ISOdb","Isoform Database","isob","","1","False","0.0","edit_dist=1","0.9","HIGH"
"TR-DB","Triple Response Database","trfdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"GALT","GALT Protein Database","gat","gene-set activity toolbox","1","False","0.6521739130434783","edit_dist=1","0.9","HIGH"
"FEED","Feeding Experiments End-user Database","fed","fusion events database","1","False","0.6779661016949152","edit_dist=1","0.9","HIGH"
"FP-ADMET","Fingerprint-based ADMET Compendium","fpadmet","","1","False","0.0","edit_dist=1","0.9","HIGH"
"lncRNAKB","Long Non-coding RNA Knowledgebase","lncrnadb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"Repbase","Repbase Database","rebase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"Literome","Literome Genomic Knowledge Base","liverome","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HIM","Herbal Ingredients In-vivo Metabolism Database","hir","","1","False","0.0","edit_dist=1","0.9","HIGH"
"ProCarDB","Prokaryotic Carotenoid Database","procarbdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"MDDB","MycoDiversity DataBase","mdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HSD","Helminth Secretome Database","hsp","human salivary proteome wiki","1","False","0.6181818181818182","edit_dist=1","0.9","HIGH"
"VFB","Virtual Fly Brain","vfdb","virulence factor database","1","False","0.6666666666666666","edit_dist=1","0.9","HIGH"
"GDW","Geminivirus Data Warehouse","gdr","genome database for rosaceae","1","False","0.6666666666666666","edit_dist=1","0.9","HIGH"
"Addgene","Addgene","adhdgene","","1","False","0.0","edit_dist=1","0.9","HIGH"
"MOBCdb","Multi-Omics Breast Cancer database","mobidb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"GTB","Genome Tolerance Browser","gtr","testing registry","1","False","0.45","edit_dist=1","0.9","HIGH"
"SCDE","Stem Cell Discovery Engine","scdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"ARCPHdb","Archaeal Protein Helicase Database","archdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"OMIT","microRNA Target Prediction Knowledge Base","omim","online mendelian inheritance in man","1","False","0.6578947368421053","edit_dist=1","0.9","HIGH"
"GPCR-DB","GPCR Database","gpcrdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"PHIO","Public Health Indicator Ontology","phin","protein pharmacology interaction network database","1","False","0.691358024691358","edit_dist=1","0.9","HIGH"
"iHMP","Integrative Human Microbiome Project","ihms","","1","False","0.0","edit_dist=1","0.9","HIGH"
"MGOB","Methylotroph Gene Order Browser","mgdb","melanoma gene database","1","False","0.5660377358490566","edit_dist=1","0.9","HIGH"
"CSCS","CSCS","cscd","pecific circrna database","1","False","0.21428571428571427","edit_dist=1","0.9","HIGH"
"EFI","Enzyme Function Initiative","efg","electronic resource for fusarium graminearum","1","False","0.4857142857142857","edit_dist=1","0.9","HIGH"
"IBDMDB","Inflammatory Bowel Disease Multi-Omics Database","ibddb","ibd database","1","False","0.4067796610169492","edit_dist=1","0.9","HIGH"
"GDB-17","Chemical Universe Database","gdb17","","1","False","0.0","edit_dist=1","0.9","HIGH"
"TMO","Translational Medicine Ontology and Knowledge Base","tmb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"AVPDS","Animal Viruses Probe Dataset","avpdb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"RAMP-DB","RNA and Metabolic Pathways Database","rap-db","rice annotation project database","1","False","0.6865671641791045","edit_dist=1","0.9","HIGH"
"dbCAN","Carbohydrate-Active Enzyme Database","dbcat","database of cpg","1","False","0.48","edit_dist=1","0.9","HIGH"
"PLEAD","Phosphorus Loading from Agricultural Fields Database","plad","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HPVbase","Human Papillomavirus Base","hpbase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HPA","Human Protein Atlas","hpo","the human phenotype ontology project","1","False","0.5454545454545454","edit_dist=1","0.9","HIGH"
"daTALbase","TAL Effector Database","database","database","1","False","0.5517241379310345","edit_dist=1","0.9","HIGH"
"SMS","Short Motif Search Database","smr","swiss-model repository","1","False","0.5714285714285714","edit_dist=1","0.9","HIGH"
"ANDI","Advanced Neuropsychological Diagnostics Infrastructure","andb","areca nut database","1","False","0.4722222222222222","edit_dist=1","0.9","HIGH"
"CDKD","Clinical Database of Kidney Diseases","cdd","conserved domain database","1","False","0.6885245901639344","edit_dist=1","0.9","HIGH"
"GeneTalk","Genetic Variant Discussion Platform","genetack","","1","False","0.0","edit_dist=1","0.9","HIGH"
"MCO","Microbial Conditions Ontology","mcg","maize cell genomics","1","False","0.5833333333333334","edit_dist=1","0.9","HIGH"
"OPL","Ontology for Parasite Lifecycle","opm","orientations of proteins in membranes","1","False","0.6470588235294118","edit_dist=1","0.9","HIGH"
"GAPD","Global Abortion Policies Database","gaad","gene and autoimmiune disease association database","1","False","0.6097560975609756","edit_dist=1","0.9","HIGH"
"Neisseria Base","Neisseria Comparative Genomics Database","neisseriabase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"Circ2Disease","Circular RNA to Disease Database","circr2disease","","1","False","0.0","edit_dist=1","0.9","HIGH"
"SynMap","Synteny Mapping Browser","symmap","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HPP","Hemiptera-Phytoplasma-Plant Database","hpo","the human phenotype ontology project","1","False","0.5555555555555556","edit_dist=1","0.9","HIGH"
"MTLD","Multiple Target Ligand Database","mtd","mammalian transcriptomic database","1","False","0.65625","edit_dist=1","0.9","HIGH"
"MANTA","Mutation Analysis for Transcription factor Binding Alterations","mantra","","1","False","0.0","edit_dist=1","0.9","HIGH"
"PD2","Pharmacology Discovery 2 Database","pdb","data bank","1","False","0.3333333333333333","edit_dist=1","0.9","HIGH"
"Addgene","Addgene Plasmid Repository","adhdgene","","1","False","0.0","edit_dist=1","0.9","HIGH"
"SWI/SNF-Infobase","SWI/SNF Remodeling Complex Information Portal","swi/snf infobase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"dbOGAP","O-GlcNAcylation Database","dbgap","database of genotypes and phenotypes","1","False","0.5666666666666667","edit_dist=1","0.9","HIGH"
"ACCDB","Annotated Chemistry Compound Database","acidb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"MycoBASE","Mycobacterial Annotation System for Expanding","mycbase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"RIBOi","RIBOi","ribod","","1","False","0.0","edit_dist=1","0.9","HIGH"
"NCBI","National Center for Biotechnology Information","ncri","","1","False","0.0","edit_dist=1","0.9","HIGH"
"vHOG","Vertebrate Homologous Organs Groups Ontology","vhot","viral microrna host target","1","False","0.6285714285714286","edit_dist=1","0.9","HIGH"
"dbPTB","dbPTB","dbptm","","1","False","0.0","edit_dist=1","0.9","HIGH"
"HMOD","HMOD","hmdd","human microrna disease database","1","False","0.22857142857142856","edit_dist=1","0.9","HIGH"
"GENE2D","GENE2D","gene3d","","1","False","0.0","edit_dist=1","0.9","HIGH"
"FGB","Family Genome Browser","fgdb","fsh glycans database","1","False","0.5365853658536586","edit_dist=1","0.9","HIGH"
"lncEFdb","lncRNA-Environmental Factor Database","lncedb","","1","False","0.0","edit_dist=1","0.9","HIGH"
"DPHL","DIA Pan-human Protein Mass Spectrometry Library","dpl","database of","1","False","0.3448275862068966","edit_dist=1","0.9","HIGH"
"PMIDB","PMIDB","pmi-db","","1","False","0.0","edit_dist=1","0.9","HIGH"
"Skeleton Genetics","Skeleton Genetics","skeletongenetics","","1","False","0.0","edit_dist=1","0.9","HIGH"
"regBase","non-coding regulatory variants database","rebase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"SignBase","Paleolithic geometric signs collection","sinbase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"CHG","Cancer Hallmark Genes Database","chd","canis mtdna hv1","1","False","0.5333333333333333","edit_dist=1","0.9","HIGH"
"GeneBase","gene datasets summary database","genobase","","1","False","0.0","edit_dist=1","0.9","HIGH"
"BIMS","Breeding Information Management System","birs","birs - bioterrorism information retrieval system","1","False","0.6744186046511628","edit_dist=1","0.9","HIGH"
"COKE","COVID-19 Knowledge Extractor","core","","1","False","0.0","edit_dist=1","0.9","HIGH"
"NAPP","Nucleic Acid Phylogenetic Profile Database","naps","nencki affective picture system","1","False","0.684931506849315","edit_dist=1","0.9","HIGH"
"DenvInt","DenvInt","denvind","","1","False","0.0","edit_dist=1","0.9","HIGH"
"EV@LUTIL","EV@LUTIL","evalutil","","1","False","0.0","edit_dist=1","0.9","HIGH"
"GDSC","Genomics of Drug Sensitivity in Cancer","gdisc","gene","1","False","0.19047619047619047","edit_dist=1","0.9","HIGH"
"MASS","Montreal Archive of Sleep Studies","maps","medicinal plant activities","1","False","0.6440677966101694","edit_dist=1","0.9","HIGH"
"MGFD","MGFD","mgdd","moroccan genetic disease database","1","False","0.16216216216216217","edit_dist=1","0.9","HIGH"
"GFKB","GFKB","gfdb","glycan fragment database","1","False","0.21428571428571427","edit_dist=1","0.9","HIGH"
"BioMe","Biological Metals Resource","microbiome learning repo","microbiome learning repo","19","True","0.72","contains, long_sim=0.72","0.8999999999999999","MEDIUM"
"UniProt-GOA","UniProt Gene Ontology Annotation","goa","gene ontology annotation","8","True","0.8571428571428571","contains, long_sim=0.86","0.8999999999999999","MEDIUM"
"WheatQTLdb","wheat QTL database","ldb","lichen database","7","True","0.7272727272727273","contains, long_sim=0.73","0.8999999999999999","MEDIUM"
"RedoxiBase","Redox Homeostasis Base","red","rice expression database","7","True","0.7391304347826086","contains, long_sim=0.74","0.8999999999999999","MEDIUM"
"SE-Atlas","Rare Diseases Medical Care Atlas","atlas","altered tcr ligand affinities and structures","3","True","0.7105263157894737","contains, long_sim=0.71","0.8999999999999999","MEDIUM"
"Cardiomyocyte 2D Database","Neonatal Rat Cardiomyocyte Proteome Database","card","comprehensive antibiotic resistance database","21","True","0.7045454545454546","contains, long_sim=0.70","0.8999999999999999","MEDIUM"
"CoMPARA","Collaborative Modeling Project for Androgen Receptor Activity","comparative cellular and molecular biology of longevity database","comparative cellular and molecular biology of longevity database","57","True","0.784","contains, long_sim=0.78","0.8999999999999999","MEDIUM"
"Synaptic Genes","Synaptic Genes Catalogue","yna","yeast nucleosome atlas","11","True","0.782608695652174","contains, long_sim=0.78","0.8999999999999999","MEDIUM"
"Disease Ontology","Disease Ontology","human disease ontology","human disease ontology","6","True","0.8421052631578947","contains, long_sim=0.84","0.8999999999999999","MEDIUM"
"CellMinerCDB","Cell Miner Cross-Database","rcdb","renal cancer gene database","8","True","0.7058823529411765","contains, long_sim=0.71","0.8999999999999999","MEDIUM"
"SRMAtlas","Selected Reaction Monitoring Atlas","atlas","altered tcr ligand affinities and structures","3","True","0.7692307692307693","contains, long_sim=0.77","0.8999999999999999","MEDIUM"
"Macromolecular diffraction experiments database","Macromolecular diffraction experiments database","rac","repository of antibiotic resistance cassettes","44","True","0.717391304347826","contains, long_sim=0.72","0.8999999999999999","MEDIUM"
"VARIDT","Drug Transporter Variability Database","rid","retrovirus integration database","3","True","0.8235294117647058","contains, long_sim=0.82","0.8999999999999999","MEDIUM"
"Spliceosome Database","Spliceosome Database","spliceosome","spliceosome","9","True","0.7096774193548387","contains, long_sim=0.71","0.8999999999999999","MEDIUM"
"MIDORI","Mitochondrial Database Reference Interface","dor","database of olfactory receptors","3","True","0.7123287671232876","contains, long_sim=0.71","0.8999999999999999","MEDIUM"
"CPSYMAP","Computational Psychiatry Map","map","microrna analysis portal","4","True","0.7307692307692307","contains, long_sim=0.73","0.8999999999999999","MEDIUM"
"rPredictorDB","RNA Predictor Database","red","rice expression database","9","True","0.782608695652174","contains, long_sim=0.78","0.8999999999999999","MEDIUM"
"AMRmap","Antimicrobial Resistance Map","map","microrna analysis portal","3","True","0.7692307692307693","contains, long_sim=0.77","0.8999999999999999","MEDIUM"
"Digital gene atlas of neonate common marmoset brain","Digital gene atlas of neonate common marmoset brain","digit","database of immunoglobulins with integrated tools","46","True","0.78","contains, long_sim=0.78","0.8999999999999999","MEDIUM"
"LungMAP","Lung Molecular Atlas Program","map","microrna analysis portal","4","True","0.7307692307692307","contains, long_sim=0.73","0.8999999999999999","MEDIUM"
"NoCoCoDa","Novel Coronavirus Cough Database","cod","crystallography open database","5","True","0.7213114754098361","contains, long_sim=0.72","0.8999999999999999","MEDIUM"
"LINCS Canvas Browser","LINCS Canvas Browser","canvas","cancer variation","14","True","0.7222222222222222","contains, long_sim=0.72","0.8999999999999999","MEDIUM"
"Canis mtDNA HV1","Canis mitochondrial DNA HV1 database","mtd","mammalian transcriptomic database","12","True","0.7536231884057971","contains, long_sim=0.75","0.8999999999999999","MEDIUM"
"eDystrophin","Electronic Dystrophin Database","phin","protein pharmacology interaction network database","7","True","0.7088607594936709","contains, long_sim=0.71","0.8999999999999999","MEDIUM"
