pmid,title,has_url,is_bioresource,reason,is_false_positive,confidence,reason,consol_agent_agree,consol_is_fp,consol_reason
26519404,Gramene: A Resource for Comparative Analysis of Plants Genomes and Pathways.,False,Y,,N,high,Contains database/repository keyword indicating data resource,N,Y,No URL provided - strong false positive indicator
"29301376, 34014674","SistematX, an Online Web-Based Cheminformatics Tool for Data Management of Secondary Metabolites.",True,Y,,N,medium,Tool for 'data management' suggests database component; has URL,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
32542364,GTDB: an integrated resource for glycosyltransferase sequences and annotations.,False,Y,DB in name,N,medium,Title contains 'resource' and 'DB' suffix but lacks URL,N,Y,No URL provided - strong false positive indicator
23875173,MelanomaDB: A Web Tool for Integrative Analysis of Melanoma Genomic Information to Identify Disease-Associated Molecular Pathways.,True,Y,DB in name,N,high,Database indicated by 'DB' suffix; has URL,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
23378291,"PhenoDB: a new web-based tool for the collection, storage, and analysis of phenotypic features.",True,Y,DB in name,N,high,Database indicated by 'DB' suffix; has URL,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
23396300,pseudoMap: an innovative and comprehensive resource for identification of siRNA-mediated mechanisms in human transcribed pseudogenes.,True,Y,map and resource,N,high,Title contains 'resource' indicating data collection,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
30335862,miRWalk: An online resource for prediction of microRNA binding sites.,True,,,N,high,Title contains 'resource' indicating data collection,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
29036324,PancanQTL: systematic identification of cis-eQTLs and trans-eQTLs in 33 cancer types.,True,,,N,medium,Systematic identification suggests database resource with URL,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
21729256,RASOnD-a comprehensive resource and search tool for RAS superfamily oncogenes from various species.,True,,,N,high,Title contains 'resource' indicating data collection,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
23271954,Vesiclepedia: a compendium for extracellular vesicles with continuous community annotation.,False,,,N,medium,Title contains 'compendium' but lacks URL,N,Y,No URL provided - strong false positive indicator
"21976737, 27789697",Protein Data Bank Japan (PDBj): maintaining a structural data archive and resource description framework format.,True,Y,DB in name,N,high,Title contains 'archive' and 'resource' for structural data.,N,Y,Methodology focus despite database component
26201819,"The Arabidopsis information resource: Making and mining the ""gold standard"" annotated reference plant genome.",False,Y,resource,N,medium,Title describes an information resource for genome data.,N,Y,No URL provided - strong false positive indicator
34272855,The Progenetix oncogenomic resource in 2021.,False,Y,resource,N,high,Title describes an oncogenomic resource/database.,N,Y,No URL provided - strong false positive indicator
22292669,TranscriptomeBrowser 3.0: introducing a new compendium of molecular interactions and a new visualization tool for the study of gene regulatory networks.,True,,,N,high,Title describes a browser/compendium with curated interaction data.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
32477412,Expression Quantitative Trait Loci (eQTL) Mapping in Korean Patients With Crohn's Disease and Identification of Potential Causal Genes Through Integration With Disease Associations.,True,,,N,medium,Title describes eQTL mapping but includes database resource.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
28158179,TrypsNetDB: An integrated framework for the functional characterization of trypanosomatid proteins.,True,Y,DB in name,N,high,Title explicitly names a database framework.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
34669691,RefPlantNLR is a comprehensive collection of experimentally validated plant disease resistance proteins from the NLR family.,False,Y ,collection,N,high,Title describes a comprehensive collection/database.,N,Y,No URL provided - strong false positive indicator
25118648,PDB explorer -- a web based algorithm for protein annotation viewer and 3D visualization.,True,,,Y,high,Title indicates web-based tool for visualization; not a data repository.,Y,,
32395768,RESTful API for iPTMnet: a resource for protein post-translational modification network discovery.,False,Y,API,Y,medium,Title describes API for accessing database; no URL; focuses on interface not database itself.,Y,,
21507258,"PheMaDB: a solution for storage, retrieval, and analysis of high throughput phenotype data.",False,Y,DB in name,Y,medium,Title describes database solution but no URL; emphasis on storage/retrieval suggests infrastructure.,Y,,
21943338,"TIGER: Toolbox for integrating genome-scale metabolic models, expression data, and transcriptional regulatory networks.",False,,,Y,high,No URL provided - unlikely to be a data resource,Y,,
28850115,"RefEx, a reference gene expression dataset as a web tool for the functional analysis of genes.",True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
28724888,CrossCheck: an open-source web tool for high-throughput screen data analysis.,True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
27581336,IBIS: an OR ready open-source platform for image-guided neurosurgery.,False,,,Y,high,Methodology/tool paper with no URL,Y,,
26989148,Wikidata as a semantic framework for the Gene Wiki initiative.,True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
31404401,miRDRN-miRNA disease regulatory network: a tool for exploring disease and tissue-specific microRNA regulatory networks.,True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
22800758,"'MicroRNA Targets', a new AthaMap web-tool for genome-wide identification of miRNA targets in Arabidopsis thaliana.",True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
33137193,"AcrHub: an integrative hub for investigating, predicting and mapping anti-CRISPR proteins.",True,Y,hub,Y,medium,Methodology/tool paper despite having URL,Y,,
24589857,iLIR: A web resource for prediction of Atg8-family interacting proteins.,False,Y ,resource,Y,medium,Contains database keyword but also methodology pattern and no URL,Y,,
25336620,The Biobanking Analysis Resource Catalogue (BARCdb): a new research tool for the analysis of biobank samples.,False,Y,DB in name,Y,medium,Contains database keyword but also methodology pattern and no URL,Y,,
24952385,ShrimpGPAT: a gene and protein annotation tool for knowledge sharing and gene discovery in shrimp.,True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
"23599415, 24304896",Preliminary evaluation of the CellFinder literature curation pipeline for gene expression in kidney cells and anatomical parts.,True,,,Y,medium,Methodology/tool paper despite having URL,Y,,
21960044,Comparison of embryonic expression within multigene families using the FlyExpress discovery platform reveals more spatial than temporal divergence.,False,,,Y,high,Title describes analysis/comparison study; no URL confirms not a resource,Y,,
32228442,Transcriptome Ortholog Alignment Sequence Tools (TOAST) for phylogenomic dataset assembly.,False,,,Y,high,Title emphasizes 'Tools for' indicating methodology not data resource; no URL,Y,,
31583637,Explore Protein-Protein Interactions for Cancer Target Discovery Using the OncoPPi Portal.,False,,,Y,high,Title focuses on methodology ('Using') not resource description; no URL,Y,,
23657089,DDBJ read annotation pipeline: a cloud computing-based pipeline for high-throughput analysis of next-generation sequencing data.,True,,,Y,medium,Title emphasizes 'pipeline for' analysis but URL suggests data resource,Y,,
25069839,ELM: enhanced lowest common ancestor based method for detecting a pathogenic virus from a large sequence dataset.,True,,,Y,medium,Title emphasizes 'method for detecting' but has URL,Y,,
26800248,The Salmonella In Silico Typing Resource (SISTR): An Open Web-Accessible Tool for Rapidly Typing and Subtyping Draft Salmonella Genome Assemblies.,True,,,Y,medium,Title emphasizes 'Tool for' typing/subtyping but has URL and resource component,Y,,
21253599,PoPoolation: a toolbox for population genetic analysis of next generation sequencing data from pooled individuals.,False,,,Y,high,Title describes 'toolbox for' analysis not data resource; no URL,Y,,
28577791,PlanTEnrichment: A tool for enrichment analysis of transposable elements in plants.,True,,,Y,high,Title contains 'tool for' pattern indicating methodology tool,Y,,
21980353,pubmed2ensembl: a resource for mining the biological literature on genes.,False,,,Y,high,Describes mining tool and lacks URL indicating no hosted data,Y,,
22821489,SpectraBank: an open access tool for rapid microbial identification by MALDI-TOF MS fingerprinting.,True,,,Y,medium,Title contains 'tool for' pattern though 'Bank' suggests data storage,Y,,
33577575,MetNet: A two-level approach to reconstructing and comparing metabolic networks.,False,,,Y,high,Title describes approach/method and lacks URL,Y,,
21252074,PhyloPro: a web-based tool for the generation and visualization of phylogenetic profiles across Eukarya.,True,,,Y,high,Title contains 'tool for' pattern indicating methodology tool,Y,,
25735289,IBEX: an open infrastructure software platform to facilitate collaborative work in radiomics.,False,,,Y,high,Title describes software platform (tool) and lacks URL,Y,,
23092397,admetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.,True,,,Y,medium,Title contains 'tool for' pattern though also source of data,Y,,
25283306,IUTA: a tool for effectively detecting differential isoform usage from RNA-Seq data.,True,,,Y,high,Title contains 'tool for' pattern indicating methodology tool,Y,,
28499008,RiPPMiner: a bioinformatics resource for deciphering chemical structures of RiPPs based on prediction of cleavage and cross-links.,True,Y,resource,Y,medium,Miner suggests tool though also described as resource,Y,,
24150937,LoQAtE--Localization and Quantitation ATlas of the yeast proteomE. A new tool for multiparametric dissection of single-protein behavior in response to biological perturbations in yeast.,True,,,Y,medium,Title contains 'atlas' but also 'tool for' indicating dual nature; tool emphasis wins,Y,,
31847917,FIREVAT: finding reliable variants without artifacts in human cancer samples using etiologically relevant mutational signatures.,False,,,Y,high,Title describes finding variants using method and lacks URL (tool),Y,,
27209025,NemaCount: quantification of nematode chemotaxis behavior in a browser.,False,,,Y,high,Title describes quantification tool and lacks URL,Y,,
29954318,FamPlex: a resource for entity recognition and relationship resolution of human protein families and complexes in biomedical text mining.,False,,,Y,high,Title describes resource for text mining (tool) and lacks URL,Y,,
30854455,ePAD: An Image Annotation and Analysis Platform for Quantitative Imaging.,False,,,Y,high,Title describes platform for annotation and analysis (tool) and lacks URL,Y,,
22761802,SECOM: a novel hash seed and community detection based-approach for genome-scale protein domain identification.,True,,,Y,high,Title describes approach/method for identification,Y,,
"26139634, 27899584, 30398663",Functional classification of CATH superfamilies: a domain-based approach for protein function annotation.,True,,,Y,medium,Title describes approach for annotation (methodology),Y,,
23497159,Promzea: a pipeline for discovery of co-regulatory motifs in maize and other plant species and its application to the anthocyanin and phlobaphene biosynthetic pathways and the Maize Development Atlas.,True,,,Y,high,Title contains 'pipeline for' pattern indicating methodology tool,Y,,
26930599,RED: A Java-MySQL Software for Identifying and Visualizing RNA Editing Sites Using Rule-Based and Statistical Filters.,False,,,Y,high,Title describes software for identifying sites (tool) and lacks URL,Y,,
32778891,MolAICal: a soft tool for 3D drug design of protein targets by artificial intelligence and classical algorithm.,True,,,Y,high,Title describes tool for drug design using AI/algorithms,Y,,
34174938,"Advancing clinical genomics and precision medicine with GVViZ: FAIR bioinformatics platform for variable gene-disease annotation, visualization, and expression analysis.",False,,,Y,high,Title describes platform for annotation/visualization/analysis (tool) and lacks URL,Y,,
26298580,PPDB: A Tool for Investigation of Plants Physiology Based on Gene Ontology.,True,Y,DB in name,Y,medium,Title emphasizes 'tool for investigation' suggesting methodology focus.,Y,,
23162083,PTID: an integrated web resource and computational tool for agrochemical discovery.,True,Y,resource,Y,medium,Title emphasizes 'computational tool' suggesting methodology focus.,Y,,
34273949,ARPEGGIO: Automated Reproducible Polyploid EpiGenetic GuIdance workflOw.,False,,,Y,high,Title describes an automated workflow/pipeline not a data resource.,Y,,
33324449,Web-Based Genome Analysis of Bacterial Meningitis Pathogens for Public Health Applications Using the Bacterial Meningitis Genomic Analysis Platform (BMGAP).,False,,,Y,high,Title emphasizes analysis platform/tool rather than data repository.,Y,,
34521345,PathFams: statistical detection of pathogen-associated protein domains.,True,,,Y,medium,Title emphasizes 'detection' methodology suggesting analysis tool.,Y,,
30583062,RGAAT: A Reference-based Genome Assembly and Annotation Tool for New Genomes and Upgrade of Known Genomes.,False,,,Y,high,Title describes a tool for genome assembly/annotation not a data resource.,Y,,
25970601,"PAPST, a User Friendly and Powerful Java Platform for ChIP-Seq Peak Co-Localization Analysis and Beyond.",False,,,Y,high,Title describes an analysis platform/tool not a data repository.,Y,,
24666611,openBEB: open biological experiment browser for correlative measurements.,False,,,Y,high,Title describes a browser/tool for viewing data not a data repository.,Y,,
33067342,OpenPepXL: An Open-Source Tool for Sensitive Identification of Cross-Linked Peptides in XL-MS.,True,,,Y,high,Title describes a tool for identification/analysis not a data resource.,Y,,
33270643,SeqRepo: A system for managing local collections of biological sequences.,False,,,Y,high,Title describes a system/tool for managing data not a data repository itself.,Y,,
26042145,FAST: FAST Analysis of Sequences Toolbox.,False,,,Y,high,Title describes an analysis toolbox not a data repository.,Y,,
30535139,AStrap: identification of alternative splicing from transcript sequences without a reference genome.,False,,,Y,high,Title describes a tool for identification/analysis not a data resource.,Y,,
26678566,YAGM: a web tool for mining associated genes in yeast based on diverse biological associations.,True,,,Y,medium,Title emphasizes 'tool for mining' suggesting methodology focus.,Y,,
25993562,"RulNet: A Web-Oriented Platform for Regulatory Network Inference, Application to Wheat -Omics Data.",False,,,Y,high,Title describes a platform for network inference not a data repository.,Y,,
33381847,"MirCure: a tool for quality control, filter and curation of microRNAs of animals and plants.",True,,,Y,high,Title describes a tool for QC/filtering not a data repository.,Y,,
28152980,DMDtoolkit: a tool for visualizing the mutated dystrophin protein and predicting the clinical severity in DMD.,True,,,Y,medium,Title describes a tool for visualization/prediction not a data repository.,Y,,
32983048,KmerGO: A Tool to Identify Group-Specific Sequences With <i>k</i>-mers.,False,,,Y,high,Title describes a tool for identification not a data repository.,Y,,
34752463,QuickFigures: A toolkit and ImageJ PlugIn to quickly transform microscope images into scientific figures.,False,,,Y,high,Title describes a toolkit/plugin for image processing not a data resource.,Y,,
31074377,ODAE: Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,False,,,Y,medium,Title emphasizes analysis methodology not the database itself.,Y,,
25114903,miRSeq: a user-friendly standalone toolkit for sequencing quality evaluation and miRNA profiling.,False,,,Y,high,Title describes a toolkit for analysis not a data repository.,Y,,
27955641,Microbial phenomics information extractor (MicroPIE): a natural language processing tool for the automated acquisition of prokaryotic phenotypic characters from text sources.,False,,,Y,high,Title describes a text mining tool not a data repository.,Y,,
30733714,"SqueezeMeta, A Highly Portable, Fully Automatic Metagenomic Analysis Pipeline.",False,,,Y,high,Title describes an analysis pipeline not a data repository.,Y,,
30131825,"MARVEL, a Tool for Prediction of Bacteriophage Sequences in Metagenomic Bins.",False,,,Y,high,Title describes a prediction tool not a data repository.,Y,,
26485569,MATtrack: A MATLAB-Based Quantitative Image Analysis Platform for Investigating Real-Time Photo-Converted Fluorescent Signals in Live Cells.,False,,,Y,high,Title describes an analysis platform/tool not a data repository.,Y,,
29414924,"VSpipe, an Integrated Resource for Virtual Screening and Hit Selection: Applications to Protein Tyrosine Phospahatase Inhibition.",False,,,Y,high,Title describes a pipeline for virtual screening not a data repository.,Y,,
34038408,PRER: A patient representation with pairwise relative expression of proteins on biological networks.,False,,,Y,high,Title describes a representation method not a data repository.,Y,,
26763976,FRAMA: from RNA-seq data to annotated mRNA assemblies.,False,,,Y,high,Title describes a pipeline/workflow not a data repository.,Y,,
25510498,"T-lex2: genotyping, frequency estimation and re-annotation of transposable elements using single or pooled next-generation sequencing data.",False,,,Y,high,Title describes a genotyping tool not a data repository.,Y,,
30678631,PaperBot: open-source web-based search and metadata organization of scientific literature.,False,,,Y,high,Title describes a search/organization tool not a data repository.,Y,,
32639154,DUBS: A Framework for Developing &lt;u&gt;D&lt;/u&gt;irectory of &lt;u&gt;U&lt;/u&gt;seful &lt;u&gt;B&lt;/u&gt;enchmarking &lt;u&gt;S&lt;/u&gt;ets for Virtual Screening.,False,,,Y,high,Title describes a framework for developing benchmarking sets not a database itself.,Y,,
33610654,CorRelator: Interactive software for real-time high precision cryo-correlative light and electron microscopy.,False,,,Y,high,Title describes software for microscopy not a data repository.,Y,,
33372147,DeepTFactor: A deep learning-based tool for the prediction of transcription factors.,False,,,Y,high,Title describes a prediction tool not a data repository.,Y,,
32611389,Proteus: An algorithm for proposing stabilizing mutation pairs based on interactions observed in known protein 3D structures.,True,,,Y,medium,Title emphasizes algorithm though accesses structural data.,Y,,
30092755,REHUNT: a reliable and open source package for restriction enzyme hunting.,False,,,Y,high,Title describes a software package for enzyme hunting not a data repository.,Y,,
29544777,NiftyNet: a deep-learning platform for medical imaging.,False,,,Y,high,Title describes a deep learning platform not a data repository.,Y,,
31443733,Variant Interpretation for Cancer (VIC): a computational tool for assessing clinical impacts of somatic variants.,False,,,Y,high,Title describes a computational tool for assessment not a data repository.,Y,,
28105921,SIMBA: a web tool for managing bacterial genome assembly generated by Ion PGM sequencing technology.,False,,,Y,high,Title describes a tool for managing assemblies not a data repository.,Y,,
26280450,JMS: An Open Source Workflow Management System and Web-Based Cluster Front-End for High Performance Computing.,False,,,Y,high,Title describes a workflow management system not a data repository.,Y,,
21982513,Snat: a SNP annotation tool for bovine by integrating various sources of genomic information.,False,,,Y,high,Title describes an annotation tool not a data repository.,Y,,
"31218353, 32938368",DeepMito: accurate prediction of protein sub-mitochondrial localization using convolutional neural networks.,True,,,Y,high,Title describes a prediction tool not a data repository.,Y,,
29132360,NeoAnalysis: a Python-based toolbox for quick electrophysiological data processing and analysis.,False,,,Y,high,Title describes a toolbox for analysis not a data repository.,Y,,
23051646,CloudMap: a cloud-based pipeline for analysis of mutant genome sequences.,True,,,Y,high,Title describes an analysis pipeline not a data repository.,Y,,
28158419,NSSRF: global network similarity search with subgraph signatures and its applications.,False,,,Y,high,Title describes a search method not a data repository.,Y,,
34342226,ppx: Programmatic Access to Proteomics Data Repositories.,False,,,Y,high,Title describes an access tool not a data repository itself.,Y,,
28640810,LASSIM-A network inference toolbox for genome-wide mechanistic modeling.,False,,,Y,high,Title describes a toolbox for inference not a data repository.,Y,,
22464129,BioLemmatizer: a lemmatization tool for morphological processing of biomedical text.,False,,,Y,high,Title describes a text processing tool not a data repository.,Y,,
22647087,PyMS: a Python toolkit for processing of gas chromatography-mass spectrometry (GC-MS) data. Application and comparative study of selected tools.,False,,,Y,high,Title describes a toolkit for data processing not a data repository.,Y,,
30999845,GenHap: a novel computational method based on genetic algorithms for haplotype assembly.,False,,,Y,high,Title describes a computational method not a data repository.,Y,,
31974805,Speeding up the detection of non-iconic and iconic gestures (SPUDNIG): A toolkit for the automatic detection of hand movements and gestures in video data.,False,,,Y,high,Title describes a detection toolkit not a data repository.,Y,,
21898158,GazeAlyze: a MATLAB toolbox for the analysis of eye movement data.,False,,,Y,high,Title describes a toolbox for analysis not a data repository.,Y,,
26504853,FluKB: A Knowledge-Based System for Influenza Vaccine Target Discovery and Analysis of the Immunological Properties of Influenza Viruses.,False,Y,knowledge base,Y,medium,Title emphasizes system for discovery/analysis not primarily a data repository.,Y,,
32082281,FeGenie: A Comprehensive Tool for the Identification of Iron Genes and Iron Gene Neighborhoods in Genome and Metagenome Assemblies.,False,,,Y,high,Title describes a tool for identification not a data repository.,Y,,
34235898,3DPhenoFish: Application for two- and three-dimensional fish morphological phenotype extraction from point cloud analysis.,False,,,Y,high,Title describes an application for phenotype extraction not a data repository.,Y,,
30241466,ECPred: a tool for the prediction of the enzymatic functions of protein sequences based on the EC nomenclature.,True,,,Y,high,Title describes a prediction tool not a data repository.,Y,,
