"pmid","title","has_url","is_false_positive","confidence","reason","consol_agent_agree","consol_is_fp","consol_reason"
"22647208","AlzPathway: a comprehensive map of signaling pathways of Alzheimer's disease.","True","N","high","Title describes pathway map (database).","Y","",""
"23601370","LiverAtlas: a unique integrated knowledge database for systems-level research of liver and hepatic disease.","True","N","high","Title explicitly contains 'Atlas' and 'database'.","Y","",""
"24948109","BrassicaTED - a public database for utilization of miniature transposable elements in Brassica species.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21781326","PromBase: a web resource for various genomic features and predicted promoters in prokaryotic genomes.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"23109553, 26481353","ECMDB: the E. coli Metabolome Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"32502232","LabxDB: versatile databases for genomic sequencing and lab management.","True","N","high","Title explicitly contains 'databases'.","Y","",""
"24265224, 30407529","Updates to BioSamples database at European Bioinformatics Institute.","True","N","high","Title explicitly contains 'database'.","Y","",""
"32542363","PvP01-DB: computational structural and functional characterization of soluble proteome of PvP01 strain of Plasmodium vivax.","True","N","high","Title contains 'DB' (database).","Y","",""
"31535335","Atacama Database: a platform of the microbiome of the Atacama Desert.","True","N","high","Title explicitly contains 'Database' and 'platform'.","Y","",""
"23709164","ESCOLEX: a grade-level lexical database from European Portuguese elementary to middle school textbooks.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25392417","CeCaFDB: a curated database for the documentation, visualization and comparative analysis of central carbon metabolic flux distributions explored by 13C-fluxomics.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24234444","CollecTF: a database of experimentally validated transcription factor-binding sites in Bacteria.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27022160","CoDNaS 2.0: a comprehensive database of protein conformational diversity in the native state.","True","N","high","Title explicitly contains 'database'.","Y","",""
"32294195","ASFVdb: an integrative resource for genomic and proteomic analyses of African swine fever virus.","True","N","high","Title contains 'db' and 'resource'.","Y","",""
"23203867","NetwoRx: connecting drugs to networks and phenotypes in Saccharomyces cerevisiae.","True","N","medium","NetwoRx is database connecting drugs to networks.","Y","",""
"32911083","MosaicBase: A Knowledgebase of Postzygotic Mosaic Variants in Noncancer Disease-related and Healthy Human Individuals.","True","N","high","Title explicitly contains 'Knowledgebase'.","Y","",""
"22544707, 29757393, 32496546","SNPnexus: a web server for functional annotation of novel and publicly known genetic variants (2012 update).","True","N","medium","Title indicates 'web server for' annotation; has database backend.","Y","",""
"31598690","ProCarbDB: a database of carbohydrate-binding proteins.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26546518","The Transporter Classification Database (TCDB): recent advances.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"32990749","TCRdb: a comprehensive database for T-cell receptor sequences with powerful search function.","True","N","high","Title explicitly contains 'database'.","Y","",""
"33219686","LnCeCell: a comprehensive database of predicted lncRNA-associated ceRNA networks at single-cell resolution.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25414353","EHFPI: a database and analysis resource of essential host factors for pathogenic infection.","True","N","high","Title explicitly contains 'database' and 'resource'.","Y","",""
"33196841, 34826364","ProThermDB: thermodynamic database for proteins and mutants revisited after 15 years.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27924044","PlaMoM: a comprehensive database compiles plant mobile macromolecules.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29432422","TopicalPdb: A database of topically delivered peptides.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24163098","SMMRNA: a database of small molecule modulators of RNA.","True","N","high","Title explicitly contains 'database'.","Y","",""
"34556150","AprGPD: the apricot genomic and phenotypic database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29106642","MSDD: a manually curated database of experimentally supported associations among miRNAs, SNPs and human diseases.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25468931","AromaDeg, a novel database for phylogenomics of aerobic bacterial degradation of aromatics.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26200753","Pre_GI: a global map of ontological links between horizontally transferred genomic islands in bacterial and archaeal genomes.","True","N","high","Title describes global map (database).","Y","",""
"23203887","Zinc Finger Database (ZiFDB) v2.0: a comprehensive database of C₂H₂ zinc fingers and engineered zinc finger arrays.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"33502860","InterMetalDB: A Database and Browser of Intermolecular Metal Binding Sites in Macromolecules with Structural Information.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"32754758","ConoMode, a database for conopeptide binding modes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24923818","ParaPep: a web resource for experimentally validated antiparasitic peptide sequences and their structures.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"31733062","ParameciumDB 2019: integrating genomic data across the genus for functional and evolutionary biology.","True","N","high","Title contains 'DB' (database).","Y","",""
"23193298","SecReT4: a web-based bacterial type IV secretion system resource.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"31504765","GMrepo: a database of curated and consistently annotated human gut metagenomes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27742820","PIECE 2.0: an update for the plant gene structure comparison and evolution database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22276777","miRdSNP: a database of disease-associated SNPs and microRNA target sites on 3'UTRs of human genes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"32509450","VIRdb: a comprehensive database for interactive analysis of genes/proteins involved in the pathogenesis of vitiligo.","True","N","high","Title explicitly contains 'database'.","Y","",""
"33137204","KinaseMD: kinase mutations and drug response database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29788225","LnChrom: a resource of experimentally validated lncRNA-chromatin interactions in human and mouse.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"25262351, 30204897","AnimalTFDB 2.0: a resource for expression, prediction and functional study of animal transcription factors.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"24723423","OrthoMaM v8: a database of orthologous exons and coding sequences for comparative genomics in mammals.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25104313, 27076334","DNAVaxDB: the first web-based DNA vaccine database and its data analysis.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27819351","PEPlife: A Repository of the Half-life of Peptides.","True","N","high","Title explicitly contains 'Repository'.","Y","",""
"23087378","BioLiP: a semi-manually curated database for biologically relevant ligand-protein interactions.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22139941","MMMDB: Mouse Multiple Tissue Metabolome Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"25404132","DoGSD: the dog and wolf genome SNP database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29309507","SEGreg: a database for human specifically expressed genes and their regulations in cancer and normal tissue.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29057095","SalmoNet, an integrated network of ten <i>Salmonella enterica</i> strains reveals common and distinct pathways to host adaptation.","True","N","high","SalmoNet is integrated network database.","Y","",""
"21940398, 30357384","BitterDB: a database of bitter compounds.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23203879","BSRD: a repository for bacterial small regulatory RNA.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"32512182","IRESbase: A Comprehensive Database of Experimentally Validated Internal Ribosome Entry Sites.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"26438538","dbSUPER: a database of super-enhancers in mouse and human genome.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25352549","euL1db: the European database of L1HS retrotransposon insertions in humans.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27789693","3DSNP: a database for linking human noncoding SNPs to their three-dimensional interacting genes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24273012","SpliceProt: a protein sequence repository of predicted human splice variants.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"29069475","APPRIS 2017: principal isoforms for multiple gene sets.","True","N","high","APPRIS is isoform database.","Y","",""
"25534749","EssOilDB: a database of essential oils reflecting terpene composition and variability in the plant kingdom.","True","N","high","Title explicitly contains 'database'.","Y","",""
"30053265","exoRBase: a database of circRNA, lncRNA and mRNA in human blood exosomes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25551368","PD_NGSAtlas: a reference database combining next-generation sequencing epigenomic and transcriptomic data for psychiatric disorders.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27727438, 30371878","COSMIC: High-Resolution Cancer Genetics Using the Catalogue of Somatic Mutations in Cancer.","True","N","high","Title explicitly contains 'Catalogue' (database).","Y","",""
"30321400","EWASdb: epigenome-wide association study database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27387194","TBC2health: a database of experimentally validated health-beneficial effects of tea bioactive compounds.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23514094, 24270786","Expansion of the enzymatic repertoire of the CAZy database to integrate auxiliary redox enzymes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"34729303","MCDB: A comprehensive curated mitotic catastrophe database for retrieval, protein sequence alignment, and target prediction.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26066708, 29087512","TRRUST: a reference database of human transcriptional regulatory interactions.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26519466, 32683045","Information Commons for Rice (IC4R).","True","N","high","Title describes Information Commons (database).","Y","",""
"30048518","YARG: A repository for arsenic-related genes in yeast.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"33119734","DescribePROT: database of amino acid-level protein structure and function predictions.","True","N","high","Title explicitly contains 'database'.","Y","",""
"30893420","AYbRAH: a curated ortholog database for yeasts and fungi spanning 600 million years of evolution.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27899580","OrthoDB v9.1: cataloging evolutionary and functional annotations for animal, fungal, plant, archaeal, bacterial and viral orthologs.","True","N","high","Title contains 'DB' (database).","Y","",""
"23197658","The Disease and Gene Annotations (DGA): an annotation resource for human disease.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"31164042","EmExplorer: a database for exploring time activation of gene expression in mammalian embryos.","True","N","high","Title explicitly contains 'database'.","Y","",""
"31774482","FluReassort: a database for the study of genomic reassortments among influenza viruses.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27899620","MRPrimerV: a database of PCR primers for RNA virus detection.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24275495","miRBase: annotating high confidence microRNAs using deep sequencing data.","True","N","high","miRBase is microRNA database.","Y","",""
"25048123","Antigen-Antibody Interaction Database (AgAbDb): a compendium of antigen-antibody interactions.","True","N","high","Title explicitly contains 'Database' and 'compendium'.","Y","",""
"26644460","The Vigna Genome Server, 'VigGS': A Genomic Knowledge Base of the Genus Vigna Based on High-Quality, Annotated Genome Sequence of the Azuki Bean, Vigna angularis (Willd.) Ohwi & Ohashi.","True","N","high","Title describes Genome Server and Knowledge Base.","Y","",""
"26225242","PhIN: A Protein Pharmacology Interaction Network Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"25332396","BCCTBbp: the Breast Cancer Campaign Tissue Bank bioinformatics portal.","True","N","high","Title describes bioinformatics portal (database).","Y","",""
"25199789","MalaCards: A Comprehensive Automatically-Mined Database of Human Diseases.","False","N","medium","Title explicitly contains 'Database' but no URL provided.","Y","",""
"33109630","Checkpoint therapeutic target database (CKTTD): the first comprehensive database for checkpoint targets and their modulators in cancer immunotherapy.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21507258","PheMaDB: a solution for storage, retrieval, and analysis of high throughput phenotype data.","False","Y","medium","Title describes database solution but no URL; emphasis on storage/retrieval suggests infrastructure.","Y","",""
"29136207","LinkedOmics: analyzing multi-omics data within and across 32 cancer types.","True","N","high","LinkedOmics is multi-omics database.","Y","",""
"24682734","EpimiR: a database of curated mutual regulation between miRNAs and epigenetic modifications.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29575358","ProtaBank: A repository for protein design and engineering data.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"26040787","CARMO: a comprehensive annotation platform for functional exploration of rice multi-omics data.","True","N","high","Title describes annotation platform (database).","Y","",""
"22064863","EcoliWiki: a wiki-based community resource for Escherichia coli.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"28049134, 30963485","miRandb: a resource of online services for miRNA research.","True","N","high","Title contains 'db' and 'resource'.","Y","",""
"26980516","DemaDb: an integrated dematiaceous fungal genomes database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27643925","StemCellCKB: An Integrated Stem Cell-Specific Chemogenomics KnowledgeBase for Target Identification and Systems-Pharmacology Research.","True","N","high","Title explicitly contains 'KnowledgeBase'.","Y","",""
"33588073","ASDB: A comprehensive omics database for Anopheles sinensis.","True","N","high","Title explicitly contains 'database'.","Y","",""
"31337335","Pathogenic Protist Transmembranome database (PPTdb): A web-based platform for searching and analysis of protist transmembrane proteins.","True","N","high","Title explicitly contains 'database' and 'platform'.","Y","",""
"33193550","MaizeMine: A Data Mining Warehouse for the Maize Genetics and Genomics Database.","True","N","high","Title describes Data Mining Warehouse (database).","Y","",""
"25267795","CarrotDB: a genomic and transcriptomic database for carrot.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25931458","NeuroPep: a comprehensive resource of neuropeptides.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"25378337","APASdb: a database describing alternative poly(A) sites and selection of heterogeneous cleavage sites downstream of poly(A) signals.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22826268","CNVD: text mining-based copy number variation in disease database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23818526","CHD@ZJU: a knowledgebase providing network-based research platform on coronary heart disease.","True","N","high","Title explicitly contains 'knowledgebase' and 'platform'.","Y","",""
"21253872","TSdb: a database of transporter substrates linking metabolic pathways and transporter systems on a genome scale via their shared substrates.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24007337","GRASP [Genomic Resource Access for Stoichioproteomics]: comparative explorations of the atomic content of 12 Drosophila proteomes.","True","N","high","Title explicitly contains 'Resource'.","Y","",""
"24465676","mUbiSiDa: a comprehensive database for protein ubiquitination sites in mammals.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22013161, 24304894, 26673713, 30496479, 33219674","canSAR: an integrated cancer public translational research and drug discovery resource.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"24081580","3did: a catalog of domain-based interactions of known three-dimensional structure.","True","N","high","Title explicitly contains 'catalog'.","Y","",""
"32122231","ncRPheno: a comprehensive database platform for identification and validation of disease related noncoding RNAs.","True","N","high","Title explicitly contains 'database platform'.","Y","",""
"30252093","iProX: an integrated proteome resource.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"24030781","IQdb: an intelligence quotient score-associated gene resource for human intelligence.","True","N","high","Title contains 'db' and 'resource'.","Y","",""
"32820322","LncAS2Cancer: a comprehensive database for alternative splicing of lncRNAs across human cancers.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25939485","PGMD: a comprehensive manually curated pharmacogenomic database.","False","N","medium","Title explicitly contains 'database' but no URL provided.","Y","",""
"23772554","PRIMOS: an integrated database of reassessed protein-protein interactions providing web-based access to in silico validation of experimentally derived data.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29520288","TBC2target: A Resource of Predicted Target Genes of Tea Bioactive Compounds.","True","N","high","Title explicitly contains 'Resource'.","Y","",""
"22102583","Mouse Phenome Database (MPD).","True","N","high","Title explicitly contains 'Database'.","Y","",""
"29531263","IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23486013","CancerDR: cancer drug resistance database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"33906563","M6ADD: a comprehensive database of m<sup>6</sup>A modifications in diseases.","True","N","high","Title explicitly contains 'database'.","Y","",""
"28365733","miRnalyze: an interactive database linking tool to unlock intuitive microRNA regulation of cell signaling pathways.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22064857","FungiDB: an integrated functional genomics database for fungi.","True","N","high","Title explicitly contains 'database'.","Y","",""
"30364951","DoriC 10.0: an updated database of replication origins in prokaryotic genomes including chromosomes and plasmids.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26721496","NONCODEv4: Annotation of Noncoding RNAs with Emphasis on Long Noncoding RNAs.","True","N","high","NONCODE is lncRNA database.","Y","",""
"28473704","CancerPDF: A repository of cancer-associated peptidome found in human biofluids.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"30689843","ccPDB 2.0: an updated version of datasets created and compiled from Protein Data Bank.","True","N","high","Title describes datasets from PDB.","Y","",""
"30066211","HAMdb: a database of human autophagy modulators with specific pathway and disease information.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26973684","FragariaCyc: A Metabolic Pathway Database for Woodland Strawberry Fragaria vesca.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"33104791","DrugSpaceX: a large screenable and synthetically tractable database extending drug space.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27515999","PoplarGene: poplar gene network and resource for mining functional information for genes from woody plants.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"28168018","IRBAS: An online database to collate, analyze, and synthesize data on the biodiversity and ecology of intermittent rivers worldwide.","True","N","high","Title explicitly contains 'database'.","Y","",""
"31016417","DNAmod: the DNA modification database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"31584086","PGG.Han: the Han Chinese genome database and analysis platform.","True","N","high","Title explicitly contains 'database' and 'platform'.","Y","",""
"22325123","YADAMP: yet another database of antimicrobial peptides.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26794641","A brain imaging repository of normal structural MRI across the life course: Brain Images of Normal Subjects (BRAINS).","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"31728519","SyntDB: defining orthologues of human long noncoding RNAs across primates.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"32813752","SVAD: A genetic database curates non-ischemic sudden cardiac death-associated variants.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"22903802, 32016318","VariBench: a benchmark database for variations.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"26708988","HitPredict version 4: comprehensive reliability scoring of physical protein-protein interactions from more than 100 species.","True","N","low","Has URL and biological data terms but title unclear","Y","",""
"26073932","Pedican: an online gene resource for pediatric cancers with literature evidence.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25220766","LabeledIn: cataloging labeled indications for human drugs.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"23203985","Dfam: a database of repetitive DNA based on profile hidden Markov models.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"23066107, 26590405","TSGene: a web resource for tumor suppressor genes.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"29036653","miRCarta: a central repository for collecting miRNA candidates.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25450223","Haemophilus influenzae Genome Database (HIGDB): a single point web resource for Haemophilus influenzae.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24178034","IDEAL in 2014 illustrates interaction networks composed of intrinsically disordered proteins and their binding partners.","True","N","low","Has URL and biological data terms but title unclear","Y","",""
"21993301","Polbase: a repository of biochemical, genetic and structural information about DNA polymerases.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25414356, 27899674, 31777944","CDD: NCBI's conserved domain database.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"23203986, 31733063","Genome3D: a UK collaborative project to annotate genomic sequences with predicted 3D structures based on SCOP and CATH domains.","True","N","low","Has URL and biological data terms but title unclear","Y","",""
"33045741","LncSEA: a platform for long non-coding RNA related sets and enrichment analysis.","True","Y","medium","Methodology/tool paper despite having URL","N","N","Has URL and no strong FP indicators"
"26567549","GEneSTATION 1.0: a synthetic resource of diverse evolutionary and functional genomic data for studying the evolution of pregnancy-associated tissues and phenotypes.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"21943338","TIGER: Toolbox for integrating genome-scale metabolic models, expression data, and transcriptional regulatory networks.","False","Y","high","No URL provided - unlikely to be a data resource","Y","",""
"33581334","OGP: A Repository of Experimentally Characterized O-glycoproteins to Facilitate Studies on O-glycosylation.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"26432830, 30398659","MitoMiner v3.1, an update on the mitochondrial proteomics database.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24712981","SFGD: a comprehensive platform for mining functional information from soybean transcriptome data and its use in identifying acyl-lipid metabolism pathways.","True","Y","medium","Methodology/tool paper despite having URL","N","N","Has URL and no strong FP indicators"
"27789701, 30272209","Updates in Rhea - an expert curated resource of biochemical reactions.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"29774137","Saudi anti-human cancer plants database (SACPD): A collection of plants with anti-human cancer activities.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25480115","Sinbase: an integrated database to study genomics, genetics and comparative genomics in Sesamum indicum.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24323624","SABRE2: a database connecting plant EST/full-length cDNA clones with Arabidopsis information.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24066126","SurvExpress: an online biomarker validation tool and database for cancer gene expression data using survival analysis.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"28850115","RefEx, a reference gene expression dataset as a web tool for the functional analysis of genes.","True","Y","medium","Methodology/tool paper despite having URL","Y","",""
"34774049","DREAM: a database of experimentally supported protein-coding RNAs and drug associations in human cancer.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25614757","WallProtDB, a database resource for plant cell wall proteomics.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"32681639","Autophagy and Tumor Database: ATdb, a novel database connecting autophagy and tumor.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"26503249, 29688378","BDB: biopanning data bank.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"21498548","Allie: a database and a search service of abbreviations and long forms.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25273105, 30380106","OrthoInspector 2.0: Software and database updates.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"31599098","PSMD: An extensive database for pan-species microsatellite investigation and marker development.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"27097230","SignaFish: A Zebrafish-Specific Signaling Pathway Resource.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"31642484","SilkDB 3.0: visualizing and exploring multiple levels of data for silkworm.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"23193256","ESTHER, the database of the α/β-hydrolase fold superfamily of proteins: tools to explore diversity of functions.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"22916227","CLEARPOND: cross-linguistic easy-access resource for phonological and orthographic neighborhood densities.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25943471","The SwissLipids knowledgebase for lipid biology.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"33985427","TarDB: an online database for plant miRNA targets and miRNA-triggered phased siRNAs.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24244721","Meta-analysis using a novel database, miRStress, reveals miRNAs that are frequently associated with the radiation and hypoxia stress-responses.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"23846596","T2D@ZJU: a knowledgebase integrating heterogeneous connections associated with type 2 diabetes mellitus.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"26424082","RegNetwork: an integrated database of transcriptional and post-transcriptional regulatory networks in human and mouse.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"22439011, 25425035","microPIR: an integrated database of microRNA target sites within human promoter sequences.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"22559792","ADMET evaluation in drug discovery. 11. PharmacoKinetics Knowledge Base (PKKB): a comprehensive database of pharmacokinetic and toxic properties for drugs.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24525374","lncRNAMap: a map of putative regulatory functions in the long non-coding transcriptome.","True","Y","low","Unclear from title but likely not a primary data resource","N","N","Has URL and no strong FP indicators"
"30408350","Investigation of RNA-RNA Interactions Using the RISE Database.","False","N","high","Contains database/repository keyword indicating data resource","Y","",""
"22698731","The insulin-like growth factor mutation database (IGFmdb).","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24923822","MorusDB: a resource for mulberry genomics and genome biology.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"30453895, 32009518","RATEmiRs: the rat atlas of tissue-specific and enriched miRNAs database.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"28724888","CrossCheck: an open-source web tool for high-throughput screen data analysis.","True","Y","medium","Methodology/tool paper despite having URL","Y","",""
"29178828","CrusTF: a comprehensive resource of transcriptomes for evolutionary and functional studies of crustacean transcription factors.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"27581336","IBIS: an OR ready open-source platform for image-guided neurosurgery.","False","Y","high","Methodology/tool paper with no URL","Y","",""
"34156447","mPPI: a database extension to visualize structural interactome in a one-to-many manner.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"25428349","OMIM.org: Online Mendelian Inheritance in Man (OMIM®), an online catalog of human genes and genetic disorders.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"29126123","PedAM: a database for Pediatric Disease Annotation and Medicine.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"22009673, 30407568","ICEberg: a web-based resource for integrative and conjugative elements found in Bacteria.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"32655358","BETA: A Large Benchmark Database Toward SSVEP-BCI Application.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"24225319","DNASU plasmid and PSI:Biology-Materials repositories: resources to accelerate biological research.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"31886476","Bringing data from curated pathway resources to Cytoscape with OmniPath.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"30329036, 33080015","GeneLab: Omics database for spaceflight experiments.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"29069414","The BioStudies database-one stop shop for all data supporting a life sciences study.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"34316271","Virtual Herbarium ALTB: collection of vascular plants of the Altai Mountain Country.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"26527733, 29082924","Norine, the knowledgebase dedicated to non-ribosomal peptides, is now open to crowdsourcing.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"31599923","BiomeNet: a database for construction and analysis of functional interaction networks for any species with a sequenced genome.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"34330336","HumGut: a comprehensive human gut prokaryotic genomes collection filtered by metagenome data.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"30418591","HumanNet v2: human gene networks for disease research.","True","N","low","Has URL and biological data terms but title unclear","Y","",""
"27242503","Building the Ferretome.","True","Y","low","Unclear from title but likely not a primary data resource","N","N","Has URL and no strong FP indicators"
"22427539","The SMART Platform: early experience enabling substitutable applications for electronic health records.","True","Y","low","Unclear from title but likely not a primary data resource","N","N","Has URL and no strong FP indicators"
"28053162","POSTAR: a platform for exploring post-transcriptional regulation coordinated by RNA-binding proteins.","True","Y","medium","Methodology/tool paper despite having URL","N","N","Has URL and no strong FP indicators"
"30364969, 31584095","EWAS Atlas: a curated knowledgebase of epigenome-wide association studies.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"27797767, 30598108","miRNAmeConverter: an R/bioconductor package for translating mature miRNA names to different miRBase versions.","True","Y","medium","Methodology/tool paper despite having URL","N","N","Title contains database/resource keyword indicating data collection"
"26989148","Wikidata as a semantic framework for the Gene Wiki initiative.","True","Y","medium","Methodology/tool paper despite having URL","Y","",""
"31114901","Simple ClinVar: an interactive web server to explore and retrieve gene and disease variants aggregated in ClinVar database.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
"23193289","PANTHER in 2013: modeling the evolution of gene function, and other gene attributes, in the context of phylogenetic trees.","True","N","low","Has URL and biological data terms but title unclear","Y","",""
"24569397","PCMdb: pancreatic cancer methylation database.","True","N","high","Contains database/repository keyword indicating data resource","Y","",""
