"extracted_name","extracted_long","extracted_url","baseline_name","baseline_long","baseline_url","score","signals","signal_count","edit_distance","same_domain","confidence","is_match","review_flags","conflict_resolved"
"IDPM","Ion Distribution in Protein Molecules","http://liulab.csrc.ac.cn/idpm/","IDPM","ion distribution in protein molecules","http://liulab.csrc.ac.cn/idpm","10.0","EXACT","1","0","True","HIGH","Y","",""
"IEDB","Immune Epitope Database","http://www.iedb.org","IEDB","Immune Epitope Database and Analysis Resource","http://www.iedb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"IFIM","Integrated Fitness Information for Microbial genes","http://cefg.uestc.edu.cn/ifim/","IFIM","nan","http://cefg.uestc.edu.cn/ifim/, http://cefg.cn/ifim","10.0","EXACT","1","0","True","HIGH","Y","",""
"IGD","intronless genes database","http://www.bioinfo-cbs.org/igd","IGD","Intronless Gene Database","http://www.bioinfo-cbs.org/igd","10.0","EXACT","1","0","True","HIGH","Y","",""
"IGDB","IGDB","http://igdb.nsclc.ibms.sinica.edu.tw","IGDB.NSCLC","nan","http://igdb.nsclc.ibms.sinica.edu.tw","2.05","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_SIM_1.00","3","6","True","HIGH","Y","GENERIC_DOMAIN, THRESHOLD_EDGE",""
"IGDD","Intronless Gene Database in Dicots","http://bio.njfu.edu.cn/igdd/","IGDD","Intronless Genes Database in Dicots","http://bio.njfu.edu.cn/igdd","10.0","EXACT","1","0","True","HIGH","Y","",""
"IGFmdb","Insulin-like Growth Factor Mutation Database","http://www.adelaide.edu.au/igfmutation","IGFmdb","The insulin-like growth factor mutation database","http://www.adelaide.edu.au/igfmutation","10.0","EXACT","1","0","True","HIGH","Y","",""
"IGSR","International Genome Sample Resource","http://www.internationalgenome.org","IGSR","International Genome Sample Resource","http://www.internationalgenome.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"IHEC Data Portal","International Human Epigenome Consortium Data Portal","http://epigenomesportal.ca/ihec","IHEC","nan","http://epigenomesportal.ca/ihec","2.55","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_1.00","3","12","True","HIGH","Y","HIGH_ED_MATCH",""
"IID","Integrated Interactions Database","http://ophid.utoronto.ca/iid","IID","Integrated Interactions Database","http://ophid.utoronto.ca/iid","10.0","EXACT","1","0","True","HIGH","Y","",""
"IIID","Insect Innate Immunity Database","http://www.vanderbilt.edu/IIID","IIID","Insect Innate Immunity Database","http://www.vanderbilt.edu/IIID","10.0","EXACT","1","0","True","HIGH","Y","",""
"IIIDB","Isoform-Isoform Interaction Database","http://syslab.nchu.edu.tw/IIIDB","IIIDB","nan","http://syslab.nchu.edu.tw/IIIDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"IIMDB","IIMDB","http://metabolomics.pharm.uconn.edu/iimdb/","IIMDB","In Vivo/In Silico Metabolites Database","http://metabolomics.pharm.uconn.edu/iimdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"IKMC","International Knockout Mouse Consortium","http://www.mousephenotype.org","IKMC","International Knockout Mouse Consortium","http://www.mousephenotype.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ILDGDB","Interstitial Lung Disease Genomics Database","http://ildgdb.org/","ILDGDB","nan","http://ildgdb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ILDgenDB","ILDgenDB","http://14.139.240.55/ildgendb/index.php","ILDgenDB","nan","http://14.139.240.55/ildgendb/index.php","10.0","EXACT","1","0","True","HIGH","Y","",""
"ILISI","Index of Italian Literature on Nursing Sciences","http://www.ipasvi.roma.it/ita/ILISI/","ILISI","Index of Italian Literature on Nursing Sciences","http://www.ipasvi.roma.it/ita/ILISI","10.0","EXACT","1","0","True","HIGH","Y","",""
"IMG-ABC","Integrated Microbial Genomes Atlas of Biosynthetic gene Clusters","https://img.jgi.doe.gov/abc","IMG-ABC","Integrated Microbial Genomes Atlas of Biosynthetic gene Clusters","http://img.jgi.doe.gov/abc","10.0","EXACT","1","0","True","HIGH","Y","",""
"IMG/VR","DNA viruses and retroviruses database","https://img.jgi.doe.gov/vr/","IMG/VR","nan","http://img.jgi.doe.gov/vr, http://genome.jgi.doe.gov/portal/IMG_VR","10.0","EXACT","1","0","True","HIGH","Y","",""
"IMOTA","Interactive Multi-Omics Tissue Atlas","https://ccb-web.cs.uni-saarland.de/imota/","IMOTA","nan","http://ccb-web.cs.uni-saarland.de/imota","10.0","EXACT","1","0","True","HIGH","Y","",""
"IMPC","International Mouse Phenotyping Consortium","http://www.mousephenotype.org","IMPC","nan","http://www.mousephenotype.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"IMPPAT","Indian Medicinal Plants Phytochemistry And Therapeutics","https://cb.imsc.res.in/imppat","IMPPAT","nan","http://cb.imsc.res.in/imppat","10.0","EXACT","1","0","True","HIGH","Y","",""
"INDIGO","INtegrated Data warehouse of microbial GenOmes","http://www.cbrc.kaust.edu.sa/indigo","INDIGO","Annotation of Microbial Genomes","http://www.cbrc.kaust.edu.sa/indigo","10.0","EXACT","1","0","True","HIGH","Y","",""
"INOH","Integrating Network Objects with Hierarchies","http://www.inoh.org/","INOH","Integrating Network Objects with Hierarchies","http://www.inoh.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"INstruct","INteractome structure database","http://instruct.yulab.org","INstruct","nan","http://instruct.yulab.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"IPAD","Integrated Pathway Analysis Database","","IPAD","Integrated Pathway Analysis Database for Systematic Enrichment Analysis","http://bioinfo.hsc.unt.edu/ipad","10.0","EXACT","1","0","True","HIGH","Y","",""
"IPD","Immuno Polymorphism Database","http://www.actrec.gov.in/pi-webpages/AmitDutt/IPD/IPD.html","IPD","The Immuno Polymorphism Database","http://www.ebi.ac.uk/ipd","10.0","EXACT","1","0","True","HIGH","Y","",""
"IPGB","Incontinentia Pigmenti Genetic Biobank","http://www.igb.cnr.it/ipgb","IPGB","Incontinentia Pigmenti Genetic Biobank","http://www.igb.cnr.it/ipgb","10.0","EXACT","1","0","True","HIGH","Y","",""
"IQdb","Intelligence Quotient database","http://IQdb.cbi.pku.edu.cn","IQdb","nan","http://IQdb.cbi.pku.edu.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"IRBAS","Intermittent River Biodiversity Analysis and Synthesis","http://irbas.cesab.org","IRBAS","Intermittent River Biodiversity Analysis and Synthesis","http://irbas.cesab.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"IRD","Influenza Research Database","http://www.fludb.org","IRD","Influenza Research Database","http://www.fludb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"IRESbase","Internal Ribosome Entry Site base","http://reprod.njmu.edu.cn/cgi-bin/iresbase/index.php","IRESbase","nan","http://reprod.njmu.edu.cn/cgi-bin/iresbase/index.php","10.0","EXACT","1","0","True","HIGH","Y","",""
"IRView","Interacting Regions View","http://ir.hgc.jp/","IRView","nan","http://ir.hgc.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"ISOB","Indigenous Snakes Of Bangladesh","http://www.snakebd.com/","ISOB","nan","http://www.snakebd.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"ISSMIC","ISSMIC","http://www.iss.it/ampp/dati/cont.php?id=233&lang=1&tipo=7","ISSMIC","nan","http://www.iss.it/ampp/dati/cont.php?id=233&lang=1&tipo=7","10.0","EXACT","1","0","True","HIGH","Y","",""
"ISVdb","Inbred Strain Variant Database","http://isvdb.unc.edu","ISVdb","Inbred Strain Variant Database","http://isvdb.unc.edu","10.0","EXACT","1","0","True","HIGH","Y","",""
"ITS2","Internal Transcribed Spacer 2 Database","http://its2.bioapps.biozentrum.uni-wuerzburg.de/","ITS2","nan","http://its2.bioapps.biozentrum.uni-wuerzburg.de","10.0","EXACT","1","0","True","HIGH","Y","",""
"ITSoneDB","ITSoneDB","http://itsonedb.cloud.ba.infn.it/","ITSoneDB","nan","http://itsonedb.cloud.ba.infn.it","10.0","EXACT","1","0","True","HIGH","Y","",""
"IUPHAR-DB","International Union of Pharmacology Database","","IUPHAR-DB","of Basic and Clinical Pharmacology Database","http://www.iuphar-db.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ImmReg","Immune Regulon database","http://bio-bigdata.hrbmu.edu.cn/ImmReg/","ImmReg","nan","http://bio-bigdata.hrbmu.edu.cn/ImmReg","10.0","EXACT","1","0","True","HIGH","Y","",""
"Immu-Mela","Immunotherapy Melanoma resource","http://bioinfo.vanderbilt.edu/database/Immu-Mela/","Immu-Mela","nan","http://bioinfo.vanderbilt.edu/database/Immu-Mela","10.0","EXACT","1","0","True","HIGH","Y","",""
"ImmuCellDB","Immune Cell Database","http://wap-lab.org:3200/ImmuCellDB/","ImmuCellDB","nan","http://wap-lab.org:3200/ImmuCellDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"ImmuCo","Immune cell Co-expression database","http://immuco.bjmu.edu.cn","ImmuCo","nan","http://immuco.bjmu.edu.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"ImmuSort","ImmuSort","http://202.85.212.211/Account/ImmuSort.html","ImmuSort","nan","http://202.85.212.211/Account/ImmuSort.html","10.0","EXACT","1","0","True","HIGH","Y","",""
"ImmunemiR","Immune miRNA Database","http://www.biominingbu.org/immunemir/","ImmunemiR","nan","http://www.biominingbu.org/immunemir","10.0","EXACT","1","0","True","HIGH","Y","",""
"ImtRDB","Imperfect mitochondrial Tandem Repeats Database","http://bioinfodbs.kantiana.ru/ImtRDB/","ImtRDB","nan","http://bioinfodbs.kantiana.ru/ImtRDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"InDiaMed","Indian Medicinal plants Database","http://www.indiamed.info","InDiaMed","nan","http://www.indiamed.info","10.0","EXACT","1","0","True","HIGH","Y","",""
"InSexBase","Insect Sex chromosome Base","http://www.insect-genome.com/Sexdb/","InSexBase","nan","http://www.insect-genome.com/Sexdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"IndelFR","Indel Flanking Regions","http://indel.bioinfo.sdu.edu.cn","IndelFR","Indel Flanking Region Database","http://indel.bioinfo.sdu.edu.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"IndiGenomes","Indian Genomes database","http://clingen.igib.res.in/indigen/","IndiGenomes","nan","http://clingen.igib.res.in/indigen","10.0","EXACT","1","0","True","HIGH","Y","",""
"Infevers","Infevers","http://fmf.igh.cnrs.fr/ISSAID/infevers","Infevers","nan","http://fmf.igh.cnrs.fr/ISSAID/infevers","10.0","EXACT","1","0","True","HIGH","Y","",""
"InnateDB","Innate Database","http://www.innatedb.com","InnateDB","nan","http://www.innatedb.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"InsectBase","Insect Base","http://www.insect-genome.com","InsectBase","nan","http://www.insect-genome.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"IntAct","IntAct","http://www.ebi.ac.uk/intact","IntAct","nan","http://www.ebi.ac.uk/intact","10.0","EXACT","1","0","True","HIGH","Y","",""
"IntDb","Intron Database","http://introndb.bicpu.edu.in/","IntDb","nan","http://introndb.bicpu.edu.in","10.0","EXACT","1","0","True","HIGH","Y","",""
"IntPath","Integrated Pathway","http://compbio.ddns.comp.nus.edu.sg:8080/IntPath","IntPath","Integrated Pathway gene relationship database","http://compbio.ddns.comp.nus.edu.sg:8080/IntPath","10.0","EXACT","1","0","True","HIGH","Y","",""
"InterEvol","Interaction Evolution","http://biodev.cea.fr/interevol/","InterEvol","nan","http://biodev.cea.fr/interevol","10.0","EXACT","1","0","True","HIGH","Y","",""
"InterMetalDB","Inter-Molecular Metal Database","https://intermetaldb.biotech.uni.wroc.pl/","InterMetalDB","nan","http://intermetaldb.biotech.uni.wroc.pl","10.0","EXACT","1","0","True","HIGH","Y","",""
"InterPro","Integrated resource of protein families domains and functional sites","ftp://ftp.ebi.ac.uk/pub/databases/GO/goa/external2go/interpro2go","InterPro","nan","http://www.ebi.ac.uk/interpro","10.0","EXACT","1","0","True","HIGH","Y","",""
"InterStoreDB","Integration Store Database","http://www.interstoredb.org","InterStoreDB","nan","http://www.interstoredb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"InteracDome","InteracDome","http://interacdome.princeton.edu","InteracDome","nan","http://interacdome.princeton.edu","10.0","EXACT","1","0","True","HIGH","Y","",""
"IntergenicDB","Intergenic sequence Database","http://intergenicdb.bioinfoucs.com/","IntergenicDB","nan","http://intergenicdb.bioinfoucs.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"INSDC","International Nucleotide Sequence Database Collaboration","http://www.insdc.org","International Nucleotide Sequence Database Collaboration","International Nucleotide Sequence Database Collaboration","http://www.insdc.org","2.55","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","3","51","True","HIGH","Y","HIGH_ED_MATCH",""
"IDEAL","Intrinsically Disordered Proteins with Extensive Annotations and Literature","http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL/","Intrinsically Disordered proteins with Extensive Annotations and Literature","Intrinsically Disordered proteins with Extensive Annotations and Literature","http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL","2.05","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","3","70","True","HIGH","Y","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE",""
"IntronDB","Intron Database","http://www.nextgenbioinformatics.org/IntronDB","IntronDB","nan","http://www.nextgenbioinformatics.org/IntronDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"InvFEST","Inversion Festival Database","http://invfestdb.uab.cat","InvFEST","nan","http://invfestdb.uab.cat","10.0","EXACT","1","0","True","HIGH","Y","",""
"InverPep","Invertebrate Peptide Database","http://ciencias.medellin.unal.edu.co/gruposdeinvestigacion/prospeccionydisenobiomoleculas/InverPep/public/home_en","InverPep","nan","http://ciencias.medellin.unal.edu.co/gruposdeinvestigacion/prospeccionydisenobiomoleculas/InverPep/public/home_en","10.0","EXACT","1","0","True","HIGH","Y","",""
"Islander","Island database","http://bioinformatics.sandia.gov/islander/","Islander","nan","http://bioinformatics.sandia.gov/islander","10.0","EXACT","1","0","True","HIGH","Y","",""
"IsoBase","Isoform Base","http://isobase.csail.mit.edu/","IsoBase","nan","http://isobase.csail.mit.edu","10.0","EXACT","1","0","True","HIGH","Y","",""
"IsomiR Bank","IsomiRs research resource","http://mcg.ustc.edu.cn/bsc/isomir/","IsomiR Bank","nan","http://mcg.ustc.edu.cn/bsc/isomir/Contacts","10.0","EXACT","1","0","True","HIGH","Y","",""
"Isotopo","Isotopo","http://spp1316.uni-wuerzburg.de/bioinformatics/isotopo/","Isotopo","nan","http://spp1316.uni-wuerzburg.de/bioinformatics/isotopo","10.0","EXACT","1","0","True","HIGH","Y","",""
"IthaGenes","Thalassemia Genes Database","http://www.ithanet.eu/db/ithagenes","IthaGenes","nan","http://www.ithanet.eu/db/ithagenes","10.0","EXACT","1","0","True","HIGH","Y","",""
"JASPAR","JASPAR Database","","JASPAR","nan","http://jaspar.genereg.net","10.0","EXACT","1","0","True","HIGH","Y","",""
"JCDB","Jatropha curcas Database","http://jcdb.xtbg.ac.cn","JCDB","curcas database","http://jcdb.xtbg.ac.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"JET2","JET2 Viewer","http://www.jet2viewer.upmc.fr/","JET2","nan","http://www.jet2viewer.upmc.fr","10.0","EXACT","1","0","True","HIGH","Y","",""
"JRC GMO-Amplicons","GMO Amplicon Sequence Collection","http://gmo-crl.jrc.ec.europa.eu/jrcgmoamplicons/","JRC GMO-Amplicons","nan","http://gmo-crl.jrc.ec.europa.eu/jrcgmoamplicons","10.0","EXACT","1","0","True","HIGH","Y","",""
"JingleBells","JingleBells","http://www.broadinstitute.org/igv/","JingleBells","nan","http://jinglebells.bgu.ac.il","10.0","EXACT","1","0","True","HIGH","Y","",""
"JuncDB","Junction Database","http://juncdb.carmelab.huji.ac.il/","JuncDB","nan","http://juncdb.carmelab.huji.ac.il","10.0","EXACT","1","0","True","HIGH","Y","",""
"KAIKObase","Silkworm Genome Database","https://kaikobase.dna.affrc.go.jp","KAIKObase","silkworm genome","http://kaikobase.dna.affrc.go.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"KDDB","Kawasaki Disease Database","http://www.kawasakidisease.kr","KDDB","Allele Frequency Net Database","http://www.allelefrequencies.net, http://www.allelefrequencies.net/diseases","10.0","EXACT","1","0","True","HIGH","Y","",""
"KEGG","Kyoto Encyclopedia of Genes and Genomes","http://www.genome.jp/kegg/","KEGG","Kyoto Encyclopedia of Genes and Genomes","http://www.kegg.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"KERIS","KERIS","http://www.igenomed.org/keris/","KERIS","nan","http://www.igenomed.org/keris","10.0","EXACT","1","0","True","HIGH","Y","",""
"KGCAK","KGCAK","http://kgcak.big.ac.cn/KGCAK/","KGCAK","nan","http://kgcak.big.ac.cn/KGCAK","10.0","EXACT","1","0","True","HIGH","Y","",""
"KGVDB","Korean Genomic Variant Database","http://biomi.cdc.go.kr/KGVDB","KGVDB","nan","http://biomi.cdc.go.kr/KGVDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"KID","Kinase-substrate Interaction Database","http://www.moseslab.csb.utoronto.ca/KID/","KID","Yeast Kinase Interaction Database","http://www.moseslab.csb.utoronto.ca/KID","10.0","EXACT","1","0","True","HIGH","Y","",""
"KIDFamMap","Kinase-Inhibitor-Disease Family Map","http://gemdock.life.nctu.edu.tw/KIDFamMap/","KIDFamMap","nan","http://gemdock.life.nctu.edu.tw/KIDFamMap","10.0","EXACT","1","0","True","HIGH","Y","",""
"KIR","Kiwifruit Information Resource","http://bdg.hfut.edu.cn/kir/index.html","KIR","Kiwifruit Information Resource","http://bdg.hfut.edu.cn/kir/index.html","10.0","EXACT","1","0","True","HIGH","Y","",""
"KIXBASE","KIX domain BASE","http://www.nipgr.res.in/kixbase/home.php","KIXBASE","nan","http://www.nipgr.res.in/kixbase/home.php","10.0","EXACT","1","0","True","HIGH","Y","",""
"KLIFS","Kinase-Ligand Interaction Fingerprints and Structures","","KLIFS","inase-L","http://klifs.net","10.0","EXACT","1","0","True","HIGH","Y","",""
"KNApSAcK","KNApSAcK","http://kanaya.naist.jp/KNApSAcK_Family/","KNApSAcK","nan","http://kanaya.naist.jp/KNApSAcK_Family/, http://kanaya.naist.jp/knapsack3d","10.0","EXACT","1","0","True","HIGH","Y","",""
"KNIndex","K-tuple Nucleotide Index","https://knindex.pufengdu.org","KNIndex","nan","http://knindex.pufengdu.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"KONAGAbase","KONAGA Database","http://dbm.dna.affrc.go.jp/px/","KONAGAbase","nan","http://dbm.dna.affrc.go.jp/px","10.0","EXACT","1","0","True","HIGH","Y","",""
"KRGDB","Korean Reference Genome Database","","KRGDB","Korean Reference Genome Database","http://coda.nih.go.kr/coda/KRGDB/index.jsp","10.0","EXACT","1","0","True","HIGH","Y","",""
"KUPKB","Kidney and urinary pathway knowledge base","http://www.e-lico.eu/kupkb","KUPKB","a kidney and urinary pathway","http://www.e-lico.eu/kupkb","10.0","EXACT","1","0","True","HIGH","Y","",""
"KVarPredDB","Keratin Variant Prediction Database","http://bioinfo.zju.edu.cn/KVarPredDB","KVarPredDB","VarPredDB","http://bioinfo.zju.edu.cn/KVarPredDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"Kalium","Kalium","","Kalium","nan","http://kaliumdb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"KampoDB","Kampo Database","http://wakanmoview.inm.u-toyama.ac.jp/kampo/","KampoDB","nan","http://wakanmoview.inm.u-toyama.ac.jp/kampo","10.0","EXACT","1","0","True","HIGH","Y","",""
"Kassiopeia","Kassiopeia","http://www.motorprotein.de/kassiopeia","Kassiopeia","nan","http://www.motorprotein.de/kassiopeia","10.0","EXACT","1","0","True","HIGH","Y","",""
"KMarkerDB","Kazusa Marker Database","http://marker.kazusa.or.jp","Kazusa Marker DataBase","Kazusa Marker DataBase","http://marker.kazusa.or.jp","2.55","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","3","13","True","HIGH","Y","HIGH_ED_MATCH",""
"KiMoSys","KiMoSys","http://www.kimosys.org","KiMoSys","nan","http://kimosys.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"KiPho","Kinome and Phosphatome","http://bioinfo.icgeb.res.in/kipho","KiPho","Malaria Parasite Kinome-Phosphatome","http://bioinfo.icgeb.res.in/kipho","10.0","EXACT","1","0","True","HIGH","Y","",""
"Kin-Driver","Kinase Driver Mutation Database","http://kin-driver.leloir.org.ar/","Kin-driver","nan","http://kin-driver.leloir.org.ar","10.0","EXACT","1","0","True","HIGH","Y","",""
"KinaseMD","Kinase Mutation Database","https://bioinfo.uth.edu/kmd/","KinaseMD","nan","http://bioinfo.uth.edu/kmd","10.0","EXACT","1","0","True","HIGH","Y","",""
"KinetochoreDB","Kinetochore Database","http://lightning.med.monash.edu/kinetochoreDB2/","KinetochoreDB","nan","http://lightning.med.monash.edu/kinetochoreDB2","10.0","EXACT","1","0","True","HIGH","Y","",""
"KGD","Kiwifruit Genome Database","http://kiwifruitgenome.org/","Kiwifruit Genome Database","Kiwifruit Genome Database","http://kiwifruitgenome.org","2.55","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","3","22","True","HIGH","Y","HIGH_ED_MATCH",""
"KnockTF","Knockdown Transcription Factor","http://www.licpathway.net/KnockTF/index.html","KnockTF","nan","http://www.licpathway.net/KnockTF/index.html","10.0","EXACT","1","0","True","HIGH","Y","",""
"KnotProt","KnotProt 2.0","http://knotprot.cent.uw.edu.pl/","KnotProt","nan","http://knotprot.cent.uw.edu.pl","10.0","EXACT","1","0","True","HIGH","Y","",""
"L1Base","L1Base","http://l1base.charite.de","L1Base","nan","http://l1base.charite.de","10.0","EXACT","1","0","True","HIGH","Y","",""
"LAHEDES","LAGLIDADG Homing Endonuclease Database","http://homingendonuclease.net","LAHEDES","LAGLIDADG","http://homingendonuclease.net","10.0","EXACT","1","0","True","HIGH","Y","",""
"LAMP","Linking Antimicrobial Peptides","http://www.llamp.net","LAMP","nan","http://biotechlab.fudan.edu.cn/database/lamp","10.0","EXACT","1","0","True","HIGH","Y","","True"
"LAND-deFeND","Landslide and Flood Database","http://geomorphology.irpi.cnr.it/tools","LAND-deFeND","LANDslides and Floods National Database","http://geomorphology.irpi.cnr.it/tools","10.0","EXACT","1","0","True","HIGH","Y","",""
"LCGbase","Lineage-based Co-regulated Genes base","http://lcgbase.big.ac.cn/LCGbase","LCGbase","nan","http://lcgbase.big.ac.cn/LCGbase","10.0","EXACT","1","0","True","HIGH","Y","",""
"LDSplitDB","Linkage Disequilibrium Split Database","http://histone.scse.ntu.edu.sg/LDSplitDB","LDSplitDB","nan","http://histone.scse.ntu.edu.sg/LDSplitDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"LEGE","LEGE culture collection","http://lege.ciimar.up.pt/","LEGE","nan","http://lege.ciimar.up.pt","10.0","EXACT","1","0","True","HIGH","Y","",""
"LIMONADA","LIpid MOlecular simulatioN dAtabase","https://limonada.univ-reims.fr/","LIMONADA","nan","http://limonada.univ-reims.fr","10.0","EXACT","1","0","True","HIGH","Y","",""
"LINCS","Library of Integrated Network-based Cellular Signatures","http://lincsportal.ccs.miami.edu/","LINCS","of Integrated Network-Based Cellular Signatures","http://lincsportal.ccs.miami.edu/signatures","10.0","EXACT","1","0","True","HIGH","Y","",""
"LINPS","LINPS","https://mahshaaban.shinyapps.io/LINPSAPP/","LINPS","nan","http://mahshaaban.shinyapps.io/LINPSAPP","10.0","EXACT","1","0","True","HIGH","Y","",""
"LIPABASE","LIPAse BASE","http://www.lipabase-pfba-tun.org","LIPABASE","nan","http://www.lipabase-pfba-tun.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"LLPSDB","Liquid-Liquid Phase Separation Database","http://bio-comp.ucas.ac.cn/llpsdb","LLPSDB","nan","http://bio-comp.ucas.ac.cn/llpsdb, http://bio-comp.org.cn/llpsdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"LMPID","Linear Motif mediated Protein Interaction Database","http://bicresources.jcbose","LMPID","Linear Motif mediated Protein Interaction Database","http://bicresources.jcbose","10.0","EXACT","1","0","True","HIGH","Y","",""
"LNCat","lncRNA Annotation Resources Catalogue","http://biocc.hrbmu.edu.cn/LNCat/","LNCat","lncRNA","http://biocc.hrbmu.edu.cn/LNCat","10.0","EXACT","1","0","True","HIGH","Y","",""
"LNCediting","LNCediting","http://bioinfo.life.hust.edu.cn/LNCediting/","LNCediting","nan","http://bioinfo.life.hust.edu.cn/LNCediting","10.0","EXACT","1","0","True","HIGH","Y","",""
"LNCipedia","Long Non-coding RNA Encyclopedia","https://lncipedia.org","LNCipedia","nan","http://lncipedia.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"LNCmap","LncRNA Connectivity Map","http://www.bio-bigdata.com/LNCmap/","LNCmap","LncRNA Connectivity Map","http://www.bio-bigdata.com/LNCmap","10.0","EXACT","1","0","True","HIGH","Y","",""
"LOTUS-DB","Nelumbo nucifera Database","http://lotus-db.wbgcas.cn","LOTUS-DB","nan","http://lotus-db.wbgcas.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"LOVD","Leiden Open Variation Database","http://databases.lovd.nl/shared/genes","LOVD","Leiden Open-source Variation Database","http://www.LOVD.nl","10.0","EXACT","1","0","True","HIGH","Y","",""
"LSD","Leaf Senescence Database","http://www.eplantsenescence.org/","LSD","leaf senescence database","http://bigd.big.ac.cn/lsd","10.0","EXACT","1","0","True","HIGH","Y","",""
"LSE-Sign","Spanish Sign Language Database","http://www.bcbl.eu/databases/lse/","LSE-Sign","nan","http://www.bcbl.eu/databases/lse","10.0","EXACT","1","0","True","HIGH","Y","",""
"LSHGD","Leprosy Susceptible Human Genes Database","http://www.vit.ac.in/leprosy/leprosy.htm","LSHGD","Leprosy Susceptible Human Gene Database","http://www.vit.ac.in/leprosy/leprosy.htm","10.0","EXACT","1","0","True","HIGH","Y","",""
"LUCApedia","LUCApedia","http://eeb.princeton.edu/lucapedia","LUCApedia","nan","http://eeb.princeton.edu/lucapedia","10.0","EXACT","1","0","True","HIGH","Y","",""
"LabeledIn","Labeled Indications Database","http://ftp.ncbi.nlm.nih.gov/pub/lu/LabeledIn/","LabeledIn","nan","http://ftp.ncbi.nlm.nih.gov/pub/lu/LabeledIn","10.0","EXACT","1","0","True","HIGH","Y","",""
"LabxDB","Laboratory Database","https://labxdb.vejnar.org","LabxDB","nan","http://gitlab.com/vejnar/labxdb, http://labxdb.vejnar.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"LCED","Laccase Engineering Database","http://www.lcced.uni-stuttgart.de","LccED","The Laccase Engineering Database","http://www.lcced.uni-stuttgart.de","3.55","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_1.00, LONG_SIM_0.93","4","1","True","HIGH","Y","",""
"LeGOO","Legume Gene Ontology Database","https://www.legoo.org","LeGOO","Legume","http://www.legoo.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"LegProt","Legume Protein Database","http://bioinfo.noble.org/manuscript-support/legumedb","LegProt","legume","http://bioinfo.noble.org/manuscript-support/legumedb","10.0","EXACT","1","0","True","HIGH","Y","",""
"LegumeIP","Legume Information Portal","http://plantgrn.noble.org/LegumeIP/","LegumeIP","nan","http://plantgrn.noble.org/LegumeIP","10.0","EXACT","1","0","True","HIGH","Y","",""
"LeishMicrosatDB","Leishmania Microsatellite Database","http://biomedinformri.com/leishmicrosat","LeishMicrosatDB","Leishmania Microsatellite Database","http://biomedinformri.com/leishmicrosat","10.0","EXACT","1","0","True","HIGH","Y","",""
