name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,issue_category,qc_fix_applied,qc_manual_review
SMART_CAPITALIZED,39547804,National Institutes Of Health,0.0,,0.0,national institutes of health,0.0,1,https://www.nih.gov/,200,,,,,,,,,,,National Institutes Of Health,ok,,,,
SMART_CAPITALIZED,39646166,Steinhardt Museum Of Natural History In Tel Aviv University Holds An Interesting Collection Of Orthopterans With A Focus On Local Endemics,0.0,,0.0,steinhardt museum of natural history in tel aviv university holds an interesting collection of orthopterans with a focus on local endemics,0.0,1,https://smnh.tau.ac.il/en/,200,,,,,,,,,,,Steinhardt Museum Of Natural History In Tel Aviv University Holds An Interesting Collection Of Orthopterans With A Focus On Local Endemics,ok,,,,
"DISAMBIGUATED,SMART_CAPITALIZED",36910227,Citespace (cluster),0.0,,0.0,citespace,0.0,1,http://cluster.cis.drexel.edu/~cchen/citespace/,200,,,,,,,,,,,Citespace (cluster),ok,,HAS_BRACKETS,,
SMART_CAPITALIZED,40121539,Genome Aggregate Database,0.0,,0.0,genome aggregate database,0.0,1,https://gnomad.broadinstitute.org/,200,,,,,,,,,,,Genome Aggregate Database,ok,,,,
"PIPE_CLEANED,CAPITALIZED",35894475,MUTHTP,0.0,muthtp | tmsnp,0.0,,0.0,1,http://lmc.uab.es/tmsnp/,200,,,,,,,,,,,MUTHTP,ok,,,,
CAPITALIZED,40597534,FASMID,0.0,fasmid,0.0,ccsbase,0.0,1,http://phasmida.speciesfile.org/,200,,,,,,,,,,,FASMID,ok,,,,
SMART_CAPITALIZED,38812215,Global Pharmacopoeia Genome Database(gpgd,0.0,,0.0,global pharmacopoeia genome database(gpgd,0.0,1,http://www.gpgenome.com,200,,,,,,,,,,,Global Pharmacopoeia Genome Database(gpgd,ok,,HAS_BRACKETS,,
"PIPE_CLEANED,CAPITALIZED",39631489,MPNET,0.0,mpnet | xlnet,0.0,electronic health records | biobert,0.0,1,https://github.com/microsoft/MPNet,200,,,,,,,,,,,MPNET,review,,,,
SMART_CAPITALIZED,36879020,Linkedin,0.0,,0.0,linkedin,0.0,1,https://www.linkedin.com/,200,,,,,,,,,,,Linkedin,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",36224012,Science Citation Index Expanded,0.0,,0.0,science citation index expanded | citespace,0.0,1,https://clarivate.com/webofsciencegroup/solutions/web-of-science-core-collection/,200,,,,,,,,,,,Science Citation Index Expanded,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",37960750,Citespace,0.0,,0.0,citespace | vosviewer,0.0,1,https://www.vosviewer.com/,200,,,,,,,,,,,Citespace,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",39812750,Linkedomicskb,0.0,,0.0,linkedomicskb | human protein atlas,0.0,1,https://linkedomics.org/login.php,200,,,,,,,,,,,Linkedomicskb,ok,,,,
SMART_CAPITALIZED,36896468,T-dnas,0.0,t-dnas,0.0,,0.0,1,http://signal.salk.edu/cgi-bin/tdnaexpress,200,,,,,,,,,,,T-dnas,ok,,,,
CAPITALIZED,37289767,FEWREL,0.0,fewrel,0.0,,0.0,1,https://github.com/thunlp/FewRel,200,,,,,,,,,,,FEWREL,review,,,,
SMART_CAPITALIZED,37748671,Ostreopsis And Gambierdiscus,0.0,,0.0,ostreopsis and gambierdiscus,0.0,1,http://haedat.iode.org/,200,,,,,,,,,,,Ostreopsis And Gambierdiscus,ok,,,,
